SSN Prefix,Years Issued
416-01-####,1936-1950
416-02-####,1976-unknown
416-03-####,1936-1950
416-04-####,1977-unknown
416-05-####,1936-1950
416-06-####,1978-1979
416-07-####,1936-1950
416-08-####,1980-unknown
416-09-####,1936-1950
416-10-####,1936-1950
416-11-####,1981-unknown
416-12-####,1936-1950
416-13-####,1982-unknown
416-14-####,1936-1950
416-15-####,1983-unknown
416-16-####,1936-1950
416-17-####,1983-unknown
416-18-####,1936-1950
416-19-####,1984-unknown
416-20-####,1936-1950
416-21-####,1985-unknown
416-22-####,1936-1950
416-23-####,1986-unknown
416-24-####,1936-1950
416-25-####,1987-unknown
416-26-####,1936-1950
416-27-####,1987-unknown
416-28-####,1936-1950
416-29-####,1988-unknown
416-30-####,1936-1950
416-31-####,1988-unknown
416-32-####,1936-1950
416-33-####,1989-1992
416-34-####,1936-1950
416-35-####,1989-1992
416-36-####,1936-1950
416-37-####,1989-1992
416-38-####,1936-1950
416-39-####,1989-1992
416-40-####,1936-1950
416-41-####,1993-unknown
416-42-####,1936-1950
416-43-####,1994-unknown
416-44-####,1951-unknown
416-45-####,1995-unknown
416-46-####,1952-1953
416-47-####,1997-1998
416-48-####,1954-unknown
416-49-####,1998-unknown
416-50-####,1955-unknown
416-51-####,1999-2000
416-52-####,1956-unknown
416-53-####,2001-unknown
416-54-####,1957-1958
416-55-####,2002-unknown
416-56-####,1959-unknown
416-57-####,2003-2005
416-58-####,1960-unknown
416-59-####,2005-2006
416-60-####,1961-unknown
416-61-####,2006-2007
416-62-####,1962-unknown
416-63-####,2007-2008
416-64-####,1963-unknown
416-65-####,2008-2010
416-66-####,1964-unknown
416-67-####,2010-2011
416-68-####,1965-unknown
416-70-####,1965-unknown
416-72-####,1966-unknown
416-74-####,1967-unknown
416-76-####,1968-unknown
416-78-####,1969-unknown
416-80-####,1970-unknown
416-82-####,1971-unknown
416-84-####,1972-unknown
416-86-####,1973-unknown
416-88-####,1973-unknown
416-90-####,1973-unknown
416-92-####,1974-unknown
416-94-####,1974-unknown
416-96-####,1975-unknown
416-98-####,1976-unknown
417-01-####,1936-1950
417-02-####,1976-unknown
417-03-####,1936-1950
417-04-####,1977-1978
417-05-####,1936-1950
417-06-####,1979-unknown
417-07-####,1936-1950
417-08-####,1980-unknown
417-09-####,1936-1950
417-10-####,1936-1950
417-11-####,1981-unknown
417-12-####,1936-1950
417-13-####,1982-unknown
417-14-####,1936-1950
417-15-####,1983-unknown
417-16-####,1936-1950
417-17-####,1983-unknown
417-18-####,1936-1950
417-19-####,1984-unknown
417-20-####,1936-1950
417-21-####,1985-unknown
417-22-####,1936-1950
417-23-####,1986-unknown
417-24-####,1936-1950
417-25-####,1987-unknown
417-26-####,1936-1950
417-27-####,1987-unknown
417-28-####,1936-1950
417-29-####,1988-unknown
417-30-####,1936-1950
417-31-####,1988-unknown
417-32-####,1936-1950
417-33-####,1989-1992
417-34-####,1936-1950
417-35-####,1989-1992
417-36-####,1936-1950
417-37-####,1989-1992
417-38-####,1936-1950
417-39-####,1989-1992
417-40-####,1936-1950
417-41-####,1993-unknown
417-42-####,1936-1950
417-43-####,1994-unknown
417-44-####,1951-1952
417-45-####,1995-unknown
417-46-####,1953-unknown
417-47-####,1997-1998
417-48-####,1954-unknown
417-49-####,1998-unknown
417-50-####,1955-unknown
417-51-####,1999-2000
417-52-####,1956-unknown
417-53-####,2001-unknown
417-54-####,1957-1958
417-55-####,2002-2003
417-56-####,1959-unknown
417-57-####,2003-2005
417-58-####,1960-unknown
417-59-####,2005-2006
417-60-####,1961-1962
417-61-####,2006-2007
417-62-####,1963-unknown
417-63-####,2007-2009
417-64-####,1963-unknown
417-65-####,2009-2010
417-66-####,1964-unknown
417-67-####,2010-2011
417-68-####,1965-unknown
417-70-####,1965-unknown
417-72-####,1966-unknown
417-74-####,1967-unknown
417-76-####,1968-unknown
417-78-####,1969-unknown
417-80-####,1970-unknown
417-82-####,1971-unknown
417-84-####,1972-unknown
417-86-####,1973-unknown
417-88-####,1973-unknown
417-90-####,1973-unknown
417-92-####,1974-unknown
417-94-####,1974-unknown
417-96-####,1975-unknown
417-98-####,1976-unknown
418-01-####,1936-1950
418-02-####,1977-unknown
418-03-####,1936-1950
418-04-####,1978-unknown
418-05-####,1936-1950
418-06-####,1979-unknown
418-07-####,1936-1950
418-08-####,1980-unknown
418-09-####,1936-1950
418-10-####,1936-1950
418-11-####,1981-unknown
418-12-####,1936-1950
418-13-####,1982-unknown
418-14-####,1936-1950
418-15-####,1983-unknown
418-16-####,1936-1950
418-17-####,1983-unknown
418-18-####,1936-1950
418-19-####,1984-unknown
418-20-####,1936-1950
418-21-####,1985-unknown
418-22-####,1936-1950
418-23-####,1986-unknown
418-24-####,1936-1950
418-25-####,1987-unknown
418-26-####,1936-1950
418-27-####,1987-unknown
418-28-####,1936-1950
418-29-####,1988-unknown
418-30-####,1936-1950
418-31-####,1988-unknown
418-32-####,1936-1950
418-33-####,1989-1992
418-34-####,1936-1950
418-35-####,1989-1992
418-36-####,1936-1950
418-37-####,1989-1992
418-38-####,1936-1950
418-39-####,1989-1992
418-40-####,1936-1950
418-41-####,1993-unknown
418-42-####,1951-unknown
418-43-####,1994-unknown
418-44-####,1952-unknown
418-45-####,1996-unknown
418-46-####,1953-unknown
418-47-####,1997-1998
418-48-####,1954-unknown
418-49-####,1998-unknown
418-50-####,1955-unknown
418-51-####,2000-unknown
418-52-####,1956-unknown
418-53-####,2001-unknown
418-54-####,1957-1958
418-55-####,2002-2004
418-56-####,1959-unknown
418-57-####,2004-2005
418-58-####,1960-unknown
418-59-####,2005-2006
418-60-####,1961-1962
418-61-####,2006-2007
418-62-####,1963-unknown
418-63-####,2007-2009
418-64-####,1963-unknown
418-65-####,2009-2010
418-66-####,1964-unknown
418-67-####,2010-2011
418-68-####,1965-unknown
418-70-####,1966-unknown
418-72-####,1966-unknown
418-74-####,1967-unknown
418-76-####,1968-unknown
418-78-####,1969-unknown
418-80-####,1970-unknown
418-82-####,1971-unknown
418-84-####,1972-unknown
418-86-####,1973-unknown
418-88-####,1973-unknown
418-90-####,1973-unknown
418-92-####,1974-unknown
418-94-####,1974-unknown
418-96-####,1975-unknown
418-98-####,1976-unknown
419-01-####,1936-1950
419-02-####,1977-unknown
419-03-####,1936-1950
419-04-####,1978-unknown
419-05-####,1936-1950
419-06-####,1979-unknown
419-07-####,1936-1950
419-08-####,1980-unknown
419-09-####,1936-1950
419-10-####,1936-1950
419-11-####,1981-unknown
419-12-####,1936-1950
419-13-####,1982-unknown
419-14-####,1936-1950
419-15-####,1983-unknown
419-16-####,1936-1950
419-17-####,1983-unknown
419-18-####,1936-1950
419-19-####,1984-unknown
419-20-####,1936-1950
419-21-####,1985-unknown
419-22-####,1936-1950
