SSN Prefix,Years Issued
574-01-####,1936-1950
574-02-####,1988-1992
574-03-####,1936-1950
574-04-####,1988-1992
574-05-####,1936-1950
574-06-####,1988-1992
574-07-####,1936-1950
574-08-####,1988-1992
574-09-####,1936-1950
574-10-####,1951-1952
574-11-####,1992-unknown
574-12-####,1953-1956
574-13-####,1992-1995
574-14-####,1957-1960
574-15-####,1992-1995
574-16-####,1961-unknown
574-17-####,1992-1995
574-18-####,1962-1964
574-19-####,1995-unknown
574-20-####,1965-unknown
574-21-####,1996-unknown
574-22-####,1966-unknown
574-23-####,1996-unknown
574-24-####,1967-1968
574-25-####,1997-1998
574-26-####,1969-unknown
574-27-####,1998-unknown
574-28-####,1970-unknown
574-29-####,1999-2000
574-30-####,1971-unknown
574-31-####,2000-2001
574-32-####,1972-unknown
574-33-####,2001-2002
574-34-####,1973-unknown
574-35-####,2002-unknown
574-36-####,1973-unknown
574-37-####,2002-unknown
574-38-####,1973-unknown
574-39-####,2003-2004
574-40-####,1973-unknown
574-41-####,2004-2005
574-42-####,1973-unknown
574-43-####,2005-unknown
574-44-####,1973-unknown
574-45-####,2005-2006
574-46-####,1973-unknown
574-47-####,2006-2007
574-48-####,1973-unknown
574-49-####,2007-unknown
574-50-####,1973-unknown
574-51-####,2007-2008
574-52-####,1973-unknown
574-53-####,2008-2009
574-54-####,1974-unknown
574-55-####,2009-unknown
574-56-####,1975-unknown
574-57-####,2009-2010
574-58-####,1976-1977
574-59-####,2010-unknown
574-60-####,1978-unknown
574-61-####,2010-2011
574-62-####,1979-unknown
574-64-####,1980-unknown
574-66-####,1981-unknown
574-68-####,1982-unknown
574-70-####,1983-unknown
574-72-####,1983-unknown
574-74-####,1984-unknown
574-76-####,1984-unknown
574-78-####,1985-unknown
574-80-####,1986-unknown
574-82-####,1986-unknown
574-84-####,1987-unknown
574-86-####,1987-unknown
574-88-####,1987-unknown
574-90-####,1987-unknown
574-92-####,1987-unknown
574-94-####,1988-unknown
574-96-####,1988-unknown
574-98-####,1988-1992
