SSN Prefix,Years Issued
526-01-####,1936-1950
526-02-####,1968-unknown
526-03-####,1936-1950
526-04-####,1969-unknown
526-05-####,1936-1950
526-06-####,1969-unknown
526-07-####,1936-1950
526-08-####,1969-unknown
526-09-####,1936-1950
526-10-####,1936-1950
526-11-####,1970-unknown
526-12-####,1936-1950
526-13-####,1970-unknown
526-14-####,1936-1950
526-15-####,1970-unknown
526-16-####,1936-1950
526-17-####,1970-unknown
526-18-####,1936-1950
526-19-####,1971-unknown
526-20-####,1936-1950
526-21-####,1971-unknown
526-22-####,1936-1950
526-23-####,1972-unknown
526-24-####,1936-1950
526-25-####,1972-unknown
526-26-####,1936-1950
526-27-####,1972-unknown
526-28-####,1936-1950
526-29-####,1973-unknown
526-30-####,1936-1950
526-31-####,1973-unknown
526-32-####,1936-1950
526-33-####,1973-unknown
526-34-####,1936-1950
526-35-####,1973-unknown
526-36-####,1936-1950
526-37-####,1973-unknown
526-38-####,1936-1950
526-39-####,1973-unknown
526-40-####,1936-1950
526-41-####,1973-unknown
526-42-####,1936-1950
526-43-####,1974-unknown
526-44-####,1951-1952
526-45-####,1974-unknown
526-46-####,1953-unknown
526-47-####,1974-unknown
526-48-####,1954-unknown
526-49-####,1974-unknown
526-50-####,1955-unknown
526-51-####,1974-unknown
526-52-####,1955-unknown
526-53-####,1975-unknown
526-54-####,1956-unknown
526-55-####,1975-unknown
526-56-####,1957-unknown
526-57-####,1975-unknown
526-58-####,1958-unknown
526-59-####,1975-unknown
526-60-####,1958-unknown
526-61-####,1976-unknown
526-62-####,1959-unknown
526-63-####,1976-unknown
526-64-####,1960-unknown
526-65-####,1976-unknown
526-66-####,1961-unknown
526-67-####,1977-unknown
526-68-####,1961-unknown
526-69-####,1977-unknown
526-70-####,1962-unknown
526-71-####,1977-unknown
526-72-####,1962-unknown
526-73-####,1978-unknown
526-74-####,1963-unknown
526-75-####,1978-unknown
526-76-####,1963-unknown
526-77-####,1979-unknown
526-78-####,1963-unknown
526-79-####,1979-unknown
526-80-####,1964-unknown
526-81-####,1979-unknown
526-82-####,1965-unknown
526-83-####,1980-unknown
526-84-####,1965-unknown
526-85-####,1980-unknown
526-86-####,1965-unknown
526-87-####,1981-unknown
526-88-####,1966-unknown
526-89-####,1981-unknown
526-90-####,1966-unknown
526-91-####,1981-unknown
526-92-####,1967-unknown
526-93-####,1982-unknown
526-94-####,1967-unknown
526-95-####,1982-unknown
526-96-####,1967-unknown
526-97-####,1982-unknown
526-98-####,1968-unknown
526-99-####,1983-unknown
527-01-####,1936-1950
527-02-####,1968-unknown
527-03-####,1936-1950
527-04-####,1969-unknown
527-05-####,1936-1950
527-06-####,1969-unknown
527-07-####,1936-1950
527-08-####,1969-unknown
527-09-####,1936-1950
527-10-####,1936-1950
527-11-####,1970-unknown
527-12-####,1936-1950
527-13-####,1970-unknown
527-14-####,1936-1950
527-15-####,1970-unknown
527-16-####,1936-1950
527-17-####,1971-unknown
527-18-####,1936-1950
527-19-####,1971-unknown
527-20-####,1936-1950
527-21-####,1971-unknown
527-22-####,1936-1950
527-23-####,1972-unknown
527-24-####,1936-1950
527-25-####,1972-unknown
527-26-####,1936-1950
527-27-####,1972-unknown
527-28-####,1936-1950
527-29-####,1973-unknown
527-30-####,1936-1950
527-31-####,1973-unknown
527-32-####,1936-1950
527-33-####,1973-unknown
527-34-####,1936-1950
527-35-####,1973-unknown
527-36-####,1936-1950
527-37-####,1973-unknown
527-38-####,1936-1950
527-39-####,1973-unknown
527-40-####,1936-1950
527-41-####,1973-unknown
527-42-####,1951-unknown
527-43-####,1974-unknown
527-44-####,1952-unknown
527-45-####,1974-unknown
527-46-####,1953-unknown
527-47-####,1974-unknown
527-48-####,1954-unknown
527-49-####,1974-unknown
527-50-####,1955-unknown
527-51-####,1975-unknown
527-52-####,1956-unknown
527-53-####,1975-unknown
527-54-####,1956-unknown
527-55-####,1975-unknown
527-56-####,1957-unknown
527-57-####,1975-unknown
527-58-####,1958-unknown
527-59-####,1976-unknown
527-60-####,1959-unknown
527-61-####,1976-unknown
527-62-####,1960-unknown
527-63-####,1976-unknown
527-64-####,1960-unknown
527-65-####,1976-unknown
527-66-####,1961-unknown
527-67-####,1977-unknown
527-68-####,1962-unknown
527-69-####,1977-unknown
527-70-####,1962-unknown
527-71-####,1978-unknown
527-72-####,1963-unknown
527-73-####,1978-unknown
527-74-####,1963-unknown
527-75-####,1978-unknown
527-76-####,1964-unknown
527-77-####,1979-unknown
527-78-####,1964-unknown
527-79-####,1979-unknown
527-80-####,1964-unknown
