SSN Prefix,Years Issued
429-01-####,1936-1950
429-02-####,1967-unknown
429-03-####,1936-1950
429-04-####,1968-unknown
429-05-####,1936-1950
429-06-####,1969-unknown
429-07-####,1936-1950
429-08-####,1969-unknown
429-09-####,1936-1950
429-10-####,1936-1950
429-11-####,1970-unknown
429-12-####,1936-1950
429-13-####,1971-unknown
429-14-####,1936-1950
429-15-####,1971-unknown
429-16-####,1936-1950
429-17-####,1972-unknown
429-18-####,1936-1950
429-19-####,1973-unknown
429-20-####,1936-1950
429-21-####,1973-unknown
429-22-####,1936-1950
429-23-####,1973-unknown
429-24-####,1936-1950
429-25-####,1973-unknown
429-26-####,1936-1950
429-27-####,1974-unknown
429-28-####,1936-1950
429-29-####,1974-unknown
429-30-####,1936-1950
429-31-####,1975-unknown
429-32-####,1936-1950
429-33-####,1975-unknown
429-34-####,1936-1950
429-35-####,1976-unknown
429-36-####,1936-1950
429-37-####,1977-unknown
429-38-####,1936-1950
429-39-####,1977-unknown
429-40-####,1936-1950
429-41-####,1978-unknown
429-42-####,1936-1950
429-43-####,1979-unknown
429-44-####,1936-1950
429-45-####,1980-unknown
429-46-####,1936-1950
429-47-####,1981-unknown
429-48-####,1936-1950
429-49-####,1982-unknown
429-50-####,1936-1950
429-51-####,1983-unknown
429-52-####,1936-1950
429-53-####,1983-unknown
429-54-####,1936-1950
429-55-####,1984-unknown
429-56-####,1936-1950
429-57-####,1984-unknown
429-58-####,1936-1950
429-59-####,1985-unknown
429-60-####,1936-1950
429-61-####,1986-unknown
429-62-####,1951-1952
429-63-####,1987-unknown
429-64-####,1953-unknown
429-65-####,1987-unknown
429-66-####,1953-1954
429-67-####,1987-unknown
429-68-####,1955-unknown
429-69-####,1988-unknown
429-70-####,1955-unknown
429-71-####,1988-unknown
429-72-####,1956-unknown
429-73-####,1988-1992
429-74-####,1956-1957
429-75-####,1988-1992
429-76-####,1958-unknown
429-77-####,1988-1992
429-78-####,1959-unknown
429-79-####,1988-1992
429-80-####,1960-unknown
429-81-####,1988-1992
429-82-####,1961-unknown
429-83-####,1992-unknown
429-84-####,1962-unknown
429-85-####,1992-1995
429-86-####,1962-unknown
429-87-####,1992-1995
429-88-####,1963-unknown
429-89-####,1995-unknown
429-90-####,1964-unknown
429-91-####,1996-unknown
429-92-####,1965-unknown
429-93-####,1997-1998
429-94-####,1965-unknown
429-95-####,1998-unknown
429-96-####,1965-unknown
429-97-####,1999-unknown
429-98-####,1966-unknown
429-99-####,2000-2001
430-01-####,1936-1950
430-02-####,1967-unknown
430-03-####,1936-1950
430-04-####,1968-unknown
430-05-####,1936-1950
430-06-####,1969-unknown
430-07-####,1936-1950
430-08-####,1970-unknown
430-09-####,1936-1950
430-10-####,1936-1950
430-11-####,1970-unknown
430-12-####,1936-1950
430-13-####,1971-unknown
430-14-####,1936-1950
430-15-####,1972-unknown
430-16-####,1936-1950
430-17-####,1972-unknown
430-18-####,1936-1950
430-19-####,1973-unknown
430-20-####,1936-1950
430-21-####,1973-unknown
430-22-####,1936-1950
430-23-####,1973-unknown
430-24-####,1936-1950
430-25-####,1974-unknown
430-26-####,1936-1950
430-27-####,1974-unknown
430-28-####,1936-1950
430-29-####,1975-unknown
430-30-####,1936-1950
430-31-####,1975-unknown
430-32-####,1936-1950
