SSN Prefix,Years Issued
545-01-####,1936-1950
545-02-####,1970-unknown
545-03-####,1936-1950
545-04-####,1970-unknown
545-05-####,1936-1950
545-06-####,1971-unknown
545-07-####,1936-1950
545-08-####,1971-unknown
545-09-####,1936-1950
545-10-####,1936-1950
545-11-####,1971-unknown
545-12-####,1936-1950
545-13-####,1972-unknown
545-14-####,1936-1950
545-15-####,1972-unknown
545-16-####,1936-1950
545-17-####,1972-unknown
545-18-####,1936-1950
545-19-####,1972-unknown
545-20-####,1936-1950
545-21-####,1973-unknown
545-22-####,1936-1950
545-23-####,1973-unknown
545-24-####,1936-1950
545-25-####,1973-unknown
545-26-####,1936-1950
545-27-####,1973-unknown
545-28-####,1936-1950
545-29-####,1974-unknown
545-30-####,1936-1950
545-31-####,1974-unknown
545-32-####,1936-1950
545-33-####,1974-unknown
545-34-####,1936-1950
545-35-####,1975-unknown
545-36-####,1936-1950
545-37-####,1975-unknown
545-38-####,1936-1950
545-39-####,1975-unknown
545-40-####,1936-1950
545-41-####,1976-unknown
545-42-####,1936-1950
545-43-####,1976-unknown
545-44-####,1936-1950
545-45-####,1976-unknown
545-46-####,1951-unknown
545-47-####,1977-unknown
545-48-####,1952-unknown
545-49-####,1977-unknown
545-50-####,1953-1954
545-51-####,1978-unknown
545-52-####,1955-unknown
545-53-####,1978-unknown
545-54-####,1956-unknown
545-55-####,1979-unknown
545-56-####,1957-unknown
545-57-####,1979-unknown
545-58-####,1958-unknown
545-59-####,1979-unknown
545-60-####,1959-unknown
545-61-####,1980-unknown
545-62-####,1960-unknown
545-63-####,1980-unknown
545-64-####,1961-unknown
545-65-####,1981-unknown
545-66-####,1962-unknown
545-67-####,1981-unknown
545-68-####,1962-unknown
545-69-####,1981-unknown
545-70-####,1963-unknown
545-71-####,1982-unknown
545-72-####,1963-unknown
545-73-####,1982-unknown
545-74-####,1964-unknown
545-75-####,1983-unknown
545-76-####,1964-unknown
545-77-####,1983-unknown
545-78-####,1965-unknown
545-79-####,1984-unknown
545-80-####,1965-unknown
545-81-####,1984-unknown
545-82-####,1966-unknown
545-83-####,1984-unknown
545-84-####,1966-unknown
545-85-####,1985-unknown
545-86-####,1966-unknown
545-87-####,1985-unknown
545-88-####,1967-unknown
545-89-####,1986-unknown
545-90-####,1968-unknown
545-91-####,1986-unknown
545-92-####,1968-unknown
545-93-####,1987-unknown
545-94-####,1969-unknown
545-95-####,1987-unknown
545-96-####,1969-unknown
545-97-####,1987-unknown
545-98-####,1969-unknown
545-99-####,1987-unknown
546-01-####,1936-1950
546-02-####,1970-unknown
546-03-####,1936-1950
546-04-####,1970-unknown
546-05-####,1936-1950
546-06-####,1971-unknown
546-07-####,1936-1950
546-08-####,1971-unknown
546-09-####,1936-1950
546-10-####,1936-1950
546-11-####,1971-unknown
546-12-####,1936-1950
546-13-####,1972-unknown
546-14-####,1936-1950
546-15-####,1972-unknown
546-16-####,1936-1950
546-17-####,1972-unknown
546-18-####,1936-1950
546-19-####,1972-unknown
546-20-####,1936-1950
546-21-####,1973-unknown
546-22-####,1936-1950
546-23-####,1973-unknown
546-24-####,1936-1950
546-25-####,1973-unknown
546-26-####,1936-1950
546-27-####,1973-unknown
546-28-####,1936-1950
546-29-####,1974-unknown
546-30-####,1936-1950
546-31-####,1974-unknown
546-32-####,1936-1950
546-33-####,1974-unknown
546-34-####,1936-1950
546-35-####,1975-unknown
546-36-####,1936-1950
546-37-####,1975-unknown
546-38-####,1936-1950
546-39-####,1975-unknown
546-40-####,1936-1950
546-41-####,1976-unknown
546-42-####,1936-1950
546-43-####,1976-unknown
546-44-####,1951-unknown
546-45-####,1976-unknown
546-46-####,1952-unknown
546-47-####,1977-unknown
546-48-####,1952-1953
546-49-####,1977-unknown
546-50-####,1954-unknown
546-51-####,1978-unknown
546-52-####,1955-unknown
546-53-####,1978-unknown
546-54-####,1956-unknown
546-55-####,1979-unknown
546-56-####,1957-unknown
546-57-####,1979-unknown
546-58-####,1958-unknown
546-59-####,1979-unknown
546-60-####,1959-unknown
546-61-####,1980-unknown
546-62-####,1960-unknown
546-63-####,1980-unknown
546-64-####,1961-unknown
546-65-####,1981-unknown
546-66-####,1962-unknown
546-67-####,1981-unknown
546-68-####,1962-unknown
546-69-####,1981-unknown
546-70-####,1963-unknown
546-71-####,1982-unknown
546-72-####,1963-unknown
546-73-####,1982-unknown
546-74-####,1963-unknown
546-75-####,1983-unknown
546-76-####,1964-unknown
546-77-####,1983-unknown
546-78-####,1965-unknown
546-79-####,1984-unknown
546-80-####,1965-unknown
546-81-####,1984-unknown
546-82-####,1966-unknown
546-83-####,1985-unknown
546-84-####,1966-unknown
546-85-####,1985-unknown
546-86-####,1967-unknown
546-87-####,1985-unknown
546-88-####,1967-unknown
546-89-####,1986-unknown
546-90-####,1968-unknown
546-91-####,1986-unknown
546-92-####,1968-unknown
546-93-####,1987-unknown
546-94-####,1969-unknown
546-95-####,1987-unknown
546-96-####,1969-unknown
546-97-####,1987-unknown
546-98-####,1970-unknown
546-99-####,1987-unknown
547-01-####,1936-1950
547-02-####,1970-unknown
547-03-####,1936-1950
547-04-####,1971-unknown
547-05-####,1936-1950
547-06-####,1971-unknown
547-07-####,1936-1950
547-08-####,1971-unknown
547-09-####,1936-1950
547-10-####,1936-1950
547-11-####,1972-unknown
547-12-####,1936-1950
547-13-####,1972-unknown
547-14-####,1936-1950
547-15-####,1972-unknown
547-16-####,1936-1950
547-17-####,1972-unknown
547-18-####,1936-1950
547-19-####,1972-unknown
547-20-####,1936-1950
547-21-####,1973-unknown
547-22-####,1936-1950
547-23-####,1973-unknown
547-24-####,1936-1950
547-25-####,1973-unknown
547-26-####,1936-1950
547-27-####,1973-unknown
547-28-####,1936-1950
547-29-####,1974-unknown
547-30-####,1936-1950
547-31-####,1974-unknown
547-32-####,1936-1950
547-33-####,1974-unknown
547-34-####,1936-1950
547-35-####,1975-unknown
547-36-####,1936-1950
547-37-####,1975-unknown
547-38-####,1936-1950
547-39-####,1975-unknown
547-40-####,1936-1950
547-41-####,1976-unknown
547-42-####,1936-1950
547-43-####,1976-unknown
547-44-####,1951-unknown
547-45-####,1976-unknown
547-46-####,1952-unknown
547-47-####,1977-unknown
547-48-####,1952-unknown
547-49-####,1977-unknown
547-50-####,1954-unknown
547-51-####,1978-unknown
547-52-####,1955-unknown
547-53-####,1978-unknown
547-54-####,1956-unknown
547-55-####,1979-unknown
547-56-####,1957-unknown
547-57-####,1979-unknown
547-58-####,1958-unknown
547-59-####,1979-unknown
547-60-####,1959-unknown
547-61-####,1980-unknown
547-62-####,1960-unknown
547-63-####,1980-unknown
547-64-####,1961-unknown
547-65-####,1981-unknown
547-66-####,1962-unknown
547-67-####,1981-unknown
547-68-####,1963-unknown
547-69-####,1981-unknown
547-70-####,1963-unknown
547-71-####,1982-unknown
547-72-####,1963-unknown
547-73-####,1982-unknown
547-74-####,1964-unknown
547-75-####,1983-unknown
547-76-####,1964-unknown
547-77-####,1983-unknown
547-78-####,1965-unknown
547-79-####,1984-unknown
547-80-####,1965-unknown
547-81-####,1984-unknown
547-82-####,1966-unknown
547-83-####,1985-unknown
547-84-####,1966-unknown
547-85-####,1985-unknown
547-86-####,1967-unknown
547-87-####,1985-unknown
547-88-####,1967-unknown
547-89-####,1986-unknown
547-90-####,1968-unknown
547-91-####,1986-unknown
547-92-####,1968-unknown
547-93-####,1987-unknown
547-94-####,1969-unknown
547-95-####,1987-unknown
547-96-####,1969-unknown
547-97-####,1987-unknown
547-98-####,1969-unknown
547-99-####,1987-unknown
548-01-####,1936-1950
548-02-####,1970-unknown
548-03-####,1936-1950
548-04-####,1970-unknown
548-05-####,1936-1950
548-06-####,1971-unknown
548-07-####,1936-1950
548-08-####,1971-unknown
548-09-####,1936-1950
548-10-####,1936-1950
548-11-####,1971-unknown
548-12-####,1936-1950
548-13-####,1972-unknown
548-14-####,1936-1950
548-15-####,1972-unknown
548-16-####,1936-1950
548-17-####,1972-unknown
548-18-####,1936-1950
548-19-####,1972-unknown
548-20-####,1936-1950
548-21-####,1973-unknown
548-22-####,1936-1950
548-23-####,1973-unknown
548-24-####,1936-1950
548-25-####,1973-unknown
