SSN Prefix,Years Issued
521-01-####,1936-1950
521-02-####,1973-unknown
521-03-####,1936-1950
521-04-####,1974-unknown
521-05-####,1936-1950
521-06-####,1974-unknown
521-07-####,1936-1950
521-08-####,1974-unknown
521-09-####,1936-1950
521-10-####,1936-1950
521-11-####,1975-unknown
521-12-####,1936-1950
521-13-####,1975-unknown
521-14-####,1936-1950
521-15-####,1976-unknown
521-16-####,1936-1950
521-17-####,1976-unknown
521-18-####,1936-1950
521-19-####,1977-unknown
521-20-####,1936-1950
521-21-####,1977-unknown
521-22-####,1936-1950
521-23-####,1978-unknown
521-24-####,1936-1950
521-25-####,1979-unknown
521-26-####,1936-1950
521-27-####,1979-unknown
521-28-####,1936-1950
521-29-####,1980-unknown
521-30-####,1936-1950
521-31-####,1981-unknown
521-32-####,1936-1950
521-33-####,1981-unknown
521-34-####,1936-1950
521-35-####,1982-unknown
521-36-####,1936-1950
521-37-####,1983-unknown
521-38-####,1936-1950
521-39-####,1983-unknown
521-40-####,1936-1950
521-41-####,1984-unknown
521-42-####,1951-unknown
521-43-####,1984-unknown
521-44-####,1952-unknown
521-45-####,1985-unknown
521-46-####,1953-unknown
521-47-####,1985-unknown
521-48-####,1954-unknown
521-49-####,1986-unknown
521-50-####,1955-unknown
521-51-####,1986-unknown
521-52-####,1956-1957
521-53-####,1987-unknown
521-54-####,1958-unknown
521-55-####,1987-unknown
521-56-####,1959-unknown
521-57-####,1987-unknown
521-58-####,1960-unknown
521-59-####,1987-unknown
521-60-####,1961-unknown
521-61-####,1988-unknown
521-62-####,1962-unknown
521-63-####,1988-unknown
521-64-####,1963-unknown
521-65-####,1988-unknown
521-66-####,1963-unknown
521-67-####,1988-unknown
521-68-####,1964-unknown
521-69-####,1989-1992
521-70-####,1965-unknown
521-71-####,1989-1992
521-72-####,1965-unknown
521-73-####,1989-1992
521-74-####,1966-unknown
521-75-####,1989-1992
521-76-####,1966-unknown
521-77-####,1989-1992
521-78-####,1967-unknown
521-79-####,1989-1992
521-80-####,1968-unknown
521-81-####,1989-1992
521-82-####,1969-unknown
521-83-####,1989-1992
521-84-####,1969-unknown
521-85-####,1989-1992
521-86-####,1970-unknown
521-87-####,1989-1992
521-88-####,1970-unknown
521-89-####,1993-unknown
521-90-####,1971-unknown
521-91-####,1993-unknown
521-92-####,1972-unknown
521-93-####,1994-unknown
521-94-####,1972-unknown
521-95-####,1994-unknown
521-96-####,1973-unknown
521-97-####,1995-unknown
521-98-####,1973-unknown
521-99-####,1996-unknown
522-01-####,1936-1950
522-02-####,1973-unknown
522-03-####,1936-1950
522-04-####,1974-unknown
522-05-####,1936-1950
522-06-####,1974-unknown
522-07-####,1936-1950
522-08-####,1975-unknown
522-09-####,1936-1950
522-10-####,1936-1950
522-11-####,1975-unknown
522-12-####,1936-1950
522-13-####,1975-unknown
522-14-####,1936-1950
522-15-####,1976-unknown
522-16-####,1936-1950
522-17-####,1976-unknown
522-18-####,1936-1950
522-19-####,1977-unknown
522-20-####,1936-1950
522-21-####,1977-unknown
522-22-####,1936-1950
522-23-####,1978-unknown
522-24-####,1936-1950
522-25-####,1979-unknown
522-26-####,1936-1950
522-27-####,1980-unknown
522-28-####,1936-1950
522-29-####,1980-unknown
522-30-####,1936-1950
522-31-####,1981-unknown
522-32-####,1936-1950
522-33-####,1982-unknown
522-34-####,1936-1950
522-35-####,1982-unknown
522-36-####,1936-1950
522-37-####,1983-unknown
522-38-####,1936-1950
522-39-####,1983-unknown
522-40-####,1936-1950
522-41-####,1984-unknown
522-42-####,1951-unknown
522-43-####,1984-unknown
522-44-####,1952-unknown
522-45-####,1985-unknown
522-46-####,1953-1954
522-47-####,1985-unknown
522-48-####,1955-unknown
522-49-####,1986-unknown
522-50-####,1956-unknown
522-51-####,1986-unknown
522-52-####,1957-unknown
522-53-####,1987-unknown
522-54-####,1958-1959
522-55-####,1987-unknown
522-56-####,1960-unknown
522-57-####,1987-unknown
522-58-####,1961-unknown
522-59-####,1987-unknown
522-60-####,1962-unknown
522-61-####,1988-unknown
522-62-####,1963-unknown
522-63-####,1988-unknown
522-64-####,1963-unknown
522-65-####,1988-unknown
522-66-####,1963-unknown
522-67-####,1988-unknown
522-68-####,1964-unknown
522-69-####,1989-1992
522-70-####,1965-unknown
522-71-####,1989-1992
522-72-####,1965-unknown
522-73-####,1989-1992
522-74-####,1966-unknown
522-75-####,1989-1992
522-76-####,1967-unknown
522-77-####,1989-1992
522-78-####,1967-unknown
522-79-####,1989-1992
522-80-####,1968-unknown
522-81-####,1989-1992
522-82-####,1969-unknown
522-83-####,1989-1992
522-84-####,1969-unknown
522-85-####,1989-1992
522-86-####,1970-unknown
522-87-####,1989-1992
522-88-####,1971-unknown
522-89-####,1993-unknown
522-90-####,1971-unknown
522-91-####,1994-unknown
522-92-####,1972-unknown
522-93-####,1994-unknown
522-94-####,1972-unknown
522-95-####,1994-unknown
522-96-####,1973-unknown
522-97-####,1995-unknown
522-98-####,1973-unknown
522-99-####,1996-unknown
523-01-####,1936-1950
523-02-####,1973-unknown
523-03-####,1936-1950
523-04-####,1974-unknown
523-05-####,1936-1950
523-06-####,1974-unknown
523-07-####,1936-1950
523-08-####,1975-unknown
523-09-####,1936-1950
523-10-####,1936-1950
523-11-####,1975-unknown
523-12-####,1936-1950
523-13-####,1976-unknown
523-14-####,1936-1950
523-15-####,1976-unknown
523-16-####,1936-1950
523-17-####,1976-unknown
523-18-####,1936-1950
523-19-####,1977-unknown
523-20-####,1936-1950
523-21-####,1978-unknown
523-22-####,1936-1950
523-23-####,1978-unknown
523-24-####,1936-1950
523-25-####,1979-unknown
523-26-####,1936-1950
523-27-####,1980-unknown
523-28-####,1936-1950
523-29-####,1980-unknown
523-30-####,1936-1950
523-31-####,1981-unknown
523-32-####,1936-1950
523-33-####,1982-unknown
523-34-####,1936-1950
523-35-####,1982-unknown
523-36-####,1936-1950
523-37-####,1983-unknown
523-38-####,1936-1950
523-39-####,1983-unknown
523-40-####,1936-1950
523-41-####,1984-unknown
523-42-####,1951-1952
523-43-####,1984-unknown
523-44-####,1953-unknown
523-45-####,1985-unknown
523-46-####,1954-unknown
523-47-####,1985-unknown
523-48-####,1955-unknown
523-49-####,1986-unknown
523-50-####,1956-unknown
523-51-####,1986-unknown
523-52-####,1957-1958
523-53-####,1987-unknown
523-54-####,1959-unknown
523-55-####,1987-unknown
523-56-####,1960-unknown
523-57-####,1987-unknown
523-58-####,1961-unknown
523-59-####,1987-unknown
523-60-####,1962-unknown
523-61-####,1988-unknown
523-62-####,1963-unknown
523-63-####,1988-unknown
523-64-####,1963-unknown
523-65-####,1988-unknown
523-66-####,1963-unknown
523-67-####,1988-unknown
523-68-####,1964-unknown
523-69-####,1989-1992
523-70-####,1965-unknown
523-71-####,1989-1992
523-72-####,1966-unknown
523-73-####,1989-1992
523-74-####,1966-unknown
523-75-####,1989-1992
523-76-####,1967-unknown
523-77-####,1989-1992
523-78-####,1968-unknown
523-79-####,1989-1992
523-80-####,1968-unknown
523-81-####,1989-1992
523-82-####,1969-unknown
523-83-####,1989-1992
523-84-####,1970-unknown
523-85-####,1989-1992
523-86-####,1970-unknown
523-87-####,1993-unknown
523-88-####,1971-unknown
523-89-####,1993-unknown
523-90-####,1971-unknown
523-91-####,1994-unknown
523-92-####,1972-unknown
523-93-####,1994-unknown
523-94-####,1972-unknown
523-95-####,1995-unknown
523-96-####,1973-unknown
523-97-####,1995-unknown
523-98-####,1973-unknown
523-99-####,1996-unknown
524-01-####,1936-1950
524-02-####,1974-unknown
524-03-####,1936-1950
524-04-####,1974-unknown
524-05-####,1936-1950
524-06-####,1974-unknown
524-07-####,1936-1950
524-08-####,1975-unknown
524-09-####,1936-1950
524-10-####,1936-1950
524-11-####,1975-unknown
524-12-####,1936-1950
524-13-####,1976-unknown
524-14-####,1936-1950
524-15-####,1976-unknown
524-16-####,1936-1950
524-17-####,1977-unknown
524-18-####,1936-1950
524-19-####,1977-unknown
524-20-####,1936-1950
524-21-####,1978-unknown
524-22-####,1936-1950
524-23-####,1979-unknown
524-24-####,1936-1950
524-25-####,1979-unknown
524-26-####,1936-1950
524-27-####,1980-unknown
524-28-####,1936-1950
524-29-####,1981-unknown
524-30-####,1936-1950
524-31-####,1981-unknown
524-32-####,1936-1950
524-33-####,1982-unknown
524-34-####,1936-1950
524-35-####,1983-unknown
524-36-####,1936-1950
524-37-####,1983-unknown
524-38-####,1936-1950
524-39-####,1984-unknown
524-40-####,1936-1950
524-41-####,1984-unknown
524-42-####,1951-1952
524-43-####,1984-unknown
524-44-####,1953-unknown
524-45-####,1985-unknown
524-46-####,1954-unknown
524-47-####,1986-unknown
524-48-####,1955-unknown
524-49-####,1986-unknown
524-50-####,1956-unknown
524-51-####,1987-unknown
524-52-####,1957-1958
524-53-####,1987-unknown
524-54-####,1959-unknown
524-55-####,1987-unknown
524-56-####,1960-unknown
524-57-####,1987-unknown
524-58-####,1961-unknown
524-59-####,1987-unknown
524-60-####,1962-unknown
524-61-####,1988-unknown
524-62-####,1963-unknown
524-63-####,1988-unknown
524-64-####,1963-unknown
524-65-####,1988-unknown
524-66-####,1964-unknown
524-67-####,1988-unknown
524-68-####,1965-unknown
524-69-####,1989-1992
524-70-####,1965-unknown
524-71-####,1989-1992
524-72-####,1965-unknown
524-73-####,1989-1992
524-74-####,1966-unknown
524-75-####,1989-1992
524-76-####,1967-unknown
524-77-####,1989-1992
524-78-####,1968-unknown
524-79-####,1989-1992
524-80-####,1968-unknown
524-81-####,1989-1992
524-82-####,1969-unknown
524-83-####,1989-1992
524-84-####,1969-unknown
524-85-####,1989-1992
524-86-####,1970-unknown
524-87-####,1993-unknown
524-88-####,1971-unknown
524-89-####,1993-unknown
524-90-####,1971-unknown
524-91-####,1994-unknown
524-92-####,1972-unknown
524-93-####,1994-unknown
524-94-####,1972-unknown
524-95-####,1995-unknown
