SSN Prefix,Years Issued
040-01-####,1936-1950
040-02-####,1999-2000
040-03-####,1936-1950
040-04-####,2001-2003
040-05-####,1936-1950
040-06-####,2003-2004
040-07-####,1936-1950
040-08-####,2004-2006
040-09-####,1936-1950
040-10-####,1936-1950
040-11-####,2006-2007
040-12-####,1936-1950
040-13-####,2007-2009
040-14-####,1936-1950
040-15-####,2009-2011
040-16-####,1936-1950
040-18-####,1936-1950
040-20-####,1936-1950
040-22-####,1936-1950
040-24-####,1936-1950
040-26-####,1936-1950
040-28-####,1951-1952
040-30-####,1953-1955
040-32-####,1956-1957
040-34-####,1958-1960
040-36-####,1961-unknown
040-38-####,1962-unknown
040-40-####,1963-unknown
040-42-####,1963-1964
040-44-####,1965-unknown
040-46-####,1966-unknown
040-48-####,1967-1968
040-50-####,1969-unknown
040-52-####,1970-unknown
040-54-####,1971-unknown
040-56-####,1972-1977
040-58-####,1973-1977
040-60-####,1973-1977
040-62-####,1974-1977
040-64-####,1975-1977
040-66-####,1976-1977
040-68-####,1976-1978
040-70-####,1979-unknown
040-72-####,1980-1981
040-74-####,1982-unknown
040-76-####,1983-1984
040-78-####,1985-unknown
040-80-####,1986-unknown
040-82-####,1987-unknown
040-84-####,1988-unknown
040-86-####,1988-1992
040-88-####,1988-1992
040-90-####,1992-unknown
040-92-####,1995-unknown
040-94-####,1995-unknown
040-96-####,1996-unknown
040-98-####,1998-unknown
041-01-####,1936-1950
041-02-####,1999-2000
041-03-####,1936-1950
041-04-####,2001-unknown
041-05-####,1936-1950
041-06-####,2003-2004
041-07-####,1936-1950
041-08-####,2004-2006
041-09-####,1936-1950
041-10-####,1936-1950
041-11-####,2006-2008
041-12-####,1936-1950
041-13-####,2008-2009
041-14-####,1936-1950
041-15-####,2009-2011
041-16-####,1936-1950
041-18-####,1936-1950
041-20-####,1936-1950
041-22-####,1936-1950
041-24-####,1936-1950
041-26-####,1936-1950
041-28-####,1951-1952
041-30-####,1953-1955
041-32-####,1956-1958
041-34-####,1959-1960
041-36-####,1961-unknown
041-38-####,1962-unknown
041-40-####,1963-unknown
041-42-####,1964-unknown
041-44-####,1965-unknown
041-46-####,1966-unknown
041-48-####,1967-1968
041-50-####,1969-unknown
041-52-####,1970-unknown
041-54-####,1971-1977
041-56-####,1972-1977
041-58-####,1973-1977
041-60-####,1973-1977
041-62-####,1974-1977
041-64-####,1975-1977
041-66-####,1976-1977
041-68-####,1977-1978
041-70-####,1979-1980
041-72-####,1981-unknown
041-74-####,1982-1983
041-76-####,1984-unknown
041-78-####,1985-unknown
041-80-####,1986-unknown
041-82-####,1987-unknown
041-84-####,1988-unknown
041-86-####,1988-1992
041-88-####,1988-1992
041-90-####,1992-unknown
041-92-####,1995-unknown
041-94-####,1995-unknown
041-96-####,1996-1998
041-98-####,1998-unknown
042-01-####,1936-1950
042-02-####,2000-unknown
042-03-####,1936-1950
042-04-####,2001-unknown
042-05-####,1936-1950
042-06-####,2003-2004
042-07-####,1936-1950
042-08-####,2004-2006
042-09-####,1936-1950
042-10-####,1936-1950
042-11-####,2006-2008
042-12-####,1936-1950
042-13-####,2008-2010
042-14-####,1936-1950
042-15-####,2010-2011
042-16-####,1936-1950
042-18-####,1936-1950
042-20-####,1936-1950
042-22-####,1936-1950
042-24-####,1936-1950
042-26-####,1951-unknown
042-28-####,1952-unknown
042-30-####,1953-1955
042-32-####,1956-1958
042-34-####,1959-unknown
042-36-####,1960-1961
042-38-####,1962-unknown
042-40-####,1962-unknown
042-42-####,1963-unknown
042-44-####,1964-unknown
042-46-####,1965-1966
042-48-####,1967-unknown
042-50-####,1968-unknown
042-52-####,1969-unknown
042-54-####,1970-1971
042-56-####,1972-1977
042-58-####,1972-1977
042-60-####,1972-1977
042-62-####,1973-1977
042-64-####,1974-1977
042-66-####,1975-1977
042-68-####,1976-1977
042-70-####,1978-1979
042-72-####,1980-unknown
042-74-####,1981-1983
042-76-####,1984-unknown
042-78-####,1985-1986
042-80-####,1987-unknown
042-82-####,1988-unknown
042-84-####,1988-unknown
042-86-####,1988-1992
042-88-####,1988-1992
042-90-####,1992-unknown
042-92-####,1995-unknown
042-94-####,1995-unknown
042-96-####,1996-1998
042-98-####,1998-unknown
043-01-####,1936-1950
043-02-####,2000-unknown
043-03-####,1936-1950
043-04-####,2001-2002
043-05-####,1936-1950
043-06-####,2003-2005
043-07-####,1936-1950
043-08-####,2005-2006
043-09-####,1936-1950
043-10-####,1936-1950
043-11-####,2006-2008
043-12-####,1936-1950
043-13-####,2008-2010
043-14-####,1936-1950
043-15-####,2010-2011
043-16-####,1936-1950
043-18-####,1936-1950
043-20-####,1936-1950
043-22-####,1936-1950
043-24-####,1936-1950
043-26-####,1951-unknown
043-28-####,1952-unknown
043-30-####,1953-1956
043-32-####,1957-1958
043-34-####,1959-1960
043-36-####,1961-1962
043-38-####,1963-unknown
043-40-####,1963-unknown
043-42-####,1964-1965
043-44-####,1966-unknown
043-46-####,1967-unknown
043-48-####,1968-unknown
043-50-####,1969-unknown
043-52-####,1970-unknown
043-54-####,1971-1972
043-56-####,1973-1977
043-58-####,1973-1977
043-60-####,1973-1977
043-62-####,1974-1977
043-64-####,1975-1977
043-66-####,1976-1977
043-68-####,1977-1978
043-70-####,1979-1980
043-72-####,1981-unknown
043-74-####,1982-1983
043-76-####,1984-unknown
043-78-####,1985-1986
043-80-####,1987-unknown
043-82-####,1988-unknown
043-84-####,1988-unknown
043-86-####,1988-1992
043-88-####,1988-1992
043-90-####,1992-unknown
043-92-####,1995-unknown
043-94-####,1995-unknown
043-96-####,1996-1998
043-98-####,1998-unknown
044-01-####,1936-1950
044-02-####,2000-unknown
044-03-####,1936-1950
044-04-####,2002-unknown
044-05-####,1936-1950
044-06-####,2003-2005
044-07-####,1936-1950
044-08-####,2005-2007
044-09-####,1936-1950
044-10-####,1936-1950
044-11-####,2007-2008
044-12-####,1936-1950
044-13-####,2008-2010
044-14-####,1936-1950
044-15-####,2010-2011
044-16-####,1936-1950
044-18-####,1936-1950
044-20-####,1936-1950
044-22-####,1936-1950
044-24-####,1936-1950
044-26-####,1951-unknown
044-28-####,1952-1953
044-30-####,1954-1956
044-32-####,1957-1958
044-34-####,1959-1961
044-36-####,1962-unknown
044-38-####,1963-unknown
044-40-####,1963-unknown
044-42-####,1964-unknown
044-44-####,1965-1966
044-46-####,1967-unknown
044-48-####,1968-unknown
044-50-####,1969-unknown
044-52-####,1970-unknown
044-54-####,1971-1972
044-56-####,1973-1977
044-58-####,1973-1977
044-60-####,1973-1977
044-62-####,1974-1977
044-64-####,1975-1977
044-66-####,1976-1977
044-68-####,1978-1979
044-70-####,1980-unknown
044-72-####,1981-1982
044-74-####,1983-unknown
044-76-####,1984-unknown
044-78-####,1985-1986
044-80-####,1987-unknown
044-82-####,1988-unknown
044-84-####,1988-1992
044-86-####,1988-1992
044-88-####,1992-unknown
044-90-####,1992-1995
044-92-####,1992-1995
044-94-####,1995-unknown
044-96-####,1997-1998
044-98-####,1998-unknown
045-01-####,1936-1950
045-02-####,2000-unknown
045-03-####,1936-1950
045-04-####,2002-unknown
045-05-####,1936-1950
045-06-####,2003-2005
045-07-####,1936-1950
045-08-####,2005-2007
045-09-####,1936-1950
045-10-####,1936-1950
045-11-####,2007-2008
045-12-####,1936-1950
045-13-####,2008-2010
045-14-####,1936-1950
045-15-####,2010-2011
045-16-####,1936-1950
045-18-####,1936-1950
045-20-####,1936-1950
045-22-####,1936-1950
045-24-####,1936-1950
045-26-####,1951-unknown
045-28-####,1952-1953
045-30-####,1954-1956
045-32-####,1957-1958
045-34-####,1959-1960
045-36-####,1961-1962
045-38-####,1963-unknown
045-40-####,1963-unknown
045-42-####,1964-unknown
045-44-####,1965-1966
045-46-####,1967-unknown
045-48-####,1968-unknown
045-50-####,1969-unknown
045-52-####,1970-1971
045-54-####,1972-1977
045-56-####,1973-1977
045-58-####,1973-1977
045-60-####,1973-1977
045-62-####,1974-1977
045-64-####,1975-1977
045-66-####,1976-1977
045-68-####,1978-1979
045-70-####,1980-unknown
045-72-####,1981-1982
045-74-####,1983-unknown
045-76-####,1984-1985
045-78-####,1986-unknown
045-80-####,1987-unknown
045-82-####,1988-unknown
045-84-####,1988-1992
045-86-####,1988-1992
045-88-####,1992-unknown
045-90-####,1992-1995
045-92-####,1992-1995
045-94-####,1995-unknown
045-96-####,1997-1998
045-98-####,1998-unknown
046-01-####,1936-1950
046-02-####,2000-2001
046-03-####,1936-1950
046-04-####,2002-2003
046-05-####,1936-1950
046-06-####,2003-2005
046-07-####,1936-1950
046-08-####,2005-2007
046-09-####,1936-1950
046-10-####,1936-1950
046-11-####,2007-2009
046-12-####,1936-1950
046-13-####,2009-2010
046-14-####,1936-1950
