SSN Prefix,Years Issued
221-01-####,1936-1950
221-02-####,2004-2006
221-03-####,1936-1950
221-04-####,2006-2007
221-05-####,1936-1950
221-06-####,2007-2008
221-07-####,1936-1950
221-08-####,2008-2009
221-09-####,1936-1950
221-10-####,1936-1950
221-11-####,2009-2011
221-12-####,1936-1950
221-13-####,2011-unknown
221-14-####,1936-1950
221-16-####,1936-1950
221-18-####,1936-1950
221-20-####,1936-1950
221-22-####,1951-1953
221-24-####,1954-1955
221-26-####,1956-1958
221-28-####,1959-1960
221-30-####,1961-1962
221-32-####,1963-1964
221-34-####,1965-unknown
221-36-####,1966-unknown
221-38-####,1967-unknown
221-40-####,1968-1969
221-42-####,1970-unknown
221-44-####,1971-unknown
221-46-####,1972-unknown
221-48-####,1973-unknown
221-50-####,1973-unknown
221-52-####,1973-unknown
221-54-####,1974-unknown
221-56-####,1975-unknown
221-58-####,1975-unknown
221-60-####,1976-1979
221-62-####,1980-unknown
221-64-####,1981-1982
221-66-####,1983-unknown
221-68-####,1984-unknown
221-70-####,1985-1986
221-72-####,1987-unknown
221-74-####,1988-unknown
221-76-####,1988-unknown
221-78-####,1989-1992
221-80-####,1989-1992
221-82-####,1989-1992
221-84-####,1993-unknown
221-86-####,1994-unknown
221-88-####,1996-unknown
221-90-####,1997-1998
221-92-####,1999-unknown
221-94-####,2000-2002
221-96-####,2002-unknown
221-98-####,2003-2004
222-01-####,1936-1950
222-02-####,2005-2006
222-03-####,1936-1950
222-04-####,2006-2007
222-05-####,1936-1950
222-06-####,2007-2009
222-07-####,1936-1950
222-08-####,2009-2010
222-09-####,1936-1950
222-10-####,1936-1950
222-11-####,2010-2011
222-12-####,1936-1950
222-14-####,1936-1950
222-16-####,1936-1950
222-18-####,1936-1950
222-20-####,1951-1952
222-22-####,1953-1954
222-24-####,1955-1957
222-26-####,1958-1960
222-28-####,1961-1962
222-30-####,1963-unknown
222-32-####,1964-unknown
222-34-####,1965-1966
222-36-####,1967-unknown
222-38-####,1968-unknown
222-40-####,1969-unknown
222-42-####,1970-unknown
222-44-####,1971-unknown
222-46-####,1972-unknown
222-48-####,1973-unknown
222-50-####,1973-unknown
222-52-####,1973-unknown
222-54-####,1974-unknown
222-56-####,1975-unknown
222-58-####,1976-unknown
222-60-####,1977-1979
222-62-####,1980-1981
222-64-####,1982-unknown
222-66-####,1983-1984
222-68-####,1985-unknown
222-70-####,1986-unknown
222-72-####,1987-unknown
222-74-####,1988-unknown
222-76-####,1989-1992
222-78-####,1989-1992
222-80-####,1989-1992
222-82-####,1989-1992
222-84-####,1994-unknown
222-86-####,1995-unknown
222-88-####,1997-1998
222-90-####,1998-2000
222-92-####,2000-unknown
222-94-####,2001-2002
222-96-####,2003-2004
222-98-####,2004-2005
