SSN Prefix,Years Issued
577-01-####,1936-1950
577-02-####,1979-unknown
577-03-####,1936-1950
577-04-####,1980-unknown
577-05-####,1936-1950
577-06-####,1981-1982
577-07-####,1936-1950
577-08-####,1983-unknown
577-09-####,1936-1950
577-10-####,1936-1950
577-11-####,1984-1985
577-12-####,1936-1950
577-13-####,1986-unknown
577-14-####,1936-1950
577-15-####,1987-1988
577-16-####,1936-1950
577-17-####,1989-1992
577-18-####,1936-1950
577-19-####,1989-1992
577-20-####,1936-1950
577-21-####,1989-1992
577-22-####,1936-1950
577-23-####,1989-1992
577-24-####,1936-1950
577-25-####,1993-unknown
577-26-####,1936-1950
577-27-####,1995-unknown
577-28-####,1936-1950
577-29-####,1996-1998
577-30-####,1936-1950
577-31-####,1998-unknown
577-32-####,1936-1950
577-33-####,2001-unknown
577-34-####,1936-1950
577-35-####,2002-unknown
577-36-####,1936-1950
577-37-####,2003-2004
577-38-####,1936-1950
577-39-####,2004-2005
577-40-####,1936-1950
577-41-####,2005-2006
577-42-####,1936-1950
577-43-####,2006-2007
577-44-####,1936-1950
577-45-####,2007-2008
577-46-####,1951-unknown
577-47-####,2008-2009
577-48-####,1952-unknown
577-49-####,2009-unknown
577-50-####,1953-unknown
577-51-####,2009-2010
577-52-####,1954-1956
577-53-####,2010-2011
577-54-####,1957-unknown
577-56-####,1958-1959
577-58-####,1960-unknown
577-60-####,1961-1962
577-62-####,1963-unknown
577-64-####,1963-1964
577-66-####,1965-unknown
577-68-####,1966-unknown
577-70-####,1967-unknown
577-72-####,1967-unknown
577-74-####,1968-1969
577-76-####,1970-unknown
577-78-####,1971-unknown
577-80-####,1972-unknown
577-82-####,1973-unknown
577-84-####,1973-unknown
577-86-####,1973-unknown
577-88-####,1974-unknown
577-90-####,1976-unknown
577-92-####,1976-unknown
577-94-####,1976-unknown
577-96-####,1976-1977
577-98-####,1978-unknown
578-01-####,1936-1950
578-02-####,1980-unknown
578-03-####,1936-1950
578-04-####,1981-unknown
578-05-####,1936-1950
578-06-####,1982-unknown
578-07-####,1936-1950
578-08-####,1983-1984
578-09-####,1936-1950
578-10-####,1936-1950
578-11-####,1985-1986
578-12-####,1936-1950
578-13-####,1987-unknown
578-14-####,1936-1950
578-15-####,1988-unknown
578-16-####,1936-1950
578-17-####,1989-1992
578-18-####,1936-1950
578-19-####,1989-1992
578-20-####,1936-1950
578-21-####,1989-1992
578-22-####,1936-1950
578-23-####,1989-1992
578-24-####,1936-1950
578-25-####,1994-unknown
578-26-####,1936-1950
578-27-####,1995-unknown
578-28-####,1936-1950
578-29-####,1997-1998
578-30-####,1936-1950
578-31-####,1999-2000
578-32-####,1936-1950
578-33-####,2001-2003
578-34-####,1936-1950
578-35-####,2003-2004
578-36-####,1936-1950
578-37-####,2004-2005
578-38-####,1936-1950
578-39-####,2005-unknown
578-40-####,1936-1950
578-41-####,2005-2006
578-42-####,1936-1950
578-43-####,2006-2007
578-44-####,1936-1950
578-45-####,2007-2008
578-46-####,1951-1952
578-47-####,2008-2009
578-48-####,1953-unknown
578-49-####,2009-2010
578-50-####,1954-unknown
578-51-####,2010-2011
578-52-####,1955-1956
578-53-####,2011-unknown
578-54-####,1957-1958
578-56-####,1959-1960
578-58-####,1961-unknown
578-60-####,1962-unknown
578-62-####,1963-unknown
578-64-####,1964-unknown
578-66-####,1965-unknown
578-68-####,1966-unknown
578-70-####,1967-unknown
578-72-####,1968-unknown
578-74-####,1968-1969
578-76-####,1970-unknown
578-78-####,1971-unknown
578-80-####,1972-unknown
578-82-####,1973-unknown
578-84-####,1973-unknown
578-86-####,1973-unknown
578-88-####,1974-unknown
578-90-####,1975-unknown
578-92-####,1975-unknown
578-94-####,1976-unknown
578-96-####,1977-1978
578-98-####,1979-unknown
579-01-####,1936-1950
579-02-####,1980-unknown
579-03-####,1936-1950
579-04-####,1981-unknown
579-05-####,1936-1950
579-06-####,1982-1983
579-07-####,1936-1950
579-08-####,1984-1985
579-09-####,1936-1950
579-10-####,1936-1950
579-11-####,1986-unknown
579-12-####,1936-1950
579-13-####,1987-unknown
579-14-####,1936-1950
579-15-####,1988-unknown
579-16-####,1936-1950
579-17-####,1989-1992
579-18-####,1936-1950
579-19-####,1989-1992
579-20-####,1936-1950
579-21-####,1989-1992
579-22-####,1936-1950
579-23-####,1993-unknown
579-24-####,1936-1950
579-25-####,1994-unknown
579-26-####,1936-1950
579-27-####,1996-1998
579-28-####,1936-1950
579-29-####,1998-1999
579-30-####,1951-unknown
579-31-####,2000-2001
579-32-####,1952-unknown
579-33-####,2002-unknown
579-34-####,1952-unknown
579-35-####,2003-2004
