SSN Prefix,Years Issued
261-01-####,1936-1950
261-02-####,1966-unknown
261-03-####,1936-1950
261-04-####,1966-unknown
261-05-####,1936-1950
261-06-####,1966-unknown
261-07-####,1936-1950
261-08-####,1966-unknown
261-09-####,1936-1950
261-10-####,1936-1950
261-11-####,1966-unknown
261-12-####,1936-1950
261-13-####,1966-1967
261-14-####,1936-1950
261-15-####,1968-unknown
261-16-####,1936-1950
261-17-####,1968-unknown
261-18-####,1936-1950
261-19-####,1968-unknown
261-20-####,1936-1950
261-21-####,1969-unknown
261-22-####,1936-1950
261-23-####,1969-unknown
261-24-####,1936-1950
261-25-####,1970-unknown
261-26-####,1936-1950
261-27-####,1970-unknown
261-28-####,1936-1950
261-29-####,1970-unknown
261-30-####,1936-1950
261-31-####,1970-unknown
261-32-####,1936-1950
261-33-####,1971-unknown
261-34-####,1936-1950
261-35-####,1971-unknown
261-36-####,1936-1950
261-37-####,1972-unknown
261-38-####,1936-1950
261-39-####,1972-unknown
261-40-####,1936-1950
261-41-####,1973-unknown
261-42-####,1936-1950
261-43-####,1973-unknown
261-44-####,1936-1950
261-45-####,1973-unknown
261-46-####,1936-1950
261-47-####,1973-unknown
261-48-####,1951-unknown
261-49-####,1973-unknown
261-50-####,1952-unknown
261-51-####,1973-unknown
261-52-####,1953-unknown
261-53-####,1974-unknown
261-54-####,1954-unknown
261-55-####,1974-unknown
261-56-####,1955-unknown
261-57-####,1974-unknown
261-58-####,1955-unknown
261-59-####,1974-unknown
261-60-####,1956-unknown
261-61-####,1974-unknown
261-62-####,1957-unknown
261-63-####,1975-unknown
261-64-####,1958-unknown
261-65-####,1975-unknown
261-66-####,1959-unknown
261-67-####,1975-unknown
261-68-####,1959-unknown
261-69-####,1976-unknown
261-70-####,1960-unknown
261-71-####,1976-unknown
261-72-####,1961-unknown
261-73-####,1976-unknown
261-74-####,1961-unknown
261-75-####,1976-unknown
261-76-####,1962-unknown
261-77-####,1977-unknown
261-78-####,1962-unknown
261-79-####,1977-unknown
261-80-####,1963-unknown
261-81-####,1977-unknown
261-82-####,1963-unknown
261-83-####,1978-unknown
261-84-####,1963-unknown
261-85-####,1978-unknown
261-86-####,1963-unknown
261-87-####,1978-unknown
261-88-####,1963-unknown
261-89-####,1979-unknown
261-90-####,1964-unknown
261-91-####,1979-unknown
261-92-####,1964-unknown
261-93-####,1980-unknown
261-94-####,1964-unknown
261-95-####,1980-unknown
261-96-####,1965-unknown
261-97-####,1980-unknown
261-98-####,1965-unknown
261-99-####,1980-unknown
262-01-####,1936-1950
262-02-####,1967-unknown
262-03-####,1936-1950
262-04-####,1967-unknown
262-05-####,1936-1950
262-06-####,1967-unknown
262-07-####,1936-1950
262-08-####,1967-unknown
262-09-####,1936-1950
262-10-####,1936-1950
262-11-####,1967-unknown
262-12-####,1936-1950
262-13-####,1967-unknown
262-14-####,1936-1950
262-15-####,1968-unknown
262-16-####,1936-1950
262-17-####,1968-unknown
262-18-####,1936-1950
262-19-####,1968-unknown
262-20-####,1936-1950
262-21-####,1969-unknown
262-22-####,1936-1950
262-23-####,1969-unknown
262-24-####,1936-1950
262-25-####,1970-unknown
262-26-####,1936-1950
262-27-####,1970-unknown
262-28-####,1936-1950
262-29-####,1970-unknown
262-30-####,1936-1950
262-31-####,1971-unknown
262-32-####,1936-1950
262-33-####,1971-unknown
262-34-####,1936-1950
262-35-####,1971-unknown
262-36-####,1936-1950
262-37-####,1972-unknown
262-38-####,1936-1950
262-39-####,1972-unknown
262-40-####,1936-1950
262-41-####,1973-unknown
262-42-####,1936-1950
