SSN Prefix,Years Issued
252-01-####,1936-1950
252-02-####,1971-unknown
252-03-####,1936-1950
252-04-####,1972-unknown
252-05-####,1936-1950
252-06-####,1972-unknown
252-07-####,1936-1950
252-08-####,1973-unknown
252-09-####,1936-1950
252-10-####,1936-1950
252-11-####,1973-unknown
252-12-####,1936-1950
252-13-####,1973-unknown
252-14-####,1936-1950
252-15-####,1973-unknown
252-16-####,1936-1950
252-17-####,1974-unknown
252-18-####,1936-1950
252-19-####,1974-unknown
252-20-####,1936-1950
252-21-####,1975-unknown
252-22-####,1936-1950
252-23-####,1975-unknown
252-24-####,1936-1950
252-25-####,1976-unknown
252-26-####,1936-1950
252-27-####,1976-unknown
252-28-####,1936-1950
252-29-####,1977-unknown
252-30-####,1936-1950
252-31-####,1978-unknown
252-32-####,1936-1950
252-33-####,1979-unknown
252-34-####,1936-1950
252-35-####,1980-unknown
252-36-####,1936-1950
252-37-####,1980-unknown
252-38-####,1936-1950
252-39-####,1981-unknown
252-40-####,1936-1950
252-41-####,1982-unknown
252-42-####,1936-1950
252-43-####,1983-unknown
252-44-####,1936-1950
252-45-####,1983-unknown
252-46-####,1936-1950
252-47-####,1984-unknown
252-48-####,1936-1950
252-49-####,1984-unknown
252-50-####,1936-1950
252-51-####,1985-unknown
252-52-####,1951-unknown
252-53-####,1986-unknown
252-54-####,1952-unknown
252-55-####,1986-unknown
252-56-####,1953-1954
252-57-####,1987-unknown
252-58-####,1955-unknown
252-59-####,1987-unknown
252-60-####,1956-unknown
252-61-####,1987-unknown
252-62-####,1957-unknown
252-63-####,1988-unknown
252-64-####,1957-1958
252-65-####,1988-unknown
252-66-####,1959-unknown
252-67-####,1988-unknown
252-68-####,1960-unknown
252-69-####,1989-1992
252-70-####,1961-unknown
252-71-####,1989-1992
252-72-####,1962-unknown
252-73-####,1989-1992
252-74-####,1963-unknown
252-75-####,1989-1992
252-76-####,1963-unknown
252-77-####,1989-1992
252-78-####,1964-unknown
252-79-####,1989-1992
252-80-####,1965-unknown
252-81-####,1989-1992
252-82-####,1965-unknown
252-83-####,1989-1992
252-84-####,1966-unknown
252-85-####,1989-1992
252-86-####,1966-unknown
252-87-####,1993-unknown
252-88-####,1966-1967
252-89-####,1994-unknown
252-90-####,1968-unknown
252-91-####,1994-unknown
252-92-####,1968-unknown
252-93-####,1995-unknown
252-94-####,1969-unknown
