SSN Prefix,Years Issued
575-01-####,1936-1950
575-02-####,1976-unknown
575-03-####,1936-1950
575-04-####,1976-unknown
575-05-####,1936-1950
575-06-####,1977-1978
575-07-####,1936-1950
575-08-####,1979-unknown
575-09-####,1936-1950
575-10-####,1936-1950
575-11-####,1979-unknown
575-12-####,1936-1950
575-13-####,1980-unknown
575-14-####,1936-1950
575-15-####,1981-unknown
575-16-####,1936-1950
575-17-####,1981-unknown
575-18-####,1936-1950
575-19-####,1982-unknown
575-20-####,1936-1950
575-21-####,1983-unknown
575-22-####,1936-1950
575-23-####,1983-unknown
575-24-####,1936-1950
575-25-####,1984-unknown
575-26-####,1936-1950
575-27-####,1984-unknown
575-28-####,1936-1950
575-29-####,1985-unknown
575-30-####,1936-1950
575-31-####,1985-unknown
575-32-####,1951-unknown
575-33-####,1986-unknown
575-34-####,1952-unknown
575-35-####,1987-unknown
575-36-####,1952-1955
575-37-####,1987-unknown
575-38-####,1956-unknown
575-39-####,1987-unknown
575-40-####,1957-1958
575-41-####,1988-unknown
575-42-####,1959-unknown
575-43-####,1988-unknown
575-44-####,1960-unknown
575-45-####,1988-unknown
575-46-####,1961-unknown
575-47-####,1988-1992
575-48-####,1962-unknown
575-49-####,1988-1992
575-50-####,1963-unknown
575-51-####,1988-1992
575-52-####,1964-unknown
575-53-####,1988-1992
575-54-####,1965-unknown
575-55-####,1988-1992
575-56-####,1965-unknown
575-57-####,1988-1992
575-58-####,1966-unknown
575-59-####,1988-1992
575-60-####,1967-unknown
575-61-####,1992-unknown
575-62-####,1967-unknown
575-63-####,1992-1995
575-64-####,1968-unknown
575-65-####,1992-1995
575-66-####,1969-unknown
575-67-####,1992-1995
575-68-####,1969-unknown
575-69-####,1992-1995
575-70-####,1970-unknown
575-71-####,1995-unknown
575-72-####,1970-unknown
575-73-####,1995-unknown
575-74-####,1971-unknown
575-75-####,1996-unknown
575-76-####,1971-unknown
575-77-####,1996-unknown
575-78-####,1972-unknown
575-79-####,1997-unknown
575-80-####,1973-unknown
575-81-####,1998-unknown
575-82-####,1973-unknown
575-83-####,1998-1999
575-84-####,1973-unknown
575-85-####,1999-unknown
575-86-####,1973-unknown
575-87-####,2000-unknown
575-88-####,1973-unknown
575-89-####,2000-2001
575-90-####,1974-unknown
575-91-####,2001-unknown
575-92-####,1974-unknown
575-93-####,2002-unknown
575-94-####,1975-unknown
575-95-####,2002-unknown
575-96-####,1975-unknown
575-97-####,2003-unknown
575-98-####,1976-unknown
575-99-####,2003-2004
576-01-####,1936-1950
576-02-####,1976-unknown
576-03-####,1936-1950
576-04-####,1977-1978
576-05-####,1936-1950
576-06-####,1979-unknown
576-07-####,1936-1950
576-08-####,1979-unknown
576-09-####,1936-1950
576-10-####,1936-1950
576-11-####,1980-unknown
576-12-####,1936-1950
576-13-####,1980-unknown
576-14-####,1936-1950
576-15-####,1981-unknown
576-16-####,1936-1950
576-17-####,1982-unknown
576-18-####,1936-1950
576-19-####,1982-unknown
576-20-####,1936-1950
576-21-####,1983-unknown
576-22-####,1936-1950
576-23-####,1983-unknown
576-24-####,1936-1950
576-25-####,1984-unknown
576-26-####,1936-1950
576-27-####,1984-unknown
576-28-####,1936-1950
576-29-####,1985-unknown
576-30-####,1951-unknown
576-31-####,1986-unknown
576-32-####,1952-1953
576-33-####,1986-unknown
576-34-####,1954-unknown
576-35-####,1987-unknown
576-36-####,1954-1955
576-37-####,1987-unknown
576-38-####,1956-1957
576-39-####,1987-unknown
576-40-####,1958-unknown
576-41-####,1988-unknown
576-42-####,1959-unknown
576-43-####,1988-unknown
576-44-####,1960-1961
576-45-####,1988-1992
576-46-####,1962-unknown
576-47-####,1988-1992
576-48-####,1962-unknown
576-49-####,1988-1992
576-50-####,1963-unknown
576-51-####,1988-1992
576-52-####,1964-unknown
576-53-####,1988-1992
576-54-####,1965-unknown
576-55-####,1988-1992
576-56-####,1966-unknown
576-57-####,1988-1992
576-58-####,1966-unknown
576-59-####,1992-unknown
576-60-####,1967-unknown
576-61-####,1992-1995
576-62-####,1968-unknown
576-63-####,1992-1995
576-64-####,1968-unknown
576-65-####,1992-1995
576-66-####,1969-unknown
576-67-####,1992-1995
576-68-####,1970-unknown
576-69-####,1992-1995
576-70-####,1970-unknown
576-71-####,1995-unknown
576-72-####,1970-unknown
576-73-####,1995-unknown
576-74-####,1971-unknown
576-75-####,1996-unknown
576-76-####,1972-unknown
576-77-####,1997-unknown
576-78-####,1973-unknown
576-79-####,1997-1998
576-80-####,1973-unknown
576-81-####,1998-1999
576-82-####,1973-unknown
576-83-####,1999-unknown
576-84-####,1973-unknown
576-85-####,1999-2000
576-86-####,1973-unknown
576-87-####,2000-unknown
576-88-####,1973-unknown
576-89-####,2001-unknown
576-90-####,1974-unknown
576-91-####,2001-2002
576-92-####,1974-unknown
576-93-####,2002-unknown
576-94-####,1975-unknown
576-95-####,2003-unknown
576-96-####,1975-unknown
576-97-####,2003-2004
576-98-####,1976-unknown
576-99-####,2004-unknown
750-01-####,2004-2005
750-03-####,2005-2006
750-05-####,2006-unknown
750-07-####,2006-2007
750-09-####,2007-unknown
750-10-####,2007-2008
750-12-####,2008-2009
750-14-####,2009-unknown
750-16-####,2009-2010
750-18-####,2010-2011
750-20-####,2011-unknown
751-01-####,2004-2005
751-03-####,2005-2006
751-05-####,2006-2007
751-07-####,2007-unknown
751-09-####,2007-2008
751-10-####,2008-unknown
751-12-####,2008-2009
751-14-####,2009-2010
751-16-####,2010-2011
751-18-####,2011-unknown
