SSN Prefix,Years Issued
518-01-####,1936-1950
518-02-####,1981-unknown
518-03-####,1936-1950
518-04-####,1982-unknown
518-05-####,1936-1950
518-06-####,1983-unknown
518-07-####,1936-1950
518-08-####,1983-unknown
518-09-####,1936-1950
518-10-####,1936-1950
518-11-####,1984-unknown
518-12-####,1936-1950
518-13-####,1985-unknown
518-14-####,1936-1950
518-15-####,1986-unknown
518-16-####,1936-1950
518-17-####,1986-unknown
518-18-####,1936-1950
518-19-####,1987-unknown
518-20-####,1936-1950
518-21-####,1987-unknown
518-22-####,1936-1950
518-23-####,1987-unknown
518-24-####,1936-1950
518-25-####,1988-unknown
518-26-####,1936-1950
518-27-####,1988-unknown
518-28-####,1936-1950
518-29-####,1988-unknown
518-30-####,1936-1950
518-31-####,1989-1992
518-32-####,1936-1950
518-33-####,1989-1992
518-34-####,1936-1950
518-35-####,1989-1992
518-36-####,1936-1950
518-37-####,1989-1992
518-38-####,1951-1952
518-39-####,1989-1992
518-40-####,1953-1954
518-41-####,1989-1992
518-42-####,1955-unknown
518-43-####,1993-unknown
518-44-####,1956-unknown
518-45-####,1994-unknown
518-46-####,1957-unknown
518-47-####,1994-unknown
518-48-####,1958-1959
518-49-####,1995-unknown
518-50-####,1960-unknown
518-51-####,1996-unknown
518-52-####,1961-unknown
518-53-####,1997-1998
518-54-####,1962-unknown
518-55-####,1998-unknown
518-56-####,1963-unknown
518-57-####,1999-unknown
518-58-####,1963-1964
518-59-####,2000-unknown
518-60-####,1965-unknown
518-61-####,2000-2001
518-62-####,1966-unknown
518-63-####,2001-2002
518-64-####,1966-unknown
518-65-####,2002-unknown
518-66-####,1967-unknown
518-67-####,2003-2004
518-68-####,1968-unknown
518-69-####,2004-unknown
518-70-####,1969-unknown
518-71-####,2004-2005
518-72-####,1970-unknown
518-73-####,2005-2006
518-74-####,1971-unknown
518-75-####,2006-2007
518-76-####,1972-unknown
518-77-####,2007-unknown
518-78-####,1973-unknown
518-79-####,2007-2008
518-80-####,1973-unknown
518-81-####,2008-2009
518-82-####,1973-unknown
518-83-####,2009-unknown
518-84-####,1973-unknown
518-85-####,2009-2010
518-86-####,1973-unknown
518-87-####,2010-2011
518-88-####,1974-unknown
518-89-####,2011-unknown
518-90-####,1975-unknown
518-92-####,1975-unknown
518-94-####,1976-1978
518-96-####,1979-unknown
518-98-####,1980-unknown
519-01-####,1936-1950
519-02-####,1982-unknown
519-03-####,1936-1950
519-04-####,1983-unknown
519-05-####,1936-1950
519-06-####,1983-unknown
519-07-####,1936-1950
519-08-####,1984-unknown
519-09-####,1936-1950
519-10-####,1936-1950
519-11-####,1984-unknown
519-12-####,1936-1950
519-13-####,1985-unknown
519-14-####,1936-1950
519-15-####,1986-unknown
519-16-####,1936-1950
519-17-####,1987-unknown
519-18-####,1936-1950
519-19-####,1987-unknown
519-20-####,1936-1950
519-21-####,1987-unknown
519-22-####,1936-1950
519-23-####,1987-unknown
519-24-####,1936-1950
519-25-####,1988-unknown
519-26-####,1936-1950
519-27-####,1988-unknown
519-28-####,1936-1950
519-29-####,1988-unknown
519-30-####,1936-1950
519-31-####,1989-1992
519-32-####,1936-1950
519-33-####,1989-1992
519-34-####,1936-1950
519-35-####,1989-1992
519-36-####,1951-1952
519-37-####,1989-1992
519-38-####,1953-unknown
519-39-####,1989-1992
519-40-####,1954-unknown
519-41-####,1989-1992
519-42-####,1955-unknown
519-43-####,1993-unknown
519-44-####,1956-1957
519-45-####,1994-unknown
519-46-####,1958-unknown
519-47-####,1995-unknown
519-48-####,1959-unknown
519-49-####,1996-unknown
519-50-####,1960-unknown
519-51-####,1997-unknown
519-52-####,1961-unknown
519-53-####,1998-unknown
519-54-####,1962-unknown
519-55-####,1998-1999
519-56-####,1963-1964
519-57-####,1999-2000
519-58-####,1965-unknown
519-59-####,2000-unknown
519-60-####,1965-unknown
519-61-####,2001-unknown
519-62-####,1966-unknown
519-63-####,2002-unknown
519-64-####,1967-unknown
519-65-####,2003-unknown
519-66-####,1968-unknown
519-67-####,2003-2004
519-68-####,1969-unknown
519-69-####,2004-2005
519-70-####,1969-unknown
519-71-####,2005-2006
519-72-####,1970-unknown
519-73-####,2006-unknown
519-74-####,1971-unknown
519-75-####,2006-2007
519-76-####,1972-unknown
519-77-####,2007-2008
519-78-####,1973-unknown
519-79-####,2008-unknown
519-80-####,1973-unknown
519-81-####,2008-2009
519-82-####,1973-unknown
519-83-####,2009-2010
519-84-####,1973-unknown
519-85-####,2010-unknown
519-86-####,1974-unknown
519-87-####,2010-2011
519-88-####,1974-unknown
519-90-####,1975-unknown
519-92-####,1976-unknown
519-94-####,1977-1979
519-96-####,1980-unknown
519-98-####,1981-unknown
