SSN Prefix,Years Issued
318-01-####,1936-1950
318-02-####,2002-2004
318-03-####,1936-1950
318-04-####,2004-2006
318-05-####,1936-1950
318-06-####,2006-2008
318-07-####,1936-1950
318-08-####,2008-2010
318-09-####,1936-1950
318-10-####,1936-1950
318-11-####,2010-2011
318-12-####,1936-1950
318-14-####,1936-1950
318-16-####,1936-1950
318-18-####,1936-1950
318-20-####,1936-1950
318-22-####,1936-1950
318-24-####,1936-1950
318-26-####,1936-1950
318-28-####,1951-unknown
318-30-####,1952-1953
318-32-####,1954-1955
318-34-####,1956-1958
318-36-####,1959-1960
318-38-####,1961-1962
318-40-####,1963-unknown
318-42-####,1964-unknown
318-44-####,1965-unknown
318-46-####,1966-1967
318-48-####,1968-unknown
318-50-####,1969-unknown
318-52-####,1970-unknown
318-54-####,1971-1972
318-56-####,1973-unknown
318-58-####,1973-unknown
318-60-####,1974-unknown
318-62-####,1975-unknown
318-64-####,1976-unknown
318-66-####,1977-1978
318-68-####,1979-1980
318-70-####,1981-unknown
318-72-####,1982-1983
318-74-####,1984-unknown
318-76-####,1985-1986
318-78-####,1987-unknown
318-80-####,1987-unknown
318-82-####,1988-unknown
318-84-####,1989-1992
318-86-####,1989-1992
318-88-####,1989-1992
318-90-####,1994-unknown
318-92-####,1995-unknown
318-94-####,1997-1998
318-96-####,1999-unknown
318-98-####,2000-unknown
319-01-####,1936-1950
319-02-####,2002-2004
319-03-####,1936-1950
319-04-####,2004-2006
319-05-####,1936-1950
319-06-####,2006-2008
319-07-####,1936-1950
319-08-####,2008-2010
319-09-####,1936-1950
319-10-####,1936-1950
319-11-####,2010-2011
319-12-####,1936-1950
319-14-####,1936-1950
319-16-####,1936-1950
319-18-####,1936-1950
319-20-####,1936-1950
319-22-####,1936-1950
319-24-####,1936-1950
319-26-####,1936-1950
319-28-####,1951-unknown
319-30-####,1952-1953
319-32-####,1954-1955
319-34-####,1956-1958
319-36-####,1959-1960
319-38-####,1961-1962
319-40-####,1963-unknown
319-42-####,1964-unknown
319-44-####,1965-unknown
319-46-####,1966-1967
319-48-####,1968-unknown
319-50-####,1969-unknown
319-52-####,1970-1971
319-54-####,1972-unknown
319-56-####,1973-unknown
319-58-####,1973-unknown
319-60-####,1974-unknown
319-62-####,1975-unknown
319-64-####,1976-unknown
319-66-####,1977-1978
319-68-####,1979-1980
319-70-####,1981-unknown
319-72-####,1982-1983
319-74-####,1984-unknown
319-76-####,1985-1986
319-78-####,1987-unknown
319-80-####,1988-unknown
319-82-####,1988-unknown
319-84-####,1989-1992
319-86-####,1989-1992
319-88-####,1989-1992
319-90-####,1994-unknown
319-92-####,1995-unknown
319-94-####,1997-1998
319-96-####,1999-unknown
319-98-####,2000-unknown
320-01-####,1936-1950
320-02-####,2002-2004
320-03-####,1936-1950
320-04-####,2004-2006
320-05-####,1936-1950
320-06-####,2006-2008
320-07-####,1936-1950
320-08-####,2008-2010
320-09-####,1936-1950
320-10-####,1936-1950
320-11-####,2010-2011
320-12-####,1936-1950
320-14-####,1936-1950
320-16-####,1936-1950
320-18-####,1936-1950
320-20-####,1936-1950
320-22-####,1936-1950
320-24-####,1936-1950
320-26-####,1936-1950
