SSN Prefix,Years Issued
303-01-####,1936-1950
303-02-####,1987-unknown
303-03-####,1936-1950
303-04-####,1988-unknown
303-05-####,1936-1950
303-06-####,1989-1992
303-07-####,1936-1950
303-08-####,1989-1992
303-09-####,1936-1950
303-10-####,1936-1950
303-11-####,1989-1992
303-12-####,1936-1950
303-13-####,1989-1992
303-14-####,1936-1950
303-15-####,1994-unknown
303-16-####,1936-1950
303-17-####,1995-unknown
303-18-####,1936-1950
303-19-####,1997-1998
303-20-####,1936-1950
303-21-####,1998-unknown
303-22-####,1936-1950
303-23-####,2000-unknown
303-24-####,1936-1950
303-25-####,2001-2003
303-26-####,1936-1950
303-27-####,2003-2004
303-28-####,1936-1950
303-29-####,2004-2006
303-30-####,1936-1950
303-31-####,2006-2007
303-32-####,1936-1950
303-33-####,2007-2009
303-34-####,1936-1950
303-35-####,2009-2010
303-36-####,1951-1952
303-37-####,2010-2011
303-38-####,1953-1954
303-40-####,1955-unknown
303-42-####,1956-1957
303-44-####,1958-1959
303-46-####,1960-1961
303-48-####,1962-unknown
303-50-####,1963-unknown
303-52-####,1963-1964
303-54-####,1965-unknown
303-56-####,1966-unknown
303-58-####,1967-unknown
303-60-####,1968-unknown
303-62-####,1969-unknown
303-64-####,1970-unknown
303-66-####,1971-unknown
303-68-####,1972-unknown
303-70-####,1973-unknown
303-72-####,1973-unknown
303-74-####,1974-unknown
303-76-####,1975-unknown
303-78-####,1976-unknown
303-80-####,1976-unknown
303-82-####,1977-1978
303-84-####,1979-unknown
303-86-####,1980-unknown
303-88-####,1981-1982
303-90-####,1983-unknown
303-92-####,1984-unknown
303-94-####,1985-unknown
303-96-####,1986-unknown
303-98-####,1987-unknown
304-01-####,1936-1950
304-02-####,1987-unknown
304-03-####,1936-1950
304-04-####,1988-unknown
304-05-####,1936-1950
304-06-####,1989-1992
304-07-####,1936-1950
304-08-####,1989-1992
304-09-####,1936-1950
304-10-####,1936-1950
304-11-####,1989-1992
304-12-####,1936-1950
304-13-####,1989-1992
304-14-####,1936-1950
304-15-####,1994-unknown
304-16-####,1936-1950
304-17-####,1995-unknown
304-18-####,1936-1950
304-19-####,1997-1998
304-20-####,1936-1950
304-21-####,1998-unknown
304-22-####,1936-1950
304-23-####,2000-unknown
304-24-####,1936-1950
304-25-####,2001-unknown
304-26-####,1936-1950
304-27-####,2003-2004
304-28-####,1936-1950
304-29-####,2004-2006
304-30-####,1936-1950
304-31-####,2006-2007
304-32-####,1936-1950
304-33-####,2007-2009
304-34-####,1951-unknown
304-35-####,2009-2010
304-36-####,1952-unknown
304-37-####,2010-2011
304-38-####,1953-1954
304-40-####,1955-unknown
304-42-####,1956-1957
304-44-####,1958-1959
304-46-####,1960-1961
304-48-####,1962-unknown
304-50-####,1963-unknown
304-52-####,1963-1964
304-54-####,1965-unknown
304-56-####,1966-unknown
304-58-####,1967-unknown
304-60-####,1968-unknown
304-62-####,1969-unknown
304-64-####,1970-unknown
304-66-####,1971-unknown
304-68-####,1972-unknown
304-70-####,1973-unknown
304-72-####,1973-unknown
304-74-####,1974-unknown
304-76-####,1975-unknown
304-78-####,1976-unknown
304-80-####,1976-unknown
304-82-####,1977-1978
304-84-####,1979-unknown
304-86-####,1980-1981
304-88-####,1982-unknown
304-90-####,1983-unknown
304-92-####,1984-unknown
304-94-####,1985-unknown
304-96-####,1986-unknown
304-98-####,1987-unknown
305-01-####,1936-1950
305-02-####,1987-unknown
305-03-####,1936-1950
305-04-####,1988-unknown
305-05-####,1936-1950
305-06-####,1989-1992
305-07-####,1936-1950
305-08-####,1989-1992
305-09-####,1936-1950
305-10-####,1936-1950
305-11-####,1989-1992
305-12-####,1936-1950
305-13-####,1989-1992
305-14-####,1936-1950
305-15-####,1994-unknown
305-16-####,1936-1950
305-17-####,1995-unknown
305-18-####,1936-1950
305-19-####,1997-1998
305-20-####,1936-1950
305-21-####,1998-unknown
305-22-####,1936-1950
305-23-####,2000-unknown
305-24-####,1936-1950
305-25-####,2001-2002
305-26-####,1936-1950
305-27-####,2003-2004
305-28-####,1936-1950
305-29-####,2004-2006
305-30-####,1936-1950
305-31-####,2006-2007
305-32-####,1936-1950
305-33-####,2007-2009
305-34-####,1951-unknown
305-35-####,2009-2010
305-36-####,1952-unknown
305-37-####,2010-2011
305-38-####,1953-1954
305-40-####,1955-unknown
305-42-####,1956-1957
305-44-####,1958-1959
305-46-####,1960-1961
305-48-####,1962-unknown
305-50-####,1963-unknown
305-52-####,1963-1964
305-54-####,1965-unknown
305-56-####,1966-unknown
305-58-####,1967-unknown
305-60-####,1968-unknown
305-62-####,1969-unknown
305-64-####,1970-unknown
305-66-####,1971-unknown
305-68-####,1972-unknown
305-70-####,1973-unknown
305-72-####,1973-unknown
305-74-####,1974-unknown
305-76-####,1975-unknown
305-78-####,1976-unknown
305-80-####,1976-1977
305-82-####,1978-unknown
305-84-####,1979-unknown
305-86-####,1980-1981
305-88-####,1982-unknown
305-90-####,1983-unknown
305-92-####,1984-unknown
305-94-####,1985-unknown
305-96-####,1986-unknown
305-98-####,1987-unknown
306-01-####,1936-1950
306-02-####,1987-unknown
306-03-####,1936-1950
306-04-####,1988-unknown
306-05-####,1936-1950
306-06-####,1989-1992
306-07-####,1936-1950
306-08-####,1989-1992
306-09-####,1936-1950
306-10-####,1936-1950
306-11-####,1989-1992
306-12-####,1936-1950
306-13-####,1989-1992
306-14-####,1936-1950
306-15-####,1994-unknown
306-16-####,1936-1950
306-17-####,1995-unknown
306-18-####,1936-1950
306-19-####,1997-1998
306-20-####,1936-1950
306-21-####,1998-unknown
306-22-####,1936-1950
306-23-####,2000-unknown
306-24-####,1936-1950
306-25-####,2001-2002
306-26-####,1936-1950
306-27-####,2003-2004
306-28-####,1936-1950
306-29-####,2004-2006
306-30-####,1936-1950
306-31-####,2006-2007
306-32-####,1936-1950
306-33-####,2007-2009
306-34-####,1951-unknown
306-35-####,2009-2010
306-36-####,1952-1953
306-37-####,2010-2011
306-38-####,1954-unknown
306-40-####,1955-1956
306-42-####,1957-1958
306-44-####,1959-unknown
306-46-####,1960-1961
306-48-####,1962-unknown
306-50-####,1963-unknown
306-52-####,1964-unknown
306-54-####,1965-unknown
306-56-####,1966-unknown
306-58-####,1967-unknown
306-60-####,1968-unknown
306-62-####,1969-unknown
306-64-####,1970-unknown
306-66-####,1971-unknown
306-68-####,1972-unknown
306-70-####,1973-unknown
306-72-####,1973-unknown
306-74-####,1974-unknown
306-76-####,1975-unknown
306-78-####,1976-unknown
306-80-####,1976-1977
306-82-####,1978-unknown
306-84-####,1979-unknown
306-86-####,1980-1981
306-88-####,1982-unknown
306-90-####,1983-unknown
306-92-####,1984-unknown
306-94-####,1985-unknown
306-96-####,1986-unknown
306-98-####,1987-unknown
307-01-####,1936-1950
307-02-####,1987-unknown
307-03-####,1936-1950
307-04-####,1988-unknown
307-05-####,1936-1950
307-06-####,1989-1992
307-07-####,1936-1950
307-08-####,1989-1992
307-09-####,1936-1950
307-10-####,1936-1950
307-11-####,1989-1992
307-12-####,1936-1950
307-13-####,1989-1992
307-14-####,1936-1950
307-15-####,1994-unknown
307-16-####,1936-1950
307-17-####,1995-unknown
307-18-####,1936-1950
307-19-####,1997-1998
307-20-####,1936-1950
307-21-####,1998-unknown
307-22-####,1936-1950
307-23-####,2000-unknown
307-24-####,1936-1950
307-25-####,2001-2002
307-26-####,1936-1950
307-27-####,2003-2005
307-28-####,1936-1950
307-29-####,2005-2006
307-30-####,1936-1950
307-31-####,2006-2008
307-32-####,1936-1950
307-33-####,2008-2009
307-34-####,1951-unknown
307-35-####,2009-2011
307-36-####,1952-1953
307-37-####,2011-unknown
307-38-####,1954-unknown
307-40-####,1955-1956
307-42-####,1957-1958
307-44-####,1959-1960
307-46-####,1961-unknown
307-48-####,1962-unknown
307-50-####,1963-unknown
307-52-####,1964-unknown
307-54-####,1965-unknown
307-56-####,1966-unknown
307-58-####,1967-unknown
307-60-####,1968-unknown
307-62-####,1969-unknown
307-64-####,1970-unknown
307-66-####,1971-unknown
307-68-####,1972-unknown
307-70-####,1973-unknown
307-72-####,1973-unknown
307-74-####,1974-unknown
307-76-####,1975-unknown
307-78-####,1976-unknown
307-80-####,1977-unknown
307-82-####,1978-unknown
307-84-####,1979-unknown
307-86-####,1980-1981
307-88-####,1982-unknown
307-90-####,1983-unknown
307-92-####,1984-unknown
307-94-####,1985-unknown
307-96-####,1986-unknown
307-98-####,1987-unknown
308-01-####,1936-1950
308-02-####,1987-unknown
308-03-####,1936-1950
308-04-####,1988-unknown
308-05-####,1936-1950
308-06-####,1989-1992
308-07-####,1936-1950
308-08-####,1989-1992
308-09-####,1936-1950
308-10-####,1936-1950
308-11-####,1989-1992
308-12-####,1936-1950
308-13-####,1993-unknown
308-14-####,1936-1950
308-15-####,1994-unknown
308-16-####,1936-1950
308-17-####,1995-unknown
308-18-####,1936-1950
308-19-####,1997-1998
308-20-####,1936-1950
308-21-####,1999-unknown
308-22-####,1936-1950
308-23-####,2000-unknown
308-24-####,1936-1950
308-25-####,2002-unknown
308-26-####,1936-1950
308-27-####,2003-2005
308-28-####,1936-1950
308-29-####,2005-2006
308-30-####,1936-1950
308-31-####,2006-2008
308-32-####,1936-1950
308-33-####,2008-2009
308-34-####,1951-unknown
308-35-####,2009-2011
308-36-####,1952-1953
308-37-####,2011-unknown
308-38-####,1954-unknown
308-40-####,1955-1956
308-42-####,1957-1958
308-44-####,1959-1960
308-46-####,1961-unknown
308-48-####,1962-unknown
308-50-####,1963-unknown
308-52-####,1964-unknown
308-54-####,1965-unknown
308-56-####,1966-unknown
308-58-####,1967-unknown
308-60-####,1968-unknown
308-62-####,1969-unknown
308-64-####,1970-unknown
308-66-####,1971-unknown
308-68-####,1972-unknown
308-70-####,1973-unknown
308-72-####,1973-unknown
308-74-####,1974-unknown
308-76-####,1975-unknown
308-78-####,1976-unknown
308-80-####,1977-unknown
308-82-####,1978-unknown
308-84-####,1979-1980
308-86-####,1981-unknown
308-88-####,1982-unknown
308-90-####,1983-unknown
308-92-####,1984-unknown
308-94-####,1985-unknown
308-96-####,1986-unknown
308-98-####,1987-unknown
309-01-####,1936-1950
309-02-####,1987-unknown
309-03-####,1936-1950
309-04-####,1988-unknown
309-05-####,1936-1950
309-06-####,1989-1992
309-07-####,1936-1950
309-08-####,1989-1992
309-09-####,1936-1950
309-10-####,1936-1950
309-11-####,1989-1992
309-12-####,1936-1950
309-13-####,1993-unknown
309-14-####,1936-1950
309-15-####,1994-unknown
309-16-####,1936-1950
309-17-####,1996-unknown
309-18-####,1936-1950
309-19-####,1997-1998
309-20-####,1936-1950
309-21-####,1999-unknown
309-22-####,1936-1950
309-23-####,2000-unknown
309-24-####,1936-1950
309-25-####,2002-unknown
309-26-####,1936-1950
309-27-####,2003-2005
309-28-####,1936-1950
309-29-####,2005-2006
309-30-####,1936-1950
309-31-####,2006-2008
309-32-####,1936-1950
309-33-####,2008-2009
309-34-####,1951-unknown
309-35-####,2009-2011
309-36-####,1952-1953
309-37-####,2011-unknown
309-38-####,1954-1955
309-40-####,1956-unknown
309-42-####,1957-1958
309-44-####,1959-1960
309-46-####,1961-unknown
309-48-####,1962-unknown
309-50-####,1963-unknown
309-52-####,1964-unknown
309-54-####,1965-unknown
309-56-####,1966-unknown
309-58-####,1967-unknown
309-60-####,1968-unknown
309-62-####,1969-unknown
309-64-####,1970-unknown
309-66-####,1971-unknown
309-68-####,1972-unknown
309-70-####,1973-unknown
309-72-####,1973-unknown
309-74-####,1974-unknown
309-76-####,1975-unknown
309-78-####,1976-unknown
309-80-####,1977-unknown
309-82-####,1978-unknown
309-84-####,1979-1980
309-86-####,1981-unknown
309-88-####,1982-unknown
309-90-####,1983-unknown
309-92-####,1984-unknown
309-94-####,1985-unknown
309-96-####,1986-unknown
309-98-####,1987-unknown
310-01-####,1936-1950
310-02-####,1988-unknown
310-03-####,1936-1950
310-04-####,1988-unknown
310-05-####,1936-1950
310-06-####,1989-1992
310-07-####,1936-1950
310-08-####,1989-1992
310-09-####,1936-1950
310-10-####,1936-1950
310-11-####,1989-1992
310-12-####,1936-1950
310-13-####,1993-unknown
