SSN Prefix,Years Issued
478-01-####,1936-1950
478-02-####,1981-1982
478-03-####,1936-1950
478-04-####,1983-unknown
478-05-####,1936-1950
478-06-####,1984-unknown
478-07-####,1936-1950
478-08-####,1985-unknown
478-09-####,1936-1950
478-10-####,1936-1950
478-11-####,1986-unknown
478-12-####,1936-1950
478-13-####,1987-unknown
478-14-####,1936-1950
478-15-####,1988-unknown
478-16-####,1936-1950
478-17-####,1989-1992
478-18-####,1936-1950
478-19-####,1989-1992
478-20-####,1936-1950
478-21-####,1989-1992
478-22-####,1936-1950
478-23-####,1993-unknown
478-24-####,1936-1950
478-25-####,1995-unknown
478-26-####,1936-1950
478-27-####,1997-1998
478-28-####,1936-1950
478-29-####,1999-unknown
478-30-####,1936-1950
478-31-####,2000-2001
478-32-####,1936-1950
478-33-####,2002-2004
478-34-####,1936-1950
478-35-####,2004-2006
478-36-####,1951-unknown
478-37-####,2006-2007
478-38-####,1952-unknown
478-39-####,2007-2009
478-40-####,1953-unknown
478-41-####,2009-2011
478-42-####,1954-unknown
478-43-####,2011-unknown
478-44-####,1955-unknown
478-46-####,1955-unknown
478-48-####,1956-unknown
478-50-####,1957-1958
478-52-####,1959-1960
478-54-####,1961-unknown
478-56-####,1962-unknown
478-58-####,1963-unknown
478-60-####,1963-unknown
478-62-####,1963-1964
478-64-####,1965-unknown
478-66-####,1965-unknown
478-68-####,1966-unknown
478-70-####,1967-unknown
478-72-####,1968-unknown
478-74-####,1969-unknown
478-76-####,1970-unknown
478-78-####,1971-1972
478-80-####,1973-unknown
478-82-####,1973-unknown
478-84-####,1973-unknown
478-86-####,1974-unknown
478-88-####,1975-1976
478-90-####,1977-unknown
478-92-####,1977-unknown
478-94-####,1977-1978
478-96-####,1979-unknown
478-98-####,1980-unknown
479-01-####,1936-1950
479-02-####,1982-unknown
479-03-####,1936-1950
479-04-####,1983-unknown
479-05-####,1936-1950
479-06-####,1984-unknown
479-07-####,1936-1950
479-08-####,1985-1986
479-09-####,1936-1950
479-10-####,1936-1950
479-11-####,1987-unknown
479-12-####,1936-1950
479-13-####,1987-unknown
479-14-####,1936-1950
479-15-####,1988-unknown
479-16-####,1936-1950
479-17-####,1989-1992
479-18-####,1936-1950
479-19-####,1989-1992
479-20-####,1936-1950
479-21-####,1989-1992
479-22-####,1936-1950
479-23-####,1994-unknown
479-24-####,1936-1950
479-25-####,1995-unknown
479-26-####,1936-1950
479-27-####,1997-1998
479-28-####,1936-1950
479-29-####,1999-unknown
479-30-####,1936-1950
479-31-####,2001-unknown
479-32-####,1936-1950
479-33-####,2002-2004
479-34-####,1936-1950
479-35-####,2004-2006
479-36-####,1951-unknown
479-37-####,2006-2008
479-38-####,1952-unknown
479-39-####,2008-2009
479-40-####,1953-unknown
479-41-####,2009-2011
479-42-####,1954-unknown
479-44-####,1955-unknown
479-46-####,1956-unknown
479-48-####,1956-1957
479-50-####,1958-unknown
479-52-####,1959-1960
479-54-####,1961-unknown
479-56-####,1962-unknown
479-58-####,1963-unknown
479-60-####,1964-unknown
479-62-####,1964-unknown
479-64-####,1965-unknown
479-66-####,1965-unknown
479-68-####,1966-unknown
479-70-####,1967-unknown
479-72-####,1968-unknown
479-74-####,1969-1970
479-76-####,1971-unknown
479-78-####,1971-1972
479-80-####,1973-unknown
479-82-####,1973-unknown
479-84-####,1973-unknown
479-86-####,1974-unknown
479-88-####,1975-1976
479-90-####,1977-unknown
479-92-####,1977-unknown
479-94-####,1977-1978
479-96-####,1979-unknown
479-98-####,1980-1981
480-01-####,1936-1950
480-02-####,1982-unknown
480-03-####,1936-1950
480-04-####,1983-unknown
480-05-####,1936-1950
480-06-####,1984-unknown
480-07-####,1936-1950
480-08-####,1985-1986
480-09-####,1936-1950
480-10-####,1936-1950
480-11-####,1987-unknown
480-12-####,1936-1950
480-13-####,1987-unknown
480-14-####,1936-1950
480-15-####,1988-unknown
480-16-####,1936-1950
480-17-####,1989-1992
480-18-####,1936-1950
480-19-####,1989-1992
480-20-####,1936-1950
480-21-####,1989-1992
480-22-####,1936-1950
480-23-####,1994-unknown
480-24-####,1936-1950
480-25-####,1995-unknown
480-26-####,1936-1950
480-27-####,1997-1998
480-28-####,1936-1950
480-29-####,1999-unknown
480-30-####,1936-1950
480-31-####,2001-unknown
480-32-####,1936-1950
480-33-####,2002-2004
480-34-####,1936-1950
480-35-####,2004-2006
480-36-####,1936-1950
480-37-####,2006-2008
480-38-####,1951-1952
480-39-####,2008-2010
480-40-####,1953-1954
480-41-####,2010-2011
480-42-####,1955-unknown
480-44-####,1955-unknown
480-46-####,1956-unknown
480-48-####,1956-1957
