SSN Prefix,Years Issued
509-01-####,1936-1950
509-02-####,1989-1992
509-03-####,1936-1950
509-04-####,1989-1992
509-05-####,1936-1950
509-06-####,1989-1992
509-07-####,1936-1950
509-08-####,1989-1992
509-09-####,1936-1950
509-10-####,1936-1950
509-11-####,1994-unknown
509-12-####,1936-1950
509-13-####,1995-unknown
509-14-####,1936-1950
509-15-####,1997-1998
509-16-####,1936-1950
509-17-####,1998-unknown
509-18-####,1936-1950
509-19-####,2000-unknown
509-20-####,1936-1950
509-21-####,2001-2002
509-22-####,1936-1950
509-23-####,2003-2004
509-24-####,1936-1950
509-25-####,2004-2006
509-26-####,1936-1950
509-27-####,2006-2007
509-28-####,1936-1950
509-29-####,2007-2009
509-30-####,1936-1950
509-31-####,2009-2010
509-32-####,1951-unknown
509-33-####,2010-2011
509-34-####,1952-unknown
509-36-####,1953-1954
509-38-####,1955-unknown
509-40-####,1956-unknown
509-42-####,1957-1958
509-44-####,1959-1960
509-46-####,1961-1962
509-48-####,1963-unknown
509-50-####,1963-unknown
509-52-####,1963-1964
509-54-####,1965-unknown
509-56-####,1966-1967
509-58-####,1968-unknown
509-60-####,1969-unknown
509-62-####,1970-unknown
509-64-####,1971-unknown
509-66-####,1972-unknown
509-68-####,1973-unknown
509-70-####,1973-unknown
509-72-####,1973-unknown
509-74-####,1974-unknown
509-76-####,1975-unknown
509-78-####,1976-1977
509-80-####,1978-1979
509-82-####,1980-unknown
509-84-####,1981-1982
509-86-####,1983-unknown
509-88-####,1984-unknown
509-90-####,1985-unknown
509-92-####,1986-unknown
509-94-####,1987-unknown
509-96-####,1988-unknown
509-98-####,1988-unknown
510-01-####,1936-1950
510-02-####,1989-1992
510-03-####,1936-1950
510-04-####,1989-1992
510-05-####,1936-1950
510-06-####,1989-1992
510-07-####,1936-1950
510-08-####,1989-1992
510-09-####,1936-1950
510-10-####,1936-1950
510-11-####,1994-unknown
510-12-####,1936-1950
510-13-####,1995-unknown
510-14-####,1936-1950
510-15-####,1997-1998
510-16-####,1936-1950
510-17-####,1999-unknown
510-18-####,1936-1950
510-19-####,2000-unknown
510-20-####,1936-1950
510-21-####,2002-unknown
510-22-####,1936-1950
510-23-####,2003-2005
510-24-####,1936-1950
510-25-####,2005-2006
510-26-####,1936-1950
510-27-####,2006-2008
510-28-####,1936-1950
510-29-####,2008-2009
510-30-####,1936-1950
510-31-####,2009-2010
510-32-####,1951-unknown
510-33-####,2010-2011
510-34-####,1952-1953
510-36-####,1954-unknown
510-38-####,1955-unknown
510-40-####,1956-unknown
510-42-####,1957-1958
510-44-####,1959-1960
510-46-####,1961-1962
510-48-####,1963-unknown
510-50-####,1963-unknown
510-52-####,1964-unknown
510-54-####,1965-1966
510-56-####,1967-unknown
510-58-####,1968-unknown
510-60-####,1969-unknown
510-62-####,1970-unknown
510-64-####,1971-unknown
510-66-####,1972-unknown
510-68-####,1973-unknown
510-70-####,1973-unknown
510-72-####,1974-unknown
510-74-####,1974-unknown
510-76-####,1975-unknown
510-78-####,1976-1977
510-80-####,1978-1979
510-82-####,1980-unknown
510-84-####,1981-1982
510-86-####,1983-unknown
510-88-####,1984-unknown
510-90-####,1985-1986
510-92-####,1987-unknown
510-94-####,1987-unknown
510-96-####,1988-unknown
510-98-####,1988-unknown
511-01-####,1936-1950
