SSN Prefix,Years Issued
400-01-####,1936-1950
400-02-####,1975-unknown
400-03-####,1936-1950
400-04-####,1975-unknown
400-05-####,1936-1950
400-06-####,1976-unknown
400-07-####,1936-1950
400-08-####,1977-unknown
400-09-####,1936-1950
400-10-####,1936-1950
400-11-####,1978-unknown
400-12-####,1936-1950
400-13-####,1979-unknown
400-14-####,1936-1950
400-15-####,1980-unknown
400-16-####,1936-1950
400-17-####,1981-unknown
400-18-####,1936-1950
400-19-####,1982-unknown
400-20-####,1936-1950
400-21-####,1983-unknown
400-22-####,1936-1950
400-23-####,1983-unknown
400-24-####,1936-1950
400-25-####,1984-unknown
400-26-####,1936-1950
400-27-####,1985-unknown
400-28-####,1936-1950
400-29-####,1986-unknown
400-30-####,1936-1950
400-31-####,1987-unknown
400-32-####,1936-1950
400-33-####,1987-unknown
400-34-####,1936-1950
400-35-####,1988-unknown
400-36-####,1936-1950
400-37-####,1988-unknown
400-38-####,1936-1950
400-39-####,1989-1992
400-40-####,1936-1950
400-41-####,1989-1992
400-42-####,1936-1950
400-43-####,1989-1992
400-44-####,1951-unknown
400-45-####,1989-1992
400-46-####,1952-unknown
400-47-####,1994-unknown
400-48-####,1953-unknown
400-49-####,1995-unknown
400-50-####,1954-unknown
400-51-####,1996-unknown
400-52-####,1955-unknown
400-53-####,1997-1998
400-54-####,1956-unknown
400-55-####,1999-unknown
400-56-####,1957-1958
400-57-####,2000-unknown
400-58-####,1959-unknown
400-59-####,2001-2003
400-60-####,1960-1961
400-61-####,2003-2004
400-62-####,1962-unknown
400-63-####,2004-2005
400-64-####,1963-unknown
400-65-####,2005-2006
400-66-####,1963-unknown
400-67-####,2006-2007
400-68-####,1964-unknown
400-69-####,2007-2009
400-70-####,1965-unknown
400-71-####,2009-2010
400-72-####,1965-unknown
400-73-####,2010-2011
400-74-####,1966-unknown
400-76-####,1967-unknown
400-78-####,1968-unknown
400-80-####,1969-unknown
400-82-####,1969-unknown
400-84-####,1970-unknown
400-86-####,1971-unknown
400-88-####,1972-unknown
400-90-####,1973-unknown
400-92-####,1973-unknown
400-94-####,1973-unknown
400-96-####,1974-unknown
400-98-####,1974-unknown
401-01-####,1936-1950
401-02-####,1975-unknown
401-03-####,1936-1950
401-04-####,1975-unknown
401-05-####,1936-1950
401-06-####,1976-unknown
401-07-####,1936-1950
401-08-####,1977-unknown
401-09-####,1936-1950
401-10-####,1936-1950
401-11-####,1978-unknown
401-12-####,1936-1950
401-13-####,1979-unknown
401-14-####,1936-1950
401-15-####,1980-unknown
401-16-####,1936-1950
401-17-####,1981-unknown
401-18-####,1936-1950
401-19-####,1982-unknown
401-20-####,1936-1950
401-21-####,1983-unknown
401-22-####,1936-1950
401-23-####,1983-unknown
401-24-####,1936-1950
401-25-####,1984-unknown
401-26-####,1936-1950
401-27-####,1985-unknown
401-28-####,1936-1950
401-29-####,1986-unknown
401-30-####,1936-1950
401-31-####,1987-unknown
401-32-####,1936-1950
401-33-####,1987-unknown
401-34-####,1936-1950
401-35-####,1988-unknown
401-36-####,1936-1950
401-37-####,1988-unknown
401-38-####,1936-1950
401-39-####,1989-1992
401-40-####,1936-1950
401-41-####,1989-1992
401-42-####,1936-1950
401-43-####,1989-1992
401-44-####,1951-unknown
401-45-####,1993-unknown
401-46-####,1952-unknown
401-47-####,1994-unknown
401-48-####,1953-1954
401-49-####,1995-unknown
401-50-####,1955-unknown
401-51-####,1996-1998
401-52-####,1955-unknown
401-53-####,1998-unknown
401-54-####,1956-unknown
401-55-####,1999-unknown
401-56-####,1957-1958
401-57-####,2000-unknown
401-58-####,1959-1960
401-59-####,2001-2002
401-60-####,1961-unknown
401-61-####,2003-2004
401-62-####,1962-unknown
401-63-####,2004-2005
401-64-####,1963-unknown
401-65-####,2005-2006
401-66-####,1963-unknown
401-67-####,2006-2008
401-68-####,1964-unknown
401-69-####,2008-2009
401-70-####,1965-unknown
401-71-####,2009-2010
401-72-####,1966-unknown
401-73-####,2010-2011
401-74-####,1966-unknown
401-76-####,1967-unknown
401-78-####,1968-unknown
401-80-####,1969-unknown
401-82-####,1970-unknown
401-84-####,1970-unknown
401-86-####,1971-unknown
401-88-####,1972-unknown
401-90-####,1973-unknown
401-92-####,1973-unknown
401-94-####,1973-unknown
401-96-####,1974-unknown
401-98-####,1974-unknown
402-01-####,1936-1950
402-02-####,1975-unknown
402-03-####,1936-1950
402-04-####,1975-unknown
402-05-####,1936-1950
402-06-####,1976-unknown
402-07-####,1936-1950
402-08-####,1977-unknown
402-09-####,1936-1950
402-10-####,1936-1950
402-11-####,1978-unknown
402-12-####,1936-1950
402-13-####,1979-unknown
402-14-####,1936-1950
402-15-####,1980-unknown
402-16-####,1936-1950
402-17-####,1981-unknown
402-18-####,1936-1950
402-19-####,1982-unknown
402-20-####,1936-1950
402-21-####,1983-unknown
402-22-####,1936-1950
402-23-####,1983-unknown
402-24-####,1936-1950
402-25-####,1984-unknown
402-26-####,1936-1950
402-27-####,1985-unknown
402-28-####,1936-1950
402-29-####,1986-unknown
402-30-####,1936-1950
402-31-####,1987-unknown
402-32-####,1936-1950
402-33-####,1987-unknown
402-34-####,1936-1950
402-35-####,1988-unknown
402-36-####,1936-1950
402-37-####,1989-1992
402-38-####,1936-1950
402-39-####,1989-1992
402-40-####,1936-1950
402-41-####,1989-1992
402-42-####,1936-1950
402-43-####,1989-1992
402-44-####,1951-unknown
402-45-####,1993-unknown
402-46-####,1952-unknown
402-47-####,1994-unknown
402-48-####,1953-1954
402-49-####,1995-unknown
402-50-####,1955-unknown
402-51-####,1996-1998
402-52-####,1956-unknown
402-53-####,1998-unknown
402-54-####,1956-1957
402-55-####,1999-unknown
402-56-####,1958-unknown
402-57-####,2000-2001
402-58-####,1959-1960
402-59-####,2002-unknown
402-60-####,1961-unknown
402-61-####,2003-2004
402-62-####,1962-unknown
402-63-####,2004-2005
402-64-####,1963-unknown
402-65-####,2005-2007
402-66-####,1963-unknown
402-67-####,2007-2008
402-68-####,1964-unknown
402-69-####,2008-2009
402-70-####,1965-unknown
402-71-####,2009-2010
402-72-####,1966-unknown
402-73-####,2010-2011
402-74-####,1966-unknown
402-76-####,1967-unknown
402-78-####,1968-unknown
402-80-####,1969-unknown
402-82-####,1970-unknown
402-84-####,1970-unknown
402-86-####,1971-unknown
402-88-####,1972-unknown
402-90-####,1973-unknown
402-92-####,1973-unknown
402-94-####,1974-unknown
402-96-####,1974-unknown
402-98-####,1975-unknown
403-01-####,1936-1950
403-02-####,1975-unknown
403-03-####,1936-1950
403-04-####,1976-unknown
403-05-####,1936-1950
403-06-####,1976-unknown
403-07-####,1936-1950
403-08-####,1977-unknown
403-09-####,1936-1950
403-10-####,1936-1950
403-11-####,1978-unknown
403-12-####,1936-1950
403-13-####,1979-unknown
403-14-####,1936-1950
403-15-####,1980-unknown
403-16-####,1936-1950
403-17-####,1981-unknown
403-18-####,1936-1950
403-19-####,1982-unknown
403-20-####,1936-1950
403-21-####,1983-unknown
403-22-####,1936-1950
403-23-####,1984-unknown
403-24-####,1936-1950
403-25-####,1984-unknown
403-26-####,1936-1950
403-27-####,1985-unknown
403-28-####,1936-1950
403-29-####,1986-unknown
403-30-####,1936-1950
403-31-####,1987-unknown
403-32-####,1936-1950
403-33-####,1987-unknown
403-34-####,1936-1950
403-35-####,1988-unknown
403-36-####,1936-1950
403-37-####,1989-1992
403-38-####,1936-1950
403-39-####,1989-1992
403-40-####,1936-1950
403-41-####,1989-1992
403-42-####,1951-unknown
403-43-####,1989-1992
403-44-####,1952-unknown
403-45-####,1993-unknown
403-46-####,1952-1953
403-47-####,1994-unknown
403-48-####,1954-unknown
403-49-####,1995-unknown
403-50-####,1955-unknown
403-51-####,1997-1998
403-52-####,1956-unknown
403-53-####,1998-unknown
403-54-####,1956-1957
403-55-####,1999-2000
403-56-####,1958-1959
403-57-####,2001-unknown
403-58-####,1960-unknown
403-59-####,2002-unknown
403-60-####,1961-unknown
403-61-####,2003-2004
