SSN Prefix,Years Issued
433-01-####,1936-1950
433-02-####,1971-unknown
433-03-####,1936-1950
433-04-####,1972-unknown
433-05-####,1936-1950
433-06-####,1972-unknown
433-07-####,1936-1950
433-08-####,1973-unknown
433-09-####,1936-1950
433-10-####,1936-1950
433-11-####,1973-unknown
433-12-####,1936-1950
433-13-####,1973-unknown
433-14-####,1936-1950
433-15-####,1973-unknown
433-16-####,1936-1950
433-17-####,1974-unknown
433-18-####,1936-1950
433-19-####,1974-unknown
433-20-####,1936-1950
433-21-####,1975-unknown
433-22-####,1936-1950
433-23-####,1975-unknown
433-24-####,1936-1950
433-25-####,1975-unknown
433-26-####,1936-1950
433-27-####,1976-unknown
433-28-####,1936-1950
433-29-####,1976-unknown
433-30-####,1936-1950
433-31-####,1977-unknown
433-32-####,1936-1950
433-33-####,1977-unknown
433-34-####,1936-1950
433-35-####,1978-unknown
433-36-####,1936-1950
433-37-####,1979-unknown
433-38-####,1936-1950
433-39-####,1979-unknown
433-40-####,1936-1950
433-41-####,1980-unknown
433-42-####,1936-1950
433-43-####,1981-unknown
433-44-####,1936-1950
433-45-####,1981-unknown
433-46-####,1936-1950
433-47-####,1982-unknown
433-48-####,1951-unknown
433-49-####,1983-unknown
433-50-####,1952-unknown
433-51-####,1983-unknown
433-52-####,1953-unknown
433-53-####,1984-unknown
433-54-####,1954-unknown
433-55-####,1984-unknown
433-56-####,1955-unknown
433-57-####,1985-unknown
433-58-####,1956-unknown
433-59-####,1985-unknown
433-60-####,1957-1958
433-61-####,1986-unknown
433-62-####,1959-unknown
433-63-####,1987-unknown
433-64-####,1960-unknown
433-65-####,1987-unknown
433-66-####,1961-unknown
433-67-####,1987-unknown
433-68-####,1962-unknown
433-69-####,1988-unknown
433-70-####,1963-unknown
433-71-####,1988-unknown
433-72-####,1963-unknown
433-73-####,1988-unknown
433-74-####,1964-unknown
433-75-####,1989-1992
433-76-####,1965-unknown
433-77-####,1989-1992
433-78-####,1965-unknown
433-79-####,1989-1992
433-80-####,1965-unknown
433-81-####,1989-1992
433-82-####,1966-unknown
433-83-####,1989-1992
433-84-####,1966-unknown
433-85-####,1989-1992
433-86-####,1967-unknown
433-87-####,1993-unknown
433-88-####,1968-unknown
433-89-####,1994-unknown
433-90-####,1968-unknown
433-91-####,1995-unknown
433-92-####,1969-unknown
433-93-####,1996-unknown
433-94-####,1969-unknown
433-95-####,1997-unknown
433-96-####,1970-unknown
433-97-####,1997-1998
433-98-####,1970-unknown
433-99-####,1998-1999
434-01-####,1936-1950
434-02-####,1971-unknown
434-03-####,1936-1950
434-04-####,1972-unknown
434-05-####,1936-1950
434-06-####,1972-unknown
434-07-####,1936-1950
434-08-####,1973-unknown
434-09-####,1936-1950
434-10-####,1936-1950
434-11-####,1973-unknown
434-12-####,1936-1950
434-13-####,1973-unknown
434-14-####,1936-1950
434-15-####,1973-unknown
434-16-####,1936-1950
434-17-####,1974-unknown
434-18-####,1936-1950
434-19-####,1974-unknown
434-20-####,1936-1950
434-21-####,1975-unknown
434-22-####,1936-1950
434-23-####,1975-unknown
434-24-####,1936-1950
434-25-####,1975-unknown
434-26-####,1936-1950
434-27-####,1976-unknown
434-28-####,1936-1950
434-29-####,1976-unknown
434-30-####,1936-1950
434-31-####,1977-unknown
434-32-####,1936-1950
434-33-####,1977-unknown
434-34-####,1936-1950
434-35-####,1978-unknown
434-36-####,1936-1950
434-37-####,1979-unknown
434-38-####,1936-1950
434-39-####,1980-unknown
434-40-####,1936-1950
434-41-####,1980-unknown
434-42-####,1936-1950
434-43-####,1981-unknown
434-44-####,1936-1950
434-45-####,1981-unknown
434-46-####,1936-1950
434-47-####,1982-unknown
434-48-####,1951-unknown
434-49-####,1983-unknown
434-50-####,1952-unknown
434-51-####,1983-unknown
434-52-####,1953-1954
434-53-####,1984-unknown
434-54-####,1955-unknown
434-55-####,1984-unknown
434-56-####,1956-unknown
434-57-####,1985-unknown
434-58-####,1957-unknown
434-59-####,1985-unknown
434-60-####,1958-unknown
434-61-####,1986-unknown
434-62-####,1959-unknown
434-63-####,1987-unknown
434-64-####,1960-1961
434-65-####,1987-unknown
434-66-####,1962-unknown
434-67-####,1987-unknown
434-68-####,1962-unknown
434-69-####,1988-unknown
434-70-####,1963-unknown
434-71-####,1988-unknown
434-72-####,1963-unknown
434-73-####,1989-1992
434-74-####,1964-unknown
434-75-####,1989-1992
434-76-####,1965-unknown
434-77-####,1989-1992
434-78-####,1965-unknown
434-79-####,1989-1992
434-80-####,1966-unknown
434-81-####,1989-1992
434-82-####,1966-unknown
434-83-####,1989-1992
434-84-####,1967-unknown
434-85-####,1989-1992
434-86-####,1967-unknown
434-87-####,1993-unknown
434-88-####,1968-unknown
434-89-####,1994-unknown
434-90-####,1968-unknown
434-91-####,1995-unknown
434-92-####,1969-unknown
434-93-####,1996-unknown
434-94-####,1970-unknown
434-95-####,1997-1998
434-96-####,1970-unknown
434-97-####,1998-unknown
434-98-####,1970-unknown
434-99-####,1999-unknown
435-01-####,1936-1950
435-02-####,1971-unknown
435-03-####,1936-1950
435-04-####,1972-unknown
435-05-####,1936-1950
435-06-####,1972-unknown
435-07-####,1936-1950
435-08-####,1973-unknown
435-09-####,1936-1950
435-10-####,1936-1950
435-11-####,1973-unknown
435-12-####,1936-1950
435-13-####,1973-unknown
435-14-####,1936-1950
435-15-####,1974-unknown
435-16-####,1936-1950
435-17-####,1974-unknown
435-18-####,1936-1950
435-19-####,1974-unknown
435-20-####,1936-1950
435-21-####,1975-unknown
435-22-####,1936-1950
435-23-####,1975-unknown
435-24-####,1936-1950
435-25-####,1975-unknown
435-26-####,1936-1950
435-27-####,1976-unknown
435-28-####,1936-1950
435-29-####,1976-unknown
435-30-####,1936-1950
435-31-####,1977-unknown
435-32-####,1936-1950
435-33-####,1978-unknown
435-34-####,1936-1950
435-35-####,1978-unknown
435-36-####,1936-1950
435-37-####,1979-unknown
435-38-####,1936-1950
435-39-####,1980-unknown
435-40-####,1936-1950
435-41-####,1980-unknown
435-42-####,1936-1950
435-43-####,1981-unknown
435-44-####,1936-1950
435-45-####,1981-unknown
435-46-####,1936-1950
435-47-####,1982-unknown
435-48-####,1951-unknown
435-49-####,1983-unknown
435-50-####,1952-unknown
435-51-####,1983-unknown
435-52-####,1953-1954
435-53-####,1984-unknown
435-54-####,1955-unknown
435-55-####,1984-unknown
435-56-####,1956-unknown
435-57-####,1985-unknown
435-58-####,1957-unknown
435-59-####,1985-unknown
435-60-####,1958-unknown
435-61-####,1986-unknown
435-62-####,1959-unknown
435-63-####,1987-unknown
435-64-####,1960-unknown
435-65-####,1987-unknown
435-66-####,1961-1962
435-67-####,1987-unknown
435-68-####,1963-unknown
435-69-####,1988-unknown
435-70-####,1963-unknown
435-71-####,1988-unknown
435-72-####,1963-unknown
435-73-####,1989-1992
435-74-####,1964-unknown
435-75-####,1989-1992
435-76-####,1965-unknown
435-77-####,1989-1992
435-78-####,1965-unknown
435-79-####,1989-1992
435-80-####,1966-unknown
435-81-####,1989-1992
435-82-####,1966-unknown
435-83-####,1989-1992
435-84-####,1967-unknown
435-85-####,1989-1992
435-86-####,1967-unknown
435-87-####,1993-unknown
435-88-####,1968-unknown
435-89-####,1994-unknown
435-90-####,1969-unknown
435-91-####,1995-unknown
435-92-####,1969-unknown
