SSN Prefix,Years Issued
004-01-####,1936-1950
004-02-####,1999-unknown
004-03-####,1936-1950
004-04-####,2002-2004
004-05-####,1936-1950
004-06-####,2004-2006
004-07-####,1936-1950
004-08-####,2006-2008
004-09-####,1936-1950
004-10-####,1936-1950
004-11-####,2008-2010
004-12-####,1936-1950
004-13-####,2010-2011
004-14-####,1936-1950
004-16-####,1936-1950
004-18-####,1936-1950
004-20-####,1936-1950
004-22-####,1936-1950
004-24-####,1936-1950
004-26-####,1936-1950
004-28-####,1936-1950
004-30-####,1936-1950
004-32-####,1951-unknown
004-34-####,1952-unknown
004-36-####,1953-1954
004-38-####,1955-unknown
004-40-####,1956-1958
004-42-####,1959-1960
004-44-####,1961-unknown
004-46-####,1962-unknown
004-48-####,1963-unknown
004-50-####,1963-1965
004-52-####,1966-unknown
004-54-####,1967-unknown
004-56-####,1968-1969
004-58-####,1970-unknown
004-60-####,1971-unknown
004-62-####,1972-unknown
004-64-####,1973-unknown
004-66-####,1973-unknown
004-68-####,1974-unknown
004-70-####,1975-unknown
004-72-####,1976-1977
004-74-####,1978-1979
004-76-####,1980-1981
004-78-####,1982-unknown
004-80-####,1983-unknown
004-82-####,1984-1985
004-84-####,1986-unknown
004-86-####,1987-unknown
004-88-####,1988-unknown
004-90-####,1988-1992
004-92-####,1992-unknown
004-94-####,1994-unknown
004-96-####,1996-unknown
004-98-####,1997-1998
005-01-####,1936-1950
005-02-####,2000-unknown
005-03-####,1936-1950
005-04-####,2002-2004
005-05-####,1936-1950
005-06-####,2004-2006
005-07-####,1936-1950
005-08-####,2006-2009
005-09-####,1936-1950
005-10-####,1936-1950
005-11-####,2009-2011
005-12-####,1936-1950
005-13-####,2011-unknown
005-14-####,1936-1950
005-16-####,1936-1950
005-18-####,1936-1950
005-20-####,1936-1950
005-22-####,1936-1950
005-24-####,1936-1950
005-26-####,1936-1950
005-28-####,1936-1950
005-30-####,1936-1950
005-32-####,1951-unknown
005-34-####,1952-1953
005-36-####,1954-unknown
005-38-####,1955-unknown
005-40-####,1956-1958
005-42-####,1959-1960
005-44-####,1961-1962
005-46-####,1963-unknown
005-48-####,1963-1964
005-50-####,1965-unknown
005-52-####,1966-unknown
005-54-####,1967-1968
005-56-####,1969-unknown
005-58-####,1970-unknown
005-60-####,1971-unknown
005-62-####,1972-unknown
005-64-####,1973-unknown
005-66-####,1974-unknown
005-68-####,1975-unknown
005-70-####,1976-unknown
005-72-####,1977-1978
005-74-####,1979-unknown
005-76-####,1980-1981
005-78-####,1982-1983
005-80-####,1984-unknown
005-82-####,1985-1986
005-84-####,1987-unknown
005-86-####,1988-unknown
005-88-####,1988-1992
005-90-####,1988-1992
005-92-####,1992-1995
005-94-####,1995-unknown
005-96-####,1996-1997
005-98-####,1998-2000
006-01-####,1936-1950
006-02-####,2001-2002
006-03-####,1936-1950
006-04-####,2003-2005
006-05-####,1936-1950
006-06-####,2005-2007
006-07-####,1936-1950
006-08-####,2007-2009
006-09-####,1936-1950
006-10-####,1936-1950
006-11-####,2009-2011
006-12-####,1936-1950
006-14-####,1936-1950
006-16-####,1936-1950
006-18-####,1936-1950
006-20-####,1936-1950
006-22-####,1936-1950
006-24-####,1936-1950
006-26-####,1936-1950
006-28-####,1936-1950
006-30-####,1936-1950
006-32-####,1951-unknown
006-34-####,1952-1954
006-36-####,1955-unknown
006-38-####,1956-unknown
006-40-####,1957-1959
006-42-####,1960-unknown
006-44-####,1961-1962
006-46-####,1963-unknown
006-48-####,1963-1964
006-50-####,1965-unknown
006-52-####,1966-unknown
006-54-####,1967-1968
006-56-####,1969-unknown
006-58-####,1970-unknown
006-60-####,1970-1971
006-62-####,1972-unknown
006-64-####,1973-unknown
006-66-####,1974-unknown
006-68-####,1975-unknown
006-70-####,1976-unknown
006-72-####,1977-unknown
006-74-####,1978-1979
006-76-####,1980-1982
006-78-####,1983-unknown
006-80-####,1984-unknown
006-82-####,1985-1986
006-84-####,1987-unknown
006-86-####,1988-unknown
006-88-####,1988-1992
006-90-####,1988-1992
006-92-####,1992-1995
006-94-####,1995-unknown
006-96-####,1996-1998
006-98-####,1998-2001
007-01-####,1936-1950
007-02-####,2001-unknown
007-03-####,1936-1950
007-04-####,2003-2005
007-05-####,1936-1950
007-06-####,2005-2008
007-07-####,1936-1950
007-08-####,2008-2010
007-09-####,1936-1950
007-10-####,1936-1950
007-11-####,2010-2011
007-12-####,1936-1950
007-14-####,1936-1950
007-16-####,1936-1950
007-18-####,1936-1950
007-20-####,1936-1950
007-22-####,1936-1950
007-24-####,1936-1950
007-26-####,1936-1950
007-28-####,1936-1950
007-30-####,1936-1950
007-32-####,1951-1952
007-34-####,1953-1954
007-36-####,1955-unknown
007-38-####,1956-1957
007-40-####,1958-1959
007-42-####,1960-1961
007-44-####,1962-unknown
007-46-####,1963-unknown
007-48-####,1964-unknown
007-50-####,1965-1966
007-52-####,1967-unknown
007-54-####,1968-unknown
007-56-####,1969-unknown
007-58-####,1970-1971
007-60-####,1972-unknown
007-62-####,1973-unknown
007-64-####,1973-unknown
007-66-####,1974-unknown
007-68-####,1975-unknown
007-70-####,1976-1977
007-72-####,1978-unknown
007-74-####,1979-1980
007-76-####,1981-1982
007-78-####,1983-unknown
007-80-####,1984-1985
007-82-####,1986-unknown
007-84-####,1987-unknown
007-86-####,1988-unknown
007-88-####,1988-1992
007-90-####,1988-1992
007-92-####,1992-unknown
007-94-####,1995-unknown
007-96-####,1996-1999
007-98-####,1999-unknown
