SSN Prefix,Years Issued
212-01-####,1936-1950
212-02-####,1982-unknown
212-03-####,1936-1950
212-04-####,1983-unknown
212-05-####,1936-1950
212-06-####,1984-unknown
212-07-####,1936-1950
212-08-####,1985-unknown
212-09-####,1936-1950
212-10-####,1936-1950
212-11-####,1986-unknown
212-12-####,1936-1950
212-13-####,1986-unknown
212-14-####,1936-1950
212-15-####,1987-unknown
212-16-####,1936-1950
212-17-####,1987-unknown
212-18-####,1936-1950
212-19-####,1988-unknown
212-20-####,1936-1950
212-21-####,1988-unknown
212-22-####,1936-1950
212-23-####,1989-1992
212-24-####,1936-1950
212-25-####,1989-1992
212-26-####,1936-1950
212-27-####,1989-1992
212-28-####,1936-1950
212-29-####,1989-1992
212-30-####,1936-1950
212-31-####,1989-1992
212-32-####,1951-unknown
212-33-####,1989-1992
212-34-####,1952-1953
212-35-####,1989-1992
212-36-####,1954-1955
212-37-####,1989-1992
212-38-####,1956-unknown
212-39-####,1993-unknown
212-40-####,1957-1958
212-41-####,1994-unknown
212-42-####,1959-1960
212-43-####,1994-unknown
212-44-####,1961-unknown
212-45-####,1995-unknown
212-46-####,1962-unknown
212-47-####,1996-unknown
212-48-####,1963-unknown
212-49-####,1996-unknown
212-50-####,1963-unknown
212-51-####,1997-1998
212-52-####,1964-unknown
212-53-####,1998-unknown
212-54-####,1965-unknown
212-55-####,1999-unknown
212-56-####,1966-unknown
212-57-####,1999-2000
212-58-####,1967-unknown
212-59-####,2000-unknown
212-60-####,1968-unknown
212-61-####,2001-unknown
212-62-####,1968-unknown
212-63-####,2001-2002
212-64-####,1969-unknown
212-65-####,2002-unknown
212-66-####,1970-unknown
212-67-####,2003-unknown
212-68-####,1971-unknown
212-69-####,2003-2004
212-70-####,1971-unknown
212-71-####,2004-2005
212-72-####,1972-unknown
212-73-####,2005-2006
212-74-####,1973-unknown
212-75-####,2006-unknown
212-76-####,1973-unknown
212-77-####,2006-2007
212-78-####,1974-unknown
212-79-####,2007-unknown
212-80-####,1974-unknown
212-81-####,2007-2008
212-82-####,1975-unknown
212-83-####,2008-2009
212-84-####,1976-unknown
212-85-####,2009-unknown
212-86-####,1976-unknown
212-87-####,2009-2010
212-88-####,1977-unknown
212-89-####,2010-2011
212-90-####,1977-unknown
212-91-####,2011-unknown
212-92-####,1978-unknown
212-94-####,1979-unknown
212-96-####,1980-unknown
212-98-####,1981-unknown
213-01-####,1936-1950
213-02-####,1982-unknown
213-03-####,1936-1950
213-04-####,1983-unknown
213-05-####,1936-1950
213-06-####,1984-unknown
213-07-####,1936-1950
213-08-####,1985-unknown
213-09-####,1936-1950
213-10-####,1936-1950
213-11-####,1986-unknown
213-12-####,1936-1950
213-13-####,1986-unknown
213-14-####,1936-1950
213-15-####,1987-unknown
213-16-####,1936-1950
213-17-####,1987-unknown
213-18-####,1936-1950
213-19-####,1988-unknown
213-20-####,1936-1950
213-21-####,1988-unknown
213-22-####,1936-1950
213-23-####,1989-1992
213-24-####,1936-1950
213-25-####,1989-1992
213-26-####,1936-1950
213-27-####,1989-1992
213-28-####,1936-1950
213-29-####,1989-1992
213-30-####,1936-1950
213-31-####,1989-1992
213-32-####,1951-unknown
213-33-####,1989-1992
213-34-####,1952-1954
213-35-####,1989-1992
213-36-####,1955-unknown
213-37-####,1989-1992
213-38-####,1956-1957
213-39-####,1993-unknown
213-40-####,1958-unknown
213-41-####,1994-unknown
213-42-####,1959-1960
213-43-####,1994-unknown
213-44-####,1961-unknown
213-45-####,1995-unknown
213-46-####,1962-unknown
213-47-####,1996-unknown
213-48-####,1963-unknown
213-49-####,1997-unknown
213-50-####,1963-unknown
213-51-####,1997-1998
213-52-####,1964-unknown
213-53-####,1998-unknown
213-54-####,1965-unknown
213-55-####,1999-unknown
213-56-####,1966-unknown
213-57-####,1999-2000
213-58-####,1967-unknown
213-59-####,2000-unknown
213-60-####,1967-unknown
213-61-####,2001-unknown
213-62-####,1968-unknown
213-63-####,2001-2002
213-64-####,1969-unknown
213-65-####,2002-unknown
213-66-####,1970-unknown
213-67-####,2003-2004
213-68-####,1970-unknown
213-69-####,2004-unknown
213-70-####,1971-unknown
213-71-####,2004-2005
213-72-####,1972-unknown
213-73-####,2005-2006
213-74-####,1973-unknown
213-75-####,2006-unknown
213-76-####,1973-unknown
213-77-####,2006-2007
213-78-####,1974-unknown
213-79-####,2007-2008
213-80-####,1974-unknown
213-81-####,2008-unknown
213-82-####,1975-unknown
213-83-####,2008-2009
213-84-####,1976-unknown
213-85-####,2009-unknown
213-86-####,1976-unknown
213-87-####,2009-2010
213-88-####,1977-unknown
213-89-####,2010-2011
213-90-####,1977-unknown
213-91-####,2011-unknown
213-92-####,1978-1979
213-94-####,1980-unknown
213-96-####,1981-unknown
213-98-####,1981-unknown
214-01-####,1936-1950
214-02-####,1983-unknown
214-03-####,1936-1950
214-04-####,1983-unknown
214-05-####,1936-1950
214-06-####,1984-unknown
214-07-####,1936-1950
214-08-####,1985-unknown
214-09-####,1936-1950
214-10-####,1936-1950
214-11-####,1986-unknown
214-12-####,1936-1950
214-13-####,1987-unknown
214-14-####,1936-1950
214-15-####,1987-unknown
214-16-####,1936-1950
214-17-####,1987-unknown
214-18-####,1936-1950
214-19-####,1988-unknown
214-20-####,1936-1950
214-21-####,1988-unknown
214-22-####,1936-1950
214-23-####,1989-1992
214-24-####,1936-1950
214-25-####,1989-1992
214-26-####,1936-1950
214-27-####,1989-1992
214-28-####,1936-1950
214-29-####,1989-1992
214-30-####,1936-1950
214-31-####,1989-1992
214-32-####,1951-unknown
214-33-####,1989-1992
214-34-####,1952-1954
214-35-####,1989-1992
214-36-####,1955-unknown
214-37-####,1989-1992
214-38-####,1956-1957
214-39-####,1993-unknown
214-40-####,1958-unknown
214-41-####,1994-unknown
214-42-####,1959-1960
214-43-####,1994-unknown
214-44-####,1961-unknown
214-45-####,1995-unknown
214-46-####,1962-unknown
214-47-####,1996-unknown
214-48-####,1963-unknown
214-49-####,1997-unknown
214-50-####,1963-unknown
214-51-####,1997-1998
214-52-####,1964-unknown
214-53-####,1998-unknown
214-54-####,1965-unknown
214-55-####,1999-unknown
214-56-####,1966-unknown
214-57-####,2000-unknown
214-58-####,1967-unknown
214-59-####,2000-unknown
214-60-####,1968-unknown
214-61-####,2001-unknown
214-62-####,1968-unknown
214-63-####,2002-unknown
214-64-####,1969-unknown
214-65-####,2002-unknown
214-66-####,1970-unknown
214-67-####,2003-2004
214-68-####,1971-unknown
214-69-####,2004-unknown
214-70-####,1971-unknown
214-71-####,2004-2005
214-72-####,1972-unknown
214-73-####,2005-2006
214-74-####,1973-unknown
214-75-####,2006-unknown
214-76-####,1973-unknown
214-77-####,2006-2007
214-78-####,1974-unknown
214-79-####,2007-2008
214-80-####,1974-unknown
214-81-####,2008-unknown
214-82-####,1975-unknown
214-83-####,2008-2009
214-84-####,1976-unknown
214-85-####,2009-2010
214-86-####,1976-unknown
214-87-####,2010-unknown
214-88-####,1977-unknown
214-89-####,2010-2011
214-90-####,1977-1978
214-91-####,2011-unknown
214-92-####,1979-unknown
214-94-####,1980-unknown
214-96-####,1981-unknown
214-98-####,1982-unknown
215-01-####,1936-1950
215-02-####,1983-unknown
215-03-####,1936-1950
215-04-####,1983-unknown
215-05-####,1936-1950
