SSN Prefix,Years Issued
010-01-####,1936-1950
010-03-####,1936-1950
010-05-####,1936-1950
010-07-####,1936-1950
010-09-####,1936-1950
010-10-####,1936-1950
010-12-####,1936-1950
010-14-####,1936-1950
010-16-####,1936-1950
010-18-####,1936-1950
010-20-####,1936-1950
010-22-####,1936-1950
010-24-####,1936-1950
010-26-####,1936-1950
010-28-####,1951-1953
010-30-####,1954-1956
010-32-####,1957-1959
010-34-####,1960-1961
010-36-####,1962-unknown
010-38-####,1963-1964
010-40-####,1965-unknown
010-42-####,1966-1967
010-44-####,1968-unknown
010-46-####,1969-1970
010-48-####,1971-1972
010-50-####,1973-unknown
010-52-####,1974-unknown
010-54-####,1975-1976
010-56-####,1977-unknown
010-58-####,1977-1978
010-60-####,1979-1980
010-62-####,1981-1982
010-64-####,1983-unknown
010-66-####,1984-1985
010-68-####,1986-1987
010-70-####,1988-unknown
010-72-####,1989-1992
010-74-####,1989-1992
010-76-####,1992-unknown
010-78-####,1994-unknown
010-80-####,1995-1997
010-82-####,1998-unknown
010-84-####,2000-unknown
010-86-####,2002-2003
010-88-####,2003-2006
010-90-####,2006-2008
010-92-####,2008-2010
010-94-####,2010-2011
011-01-####,1936-1950
011-03-####,1936-1950
011-05-####,1936-1950
011-07-####,1936-1950
011-09-####,1936-1950
011-10-####,1936-1950
011-12-####,1936-1950
011-14-####,1936-1950
011-16-####,1936-1950
011-18-####,1936-1950
011-20-####,1936-1950
011-22-####,1936-1950
011-24-####,1936-1950
011-26-####,1951-unknown
011-28-####,1952-1953
011-30-####,1954-1956
011-32-####,1957-1959
011-34-####,1960-1961
011-36-####,1962-unknown
011-38-####,1963-1964
011-40-####,1965-unknown
011-42-####,1966-1967
011-44-####,1968-unknown
011-46-####,1969-1970
011-48-####,1971-1972
011-50-####,1973-unknown
011-52-####,1974-unknown
011-54-####,1975-1976
011-56-####,1977-unknown
011-58-####,1977-1978
011-60-####,1979-1980
011-62-####,1981-1982
011-64-####,1983-unknown
011-66-####,1984-1985
011-68-####,1986-1987
011-70-####,1988-unknown
011-72-####,1989-1992
011-74-####,1989-1992
011-76-####,1992-unknown
011-78-####,1994-unknown
011-80-####,1995-1997
011-82-####,1998-unknown
011-84-####,2000-unknown
011-86-####,2002-2004
011-88-####,2004-2006
011-90-####,2006-2008
011-92-####,2008-2010
011-94-####,2010-2011
012-01-####,1936-1950
012-03-####,1936-1950
012-05-####,1936-1950
012-07-####,1936-1950
012-09-####,1936-1950
012-10-####,1936-1950
012-12-####,1936-1950
012-14-####,1936-1950
012-16-####,1936-1950
012-18-####,1936-1950
012-20-####,1936-1950
012-22-####,1936-1950
012-24-####,1936-1950
012-26-####,1951-unknown
012-28-####,1952-1955
012-30-####,1956-unknown
012-32-####,1957-1959
012-34-####,1960-1961
012-36-####,1962-unknown
012-38-####,1963-1964
012-40-####,1965-unknown
012-42-####,1966-1967
012-44-####,1968-unknown
012-46-####,1969-1970
012-48-####,1971-1972
012-50-####,1973-unknown
012-52-####,1974-unknown
012-54-####,1975-1976
012-56-####,1977-unknown
012-58-####,1977-1978
012-60-####,1979-1980
012-62-####,1981-1982
012-64-####,1983-1984
012-66-####,1985-1986
012-68-####,1987-unknown
012-70-####,1988-unknown
012-72-####,1989-1992
012-74-####,1989-1992
012-76-####,1989-1992
012-78-####,1994-unknown
012-80-####,1995-1997
012-82-####,1998-unknown
012-84-####,2000-unknown
012-86-####,2002-2004
012-88-####,2004-2006
012-90-####,2006-2008
012-92-####,2008-2010
012-94-####,2010-2011
013-01-####,1936-1950
013-03-####,1936-1950
013-05-####,1936-1950
013-07-####,1936-1950
013-09-####,1936-1950
013-10-####,1936-1950
013-12-####,1936-1950
013-14-####,1936-1950
013-16-####,1936-1950
013-18-####,1936-1950
013-20-####,1936-1950
013-22-####,1936-1950
013-24-####,1936-1950
013-26-####,1936-1950
013-28-####,1951-1954
013-30-####,1955-1956
013-32-####,1957-1959
013-34-####,1960-1961
013-36-####,1962-unknown
013-38-####,1963-1965
013-40-####,1966-unknown
013-42-####,1967-1968
013-44-####,1969-1970
013-46-####,1971-unknown
013-48-####,1972-unknown
013-50-####,1973-unknown
013-52-####,1974-unknown
013-54-####,1975-1976
013-56-####,1977-unknown
013-58-####,1977-1978
013-60-####,1979-1980
013-62-####,1981-1982
013-64-####,1983-1984
013-66-####,1985-1986
013-68-####,1987-unknown
013-70-####,1988-unknown
013-72-####,1989-1992
013-74-####,1989-1992
013-76-####,1989-1992
013-78-####,1994-unknown
013-80-####,1995-1997
013-82-####,1998-unknown
013-84-####,2000-unknown
013-86-####,2002-2004
013-88-####,2004-2006
013-90-####,2006-2008
013-92-####,2008-2010
013-94-####,2010-2011
014-01-####,1936-1950
014-03-####,1936-1950
014-05-####,1936-1950
014-07-####,1936-1950
014-09-####,1936-1950
014-10-####,1936-1950
014-12-####,1936-1950
014-14-####,1936-1950
014-16-####,1936-1950
014-18-####,1936-1950
014-20-####,1936-1950
014-22-####,1936-1950
014-24-####,1936-1950
014-26-####,1951-unknown
014-28-####,1952-1954
014-30-####,1955-1956
014-32-####,1957-1959
014-34-####,1960-1961
014-36-####,1962-unknown
014-38-####,1963-1964
014-40-####,1965-unknown
014-42-####,1966-1967
014-44-####,1968-unknown
014-46-####,1969-1970
014-48-####,1971-1972
014-50-####,1973-unknown
014-52-####,1974-unknown
014-54-####,1975-1976
014-56-####,1977-unknown
014-58-####,1978-unknown
014-60-####,1979-1980
014-62-####,1981-1982
014-64-####,1983-1984
014-66-####,1985-1986
014-68-####,1987-unknown
014-70-####,1988-unknown
014-72-####,1989-1992
014-74-####,1989-1992
014-76-####,1989-1992
014-78-####,1994-unknown
014-80-####,1995-1998
014-82-####,1998-1999
014-84-####,2000-unknown
014-86-####,2002-2004
014-88-####,2004-2006
014-90-####,2006-2008
014-92-####,2008-2010
014-94-####,2010-2011
015-01-####,1936-1950
015-03-####,1936-1950
015-05-####,1936-1950
015-07-####,1936-1950
015-09-####,1936-1950
015-10-####,1936-1950
015-12-####,1936-1950
015-14-####,1936-1950
015-16-####,1936-1950
015-18-####,1936-1950
015-20-####,1936-1950
015-22-####,1936-1950
015-24-####,1936-1950
015-26-####,1951-unknown
015-28-####,1952-1955
015-30-####,1956-1958
015-32-####,1959-1960
015-34-####,1961-1963
015-36-####,1964-unknown
015-38-####,1964-1965
015-40-####,1966-unknown
015-42-####,1967-1968
015-44-####,1969-1970
015-46-####,1971-unknown
015-48-####,1972-1973
015-50-####,1974-unknown
015-52-####,1975-unknown
015-54-####,1976-1977
015-56-####,1978-unknown
015-58-####,1979-unknown
015-60-####,1980-1981
015-62-####,1982-unknown
015-64-####,1983-1984
015-66-####,1985-1986
015-68-####,1987-unknown
015-70-####,1988-unknown
015-72-####,1989-1992
015-74-####,1989-1992
015-76-####,1989-1992
015-78-####,1994-unknown
015-80-####,1995-1998
015-82-####,1998-unknown
015-84-####,2000-unknown
015-86-####,2002-2004
015-88-####,2004-2006
015-90-####,2006-2008
015-92-####,2008-2010
015-94-####,2010-2011
016-01-####,1936-1950
016-03-####,1936-1950
016-05-####,1936-1950
016-07-####,1936-1950
016-09-####,1936-1950
016-10-####,1936-1950
016-12-####,1936-1950
016-14-####,1936-1950
016-16-####,1936-1950
016-18-####,1936-1950
016-20-####,1936-1950
016-22-####,1936-1950
016-24-####,1936-1950
016-26-####,1936-1950
016-28-####,1951-1954
016-30-####,1955-1957
016-32-####,1958-1960
016-34-####,1961-1962
016-36-####,1963-unknown
016-38-####,1963-1964
016-40-####,1965-unknown
016-42-####,1966-1967
016-44-####,1968-unknown
016-46-####,1969-1970
016-48-####,1971-1972
016-50-####,1973-unknown
016-52-####,1974-unknown
016-54-####,1975-1976
016-56-####,1977-unknown
016-58-####,1978-unknown
016-60-####,1979-1980
016-62-####,1981-1982
016-64-####,1983-1984
016-66-####,1985-1986
016-68-####,1987-unknown
016-70-####,1988-unknown
016-72-####,1989-1992
016-74-####,1989-1992
016-76-####,1989-1992
016-78-####,1994-unknown
016-80-####,1995-1998
016-82-####,1998-unknown
016-84-####,2000-unknown
016-86-####,2002-2004
016-88-####,2004-2006
016-90-####,2006-2008
016-92-####,2008-2010
016-94-####,2010-2011
017-01-####,1936-1950
017-03-####,1936-1950
017-05-####,1936-1950
017-07-####,1936-1950
017-09-####,1936-1950
017-10-####,1936-1950
017-12-####,1936-1950
017-14-####,1936-1950
017-16-####,1936-1950
017-18-####,1936-1950
017-20-####,1936-1950
017-22-####,1936-1950
017-24-####,1936-1950
017-26-####,1951-unknown
017-28-####,1952-1954
017-30-####,1955-1957
017-32-####,1958-1960
017-34-####,1961-unknown
017-36-####,1962-unknown
017-38-####,1963-1964
017-40-####,1965-1966
017-42-####,1967-unknown
017-44-####,1968-1969
017-46-####,1970-unknown
017-48-####,1971-1972
017-50-####,1973-unknown
017-52-####,1974-unknown
017-54-####,1975-1976
