SSN Prefix,Years Issued
362-01-####,1936-1950
362-02-####,1987-unknown
362-03-####,1936-1950
362-04-####,1987-unknown
362-05-####,1936-1950
362-06-####,1988-unknown
362-07-####,1936-1950
362-08-####,1989-1992
362-09-####,1936-1950
362-10-####,1936-1950
362-11-####,1989-1992
362-12-####,1936-1950
362-13-####,1989-1992
362-14-####,1936-1950
362-15-####,1989-1992
362-16-####,1936-1950
362-17-####,1993-unknown
362-18-####,1936-1950
362-19-####,1995-unknown
362-20-####,1936-1950
362-21-####,1996-1998
362-22-####,1936-1950
362-23-####,1998-unknown
362-24-####,1936-1950
362-25-####,1999-2000
362-26-####,1936-1950
362-27-####,2001-unknown
362-28-####,1936-1950
362-29-####,2002-2004
362-30-####,1936-1950
362-31-####,2004-2005
362-32-####,1936-1950
362-33-####,2005-2007
362-34-####,1951-unknown
362-35-####,2007-2009
362-36-####,1952-1953
362-37-####,2009-2010
362-38-####,1954-1955
362-39-####,2010-2011
362-40-####,1956-unknown
362-42-####,1957-1958
362-44-####,1959-1961
362-46-####,1962-unknown
362-48-####,1963-unknown
362-50-####,1964-unknown
362-52-####,1965-unknown
362-54-####,1965-unknown
362-56-####,1966-1967
362-58-####,1968-unknown
362-60-####,1968-unknown
362-62-####,1969-1970
362-64-####,1971-unknown
362-66-####,1972-unknown
362-68-####,1973-unknown
362-70-####,1973-unknown
362-72-####,1973-unknown
362-74-####,1974-unknown
362-76-####,1975-unknown
362-78-####,1976-unknown
362-80-####,1976-unknown
362-82-####,1977-unknown
362-84-####,1978-unknown
362-86-####,1979-unknown
362-88-####,1980-unknown
362-90-####,1981-1982
362-92-####,1983-unknown
362-94-####,1984-unknown
362-96-####,1985-unknown
362-98-####,1986-unknown
363-01-####,1936-1950
363-02-####,1987-unknown
363-03-####,1936-1950
363-04-####,1987-unknown
363-05-####,1936-1950
363-06-####,1988-unknown
363-07-####,1936-1950
363-08-####,1989-1992
363-09-####,1936-1950
363-10-####,1936-1950
363-11-####,1989-1992
363-12-####,1936-1950
363-13-####,1989-1992
363-14-####,1936-1950
363-15-####,1989-1992
363-16-####,1936-1950
363-17-####,1994-unknown
363-18-####,1936-1950
363-19-####,1995-unknown
363-20-####,1936-1950
363-21-####,1996-1998
