SSN Prefix,Years Issued
468-01-####,1936-1950
468-02-####,1983-unknown
468-03-####,1936-1950
468-04-####,1984-unknown
468-05-####,1936-1950
468-06-####,1985-unknown
468-07-####,1936-1950
468-08-####,1986-unknown
468-09-####,1936-1950
468-10-####,1936-1950
468-11-####,1987-unknown
468-12-####,1936-1950
468-13-####,1987-unknown
468-14-####,1936-1950
468-15-####,1988-unknown
468-16-####,1936-1950
468-17-####,1988-unknown
468-18-####,1936-1950
468-19-####,1989-1992
468-20-####,1936-1950
468-21-####,1989-1992
468-22-####,1936-1950
468-23-####,1989-1992
468-24-####,1936-1950
468-25-####,1989-1992
468-26-####,1936-1950
468-27-####,1993-unknown
468-28-####,1936-1950
468-29-####,1994-unknown
468-30-####,1936-1950
468-31-####,1995-unknown
468-32-####,1936-1950
468-33-####,1996-1998
468-34-####,1936-1950
468-35-####,1998-unknown
468-36-####,1951-unknown
468-37-####,1999-unknown
468-38-####,1952-1953
468-39-####,2000-unknown
468-40-####,1954-unknown
468-41-####,2001-2003
468-42-####,1955-unknown
468-43-####,2003-2004
468-44-####,1956-unknown
468-45-####,2004-2005
468-46-####,1957-1958
468-47-####,2005-2006
468-48-####,1959-1960
468-49-####,2006-2007
468-50-####,1961-unknown
468-51-####,2007-2008
468-52-####,1962-unknown
468-53-####,2008-2009
468-54-####,1963-unknown
468-55-####,2009-2010
468-56-####,1963-1964
468-57-####,2010-2011
468-58-####,1965-unknown
468-60-####,1966-unknown
468-62-####,1966-unknown
468-64-####,1967-unknown
468-66-####,1968-unknown
468-68-####,1969-unknown
468-70-####,1970-unknown
468-72-####,1971-unknown
468-74-####,1972-unknown
468-76-####,1973-unknown
468-78-####,1973-unknown
468-80-####,1973-unknown
468-82-####,1974-unknown
468-84-####,1975-1976
468-86-####,1977-unknown
468-88-####,1977-unknown
468-90-####,1977-1978
468-92-####,1979-unknown
468-94-####,1980-unknown
468-96-####,1981-unknown
468-98-####,1982-unknown
469-01-####,1936-1950
469-02-####,1983-unknown
469-03-####,1936-1950
469-04-####,1984-unknown
469-05-####,1936-1950
469-06-####,1985-unknown
469-07-####,1936-1950
469-08-####,1986-unknown
469-09-####,1936-1950
469-10-####,1936-1950
469-11-####,1987-unknown
469-12-####,1936-1950
469-13-####,1987-unknown
469-14-####,1936-1950
469-15-####,1988-unknown
469-16-####,1936-1950
469-17-####,1988-unknown
469-18-####,1936-1950
469-19-####,1989-1992
469-20-####,1936-1950
469-21-####,1989-1992
469-22-####,1936-1950
469-23-####,1989-1992
469-24-####,1936-1950
469-25-####,1989-1992
469-26-####,1936-1950
469-27-####,1993-unknown
469-28-####,1936-1950
469-29-####,1994-unknown
469-30-####,1936-1950
469-31-####,1995-unknown
469-32-####,1936-1950
469-33-####,1997-1998
469-34-####,1936-1950
469-35-####,1998-unknown
469-36-####,1951-1952
469-37-####,1999-unknown
469-38-####,1953-unknown
469-39-####,2000-2001
469-40-####,1954-unknown
469-41-####,2001-2002
469-42-####,1955-unknown
469-43-####,2003-2004
469-44-####,1956-unknown
469-45-####,2004-2005
469-46-####,1957-1958
469-47-####,2005-2006
469-48-####,1959-1960
469-49-####,2006-2007
469-50-####,1961-unknown
469-51-####,2007-2008
469-52-####,1962-unknown
469-53-####,2008-2009
469-54-####,1963-unknown
469-55-####,2009-2011
469-56-####,1963-1964
469-57-####,2011-unknown
469-58-####,1965-unknown
469-60-####,1966-unknown
469-62-####,1966-unknown
469-64-####,1967-unknown
469-66-####,1968-unknown
469-68-####,1969-unknown
469-70-####,1970-unknown
469-72-####,1971-unknown
469-74-####,1972-unknown
469-76-####,1973-unknown
469-78-####,1973-unknown
469-80-####,1974-unknown
469-82-####,1974-unknown
469-84-####,1975-1976
469-86-####,1977-unknown
469-88-####,1977-unknown
469-90-####,1977-1978
469-92-####,1979-unknown
469-94-####,1980-unknown
469-96-####,1981-unknown
469-98-####,1982-unknown
470-01-####,1936-1950
470-02-####,1983-unknown
470-03-####,1936-1950
470-04-####,1984-unknown
470-05-####,1936-1950
470-06-####,1985-unknown
470-07-####,1936-1950
470-08-####,1986-unknown
470-09-####,1936-1950
470-10-####,1936-1950
470-11-####,1987-unknown
470-12-####,1936-1950
470-13-####,1987-unknown
470-14-####,1936-1950
470-15-####,1988-unknown
470-16-####,1936-1950
470-17-####,1989-1992
470-18-####,1936-1950
470-19-####,1989-1992
470-20-####,1936-1950
470-21-####,1989-1992
470-22-####,1936-1950
470-23-####,1989-1992
470-24-####,1936-1950
470-25-####,1989-1992
470-26-####,1936-1950
470-27-####,1993-unknown
470-28-####,1936-1950
470-29-####,1994-unknown
470-30-####,1936-1950
470-31-####,1995-unknown
470-32-####,1936-1950
470-33-####,1997-1998
470-34-####,1951-unknown
470-35-####,1998-unknown
470-36-####,1952-unknown
470-37-####,1999-2000
470-38-####,1953-unknown
470-39-####,2000-2001
470-40-####,1954-unknown
470-41-####,2002-unknown
470-42-####,1955-unknown
470-43-####,2003-2004
470-44-####,1956-1957
470-45-####,2004-2005
470-46-####,1958-unknown
470-47-####,2005-2006
470-48-####,1959-1960
470-49-####,2006-2007
470-50-####,1961-unknown
470-51-####,2007-2008
470-52-####,1962-unknown
470-53-####,2008-2009
470-54-####,1963-unknown
470-55-####,2009-2011
470-56-####,1964-unknown
470-57-####,2011-unknown
470-58-####,1965-unknown
