SSN Prefix,Years Issued
425-01-####,1936-1950
425-02-####,1970-unknown
425-03-####,1936-1950
425-04-####,1971-unknown
425-05-####,1936-1950
425-06-####,1971-unknown
425-07-####,1936-1950
425-08-####,1971-unknown
425-09-####,1936-1950
425-10-####,1936-1950
425-11-####,1972-unknown
425-12-####,1936-1950
425-13-####,1973-unknown
425-14-####,1936-1950
425-15-####,1973-unknown
425-16-####,1936-1950
425-17-####,1973-unknown
425-18-####,1936-1950
425-19-####,1974-unknown
425-20-####,1936-1950
425-21-####,1974-unknown
425-22-####,1936-1950
425-23-####,1975-unknown
425-24-####,1936-1950
425-25-####,1975-unknown
425-26-####,1936-1950
425-27-####,1976-unknown
425-28-####,1936-1950
425-29-####,1976-unknown
425-30-####,1936-1950
425-31-####,1977-unknown
425-32-####,1936-1950
425-33-####,1978-unknown
425-34-####,1936-1950
425-35-####,1979-unknown
425-36-####,1936-1950
425-37-####,1980-unknown
425-38-####,1936-1950
425-39-####,1981-unknown
425-40-####,1936-1950
425-41-####,1981-unknown
425-42-####,1936-1950
425-43-####,1982-unknown
425-44-####,1936-1950
425-45-####,1982-unknown
425-46-####,1936-1950
425-47-####,1983-unknown
425-48-####,1936-1950
425-49-####,1984-unknown
425-50-####,1936-1950
425-51-####,1984-unknown
425-52-####,1936-1950
425-53-####,1985-unknown
425-54-####,1936-1950
425-55-####,1986-unknown
425-56-####,1936-1950
425-57-####,1987-unknown
425-58-####,1936-1950
425-59-####,1987-unknown
425-60-####,1936-1950
425-61-####,1988-unknown
425-62-####,1951-unknown
425-63-####,1988-unknown
425-64-####,1952-unknown
425-65-####,1989-1992
425-66-####,1953-unknown
425-67-####,1989-1992
425-68-####,1953-unknown
425-69-####,1989-1992
425-70-####,1954-unknown
425-71-####,1989-1992
425-72-####,1955-unknown
425-73-####,1989-1992
425-74-####,1955-unknown
425-75-####,1993-unknown
425-76-####,1956-unknown
425-77-####,1994-unknown
425-78-####,1956-unknown
425-79-####,1995-unknown
425-80-####,1957-unknown
425-81-####,1996-unknown
425-82-####,1957-unknown
425-83-####,1997-1998
425-84-####,1958-unknown
425-85-####,1998-unknown
425-86-####,1959-unknown
425-87-####,1999-unknown
425-88-####,1960-unknown
425-89-####,2000-2001
425-90-####,1961-unknown
425-91-####,2001-unknown
425-92-####,1962-unknown
425-93-####,2002-2003
425-94-####,1962-unknown
425-95-####,2003-2004
425-96-####,1963-unknown
425-97-####,2004-2005
425-98-####,1963-1969
425-99-####,2005-2007
426-01-####,1936-1950
426-02-####,1970-unknown
426-03-####,1936-1950
426-04-####,1971-unknown
426-05-####,1936-1950
426-06-####,1971-unknown
426-07-####,1936-1950
426-08-####,1972-unknown
426-09-####,1936-1950
426-10-####,1936-1950
426-11-####,1972-unknown
426-12-####,1936-1950
426-13-####,1973-unknown
426-14-####,1936-1950
426-15-####,1973-unknown
426-16-####,1936-1950
426-17-####,1973-unknown
426-18-####,1936-1950
426-19-####,1974-unknown
426-20-####,1936-1950
426-21-####,1974-unknown
426-22-####,1936-1950
426-23-####,1975-unknown
426-24-####,1936-1950
426-25-####,1975-unknown
426-26-####,1936-1950
426-27-####,1976-unknown
426-28-####,1936-1950
426-29-####,1976-unknown
426-30-####,1936-1950
426-31-####,1977-unknown
426-32-####,1936-1950
426-33-####,1978-unknown
426-34-####,1936-1950
426-35-####,1979-unknown
426-36-####,1936-1950
426-37-####,1980-unknown
426-38-####,1936-1950
426-39-####,1981-unknown
426-40-####,1936-1950
426-41-####,1982-unknown
426-42-####,1936-1950
426-43-####,1982-unknown
426-44-####,1936-1950
426-45-####,1982-unknown
426-46-####,1936-1950
426-47-####,1983-unknown
426-48-####,1936-1950
426-49-####,1984-unknown
426-50-####,1936-1950
426-51-####,1985-unknown
426-52-####,1936-1950
426-53-####,1985-unknown
426-54-####,1936-1950
426-55-####,1986-unknown
426-56-####,1936-1950
426-57-####,1987-unknown
426-58-####,1936-1950
426-59-####,1987-unknown
426-60-####,1951-unknown
426-61-####,1988-unknown
426-62-####,1952-unknown
426-63-####,1988-unknown
426-64-####,1952-unknown
426-65-####,1989-1992
426-66-####,1953-unknown
426-67-####,1989-1992
