SSN Prefix,Years Issued
486-01-####,1936-1950
486-02-####,1989-1992
486-03-####,1936-1950
486-04-####,1989-1992
486-05-####,1936-1950
486-06-####,1989-1992
486-07-####,1936-1950
486-08-####,1993-unknown
486-09-####,1936-1950
486-10-####,1936-1950
486-11-####,1994-unknown
486-12-####,1936-1950
486-13-####,1996-1998
486-14-####,1936-1950
486-15-####,1998-unknown
486-16-####,1936-1950
486-17-####,1999-2000
486-18-####,1936-1950
486-19-####,2001-unknown
486-20-####,1936-1950
486-21-####,2003-2004
486-22-####,1936-1950
486-23-####,2004-2006
486-24-####,1936-1950
486-25-####,2006-2008
486-26-####,1936-1950
486-27-####,2008-2009
486-28-####,1936-1950
486-29-####,2009-2011
486-30-####,1936-1950
486-32-####,1936-1950
486-34-####,1936-1950
486-36-####,1936-1950
486-38-####,1951-1952
486-40-####,1953-1954
486-42-####,1955-unknown
486-44-####,1956-1957
486-46-####,1958-1959
486-48-####,1960-1961
486-50-####,1962-unknown
486-52-####,1963-unknown
486-54-####,1964-unknown
486-56-####,1965-1966
486-58-####,1967-unknown
486-60-####,1968-unknown
486-62-####,1969-unknown
486-64-####,1970-unknown
486-66-####,1971-1972
486-68-####,1973-unknown
486-70-####,1973-unknown
486-72-####,1974-unknown
486-74-####,1975-1976
486-76-####,1977-unknown
486-78-####,1977-unknown
486-80-####,1977-1978
486-82-####,1979-unknown
486-84-####,1980-1981
486-86-####,1982-unknown
486-88-####,1983-unknown
486-90-####,1984-1985
486-92-####,1986-unknown
486-94-####,1987-unknown
486-96-####,1987-unknown
486-98-####,1988-unknown
487-01-####,1936-1950
487-02-####,1989-1992
487-03-####,1936-1950
487-04-####,1989-1992
487-05-####,1936-1950
487-06-####,1989-1992
487-07-####,1936-1950
487-08-####,1993-unknown
487-09-####,1936-1950
487-10-####,1936-1950
487-11-####,1994-unknown
487-12-####,1936-1950
487-13-####,1996-1998
487-14-####,1936-1950
487-15-####,1998-unknown
487-16-####,1936-1950
487-17-####,2000-unknown
487-18-####,1936-1950
487-19-####,2001-unknown
487-20-####,1936-1950
487-21-####,2003-2005
487-22-####,1936-1950
487-23-####,2005-2006
487-24-####,1936-1950
487-25-####,2006-2008
487-26-####,1936-1950
487-27-####,2008-2009
487-28-####,1936-1950
487-29-####,2009-2011
487-30-####,1936-1950
487-32-####,1936-1950
487-34-####,1936-1950
487-36-####,1936-1950
487-38-####,1951-1952
487-40-####,1953-1954
487-42-####,1955-unknown
487-44-####,1956-1957
487-46-####,1958-1959
487-48-####,1960-1961
487-50-####,1962-unknown
487-52-####,1963-unknown
487-54-####,1964-1965
487-56-####,1966-unknown
487-58-####,1966-1967
487-60-####,1968-unknown
487-62-####,1969-unknown
487-64-####,1970-unknown
487-66-####,1971-1972
487-68-####,1973-unknown
487-70-####,1973-unknown
487-72-####,1974-unknown
487-74-####,1975-1976
487-76-####,1977-unknown
487-78-####,1977-unknown
487-80-####,1977-1978
487-82-####,1979-unknown
487-84-####,1980-1981
487-86-####,1982-unknown
487-88-####,1983-unknown
487-90-####,1984-1985
487-92-####,1986-unknown
487-94-####,1987-unknown
487-96-####,1987-unknown
487-98-####,1988-unknown
488-01-####,1936-1950
488-02-####,1989-1992
488-03-####,1936-1950
488-04-####,1989-1992
488-05-####,1936-1950
488-06-####,1989-1992
488-07-####,1936-1950
488-08-####,1993-unknown
488-09-####,1936-1950
488-10-####,1936-1950
488-11-####,1994-unknown
488-12-####,1936-1950
488-13-####,1996-1998
488-14-####,1936-1950
488-15-####,1998-unknown
488-16-####,1936-1950
488-17-####,2000-unknown
488-18-####,1936-1950
488-19-####,2001-2002
488-20-####,1936-1950
488-21-####,2003-2005
488-22-####,1936-1950
488-23-####,2005-2006
488-24-####,1936-1950
488-25-####,2006-2008
488-26-####,1936-1950
488-27-####,2008-2010
488-28-####,1936-1950
488-29-####,2010-2011
488-30-####,1936-1950
488-32-####,1936-1950
488-34-####,1936-1950
488-36-####,1951-unknown
488-38-####,1952-unknown
488-40-####,1953-1954
488-42-####,1955-unknown
488-44-####,1956-1957
488-46-####,1958-1959
488-48-####,1960-1961
488-50-####,1962-unknown
488-52-####,1963-1964
488-54-####,1965-unknown
488-56-####,1965-1966
488-58-####,1967-unknown
488-60-####,1968-unknown
488-62-####,1969-unknown
488-64-####,1970-unknown
488-66-####,1971-1972
488-68-####,1973-unknown
488-70-####,1973-unknown
488-72-####,1974-unknown
488-74-####,1975-1976
488-76-####,1977-unknown
488-78-####,1977-unknown
488-80-####,1977-1978
488-82-####,1979-unknown
488-84-####,1980-1981
488-86-####,1982-unknown
488-88-####,1983-unknown
488-90-####,1984-1985
488-92-####,1986-unknown
488-94-####,1987-unknown
488-96-####,1987-unknown
488-98-####,1988-unknown
489-01-####,1936-1950
489-02-####,1989-1992
489-03-####,1936-1950
489-04-####,1989-1992
489-05-####,1936-1950
489-06-####,1989-1992
489-07-####,1936-1950
489-08-####,1993-unknown
489-09-####,1936-1950
489-10-####,1936-1950
489-11-####,1995-unknown
489-12-####,1936-1950
489-13-####,1996-1998
489-14-####,1936-1950
489-15-####,1998-unknown
489-16-####,1936-1950
489-17-####,2000-unknown
489-18-####,1936-1950
489-19-####,2001-2002
489-20-####,1936-1950
489-21-####,2003-2005
489-22-####,1936-1950
489-23-####,2005-2006
489-24-####,1936-1950
489-25-####,2006-2008
489-26-####,1936-1950
489-27-####,2008-2010
489-28-####,1936-1950
489-29-####,2010-2011
489-30-####,1936-1950
489-32-####,1936-1950
489-34-####,1936-1950
489-36-####,1951-unknown
489-38-####,1952-unknown
489-40-####,1953-1954
489-42-####,1955-unknown
489-44-####,1956-1958
489-46-####,1959-1960
489-48-####,1961-unknown
489-50-####,1962-unknown
489-52-####,1963-1964
489-54-####,1965-unknown
489-56-####,1965-1966
489-58-####,1967-unknown
489-60-####,1968-unknown
489-62-####,1969-unknown
489-64-####,1970-unknown
489-66-####,1971-1972
489-68-####,1973-unknown
489-70-####,1973-unknown
489-72-####,1974-unknown
489-74-####,1975-1976
489-76-####,1977-unknown
489-78-####,1977-unknown
489-80-####,1977-1978
489-82-####,1979-1980
489-84-####,1981-unknown
489-86-####,1982-unknown
489-88-####,1983-unknown
489-90-####,1984-1985
489-92-####,1986-unknown
489-94-####,1987-unknown
489-96-####,1987-unknown
489-98-####,1988-unknown
490-01-####,1936-1950
490-02-####,1989-1992
490-03-####,1936-1950
490-04-####,1989-1992
490-05-####,1936-1950
490-06-####,1989-1992
490-07-####,1936-1950
490-08-####,1993-unknown
490-09-####,1936-1950
490-10-####,1936-1950
490-11-####,1996-unknown
490-12-####,1936-1950
490-13-####,1996-1998
490-14-####,1936-1950
490-15-####,1998-unknown
490-16-####,1936-1950
490-17-####,2000-unknown
490-18-####,1936-1950
490-19-####,2002-unknown
490-20-####,1936-1950
490-21-####,2003-2005
490-22-####,1936-1950
490-23-####,2005-2007
490-24-####,1936-1950
490-25-####,2007-2008
490-26-####,1936-1950
490-27-####,2008-2010
490-28-####,1936-1950
490-29-####,2010-2011
490-30-####,1936-1950
490-32-####,1936-1950
490-34-####,1936-1950
490-36-####,1951-unknown
490-38-####,1952-1953
490-40-####,1954-unknown
490-42-####,1955-unknown
490-44-####,1956-1958
490-46-####,1959-1960
490-48-####,1961-unknown
490-50-####,1962-unknown
490-52-####,1963-1964
490-54-####,1965-unknown
490-56-####,1966-unknown
490-58-####,1967-unknown
490-60-####,1968-unknown
490-62-####,1969-unknown
490-64-####,1970-1971
490-66-####,1972-unknown
490-68-####,1973-unknown
490-70-####,1973-unknown
490-72-####,1974-unknown
490-74-####,1975-1976
490-76-####,1977-unknown
490-78-####,1977-unknown
490-80-####,1978-unknown
490-82-####,1979-1980
490-84-####,1981-unknown
490-86-####,1982-unknown
490-88-####,1983-unknown
490-90-####,1984-1985
490-92-####,1986-unknown
490-94-####,1987-unknown
490-96-####,1987-unknown
490-98-####,1988-unknown
491-01-####,1936-1950
491-02-####,1989-1992
491-03-####,1936-1950
491-04-####,1989-1992
491-05-####,1936-1950
491-06-####,1989-1992
491-07-####,1936-1950
491-08-####,1993-unknown
491-09-####,1936-1950
491-10-####,1936-1950
491-11-####,1995-unknown
491-12-####,1936-1950
491-13-####,1997-1998
491-14-####,1936-1950
491-15-####,1998-unknown
491-16-####,1936-1950
491-17-####,2000-unknown
491-18-####,1936-1950
491-19-####,2002-unknown
491-20-####,1936-1950
491-21-####,2003-2005
491-22-####,1936-1950
491-23-####,2005-2007
491-24-####,1936-1950
491-25-####,2007-2008
491-26-####,1936-1950
491-27-####,2008-2010
491-28-####,1936-1950
491-29-####,2010-2011
491-30-####,1936-1950
491-32-####,1936-1950
491-34-####,1936-1950
491-36-####,1951-unknown
491-38-####,1952-1953
491-40-####,1954-unknown
491-42-####,1955-unknown
491-44-####,1956-1958
491-46-####,1959-1960
491-48-####,1961-unknown
491-50-####,1962-unknown
491-52-####,1963-1964
491-54-####,1965-unknown
491-56-####,1966-unknown
491-58-####,1967-unknown
491-60-####,1968-unknown
491-62-####,1969-unknown
491-64-####,1970-1971
491-66-####,1972-unknown
491-68-####,1973-unknown
491-70-####,1973-unknown
491-72-####,1974-unknown
491-74-####,1975-1976
491-76-####,1977-unknown
491-78-####,1977-unknown
491-80-####,1978-unknown
491-82-####,1979-1980
491-84-####,1981-unknown
491-86-####,1982-1983
491-88-####,1984-unknown
491-90-####,1985-unknown
491-92-####,1986-unknown
491-94-####,1987-unknown
491-96-####,1988-unknown
491-98-####,1988-unknown
492-01-####,1936-1950
492-02-####,1989-1992
492-03-####,1936-1950
492-04-####,1989-1992
492-05-####,1936-1950
492-06-####,1989-1992
492-07-####,1936-1950
492-08-####,1993-unknown
492-09-####,1936-1950
492-10-####,1936-1950
492-11-####,1995-unknown
492-12-####,1936-1950
492-13-####,1997-1998
492-14-####,1936-1950
492-15-####,1998-unknown
492-16-####,1936-1950
492-17-####,2000-unknown
492-18-####,1936-1950
492-19-####,2002-2003
492-20-####,1936-1950
492-21-####,2003-2005
492-22-####,1936-1950
492-23-####,2005-2007
492-24-####,1936-1950
492-25-####,2007-2008
492-26-####,1936-1950
492-27-####,2008-2010
492-28-####,1936-1950
492-29-####,2010-2011
492-30-####,1936-1950
492-32-####,1936-1950
492-34-####,1936-1950
492-36-####,1951-unknown
492-38-####,1952-1953
492-40-####,1954-unknown
492-42-####,1955-unknown
492-44-####,1956-1958
492-46-####,1959-1960
492-48-####,1961-unknown
492-50-####,1962-unknown
492-52-####,1963-1964
492-54-####,1965-unknown
492-56-####,1966-unknown
492-58-####,1967-unknown
492-60-####,1968-unknown
492-62-####,1969-unknown
492-64-####,1970-1971
492-66-####,1972-unknown
492-68-####,1973-unknown
492-70-####,1973-unknown
492-72-####,1974-unknown
492-74-####,1975-1976
492-76-####,1977-unknown
492-78-####,1977-unknown
492-80-####,1978-unknown
492-82-####,1979-1980
492-84-####,1981-unknown
492-86-####,1982-1983
492-88-####,1984-unknown
492-90-####,1985-unknown
492-92-####,1986-unknown
492-94-####,1987-unknown
492-96-####,1988-unknown
492-98-####,1988-unknown
493-01-####,1936-1950
493-02-####,1989-1992
493-03-####,1936-1950
493-04-####,1989-1992
493-05-####,1936-1950
493-06-####,1989-1992
493-07-####,1936-1950
493-08-####,1993-unknown
493-09-####,1936-1950
493-10-####,1936-1950
493-11-####,1995-unknown
493-12-####,1936-1950
493-13-####,1997-1998
493-14-####,1936-1950
493-15-####,1998-unknown
493-16-####,1936-1950
493-17-####,2000-unknown
493-18-####,1936-1950
493-19-####,2002-2004
493-20-####,1936-1950
493-21-####,2004-2005
493-22-####,1936-1950
493-23-####,2005-2007
493-24-####,1936-1950
493-25-####,2007-2008
493-26-####,1936-1950
493-27-####,2008-2010
493-28-####,1936-1950
493-29-####,2010-2011
493-30-####,1936-1950
493-32-####,1936-1950
493-34-####,1936-1950
493-36-####,1951-unknown
493-38-####,1952-1953
493-40-####,1954-unknown
493-42-####,1955-1956
493-44-####,1957-1958
493-46-####,1959-1960
493-48-####,1961-1962
493-50-####,1963-unknown
493-52-####,1964-unknown
493-54-####,1965-unknown
493-56-####,1966-unknown
493-58-####,1967-unknown
493-60-####,1968-unknown
493-62-####,1969-1970
493-64-####,1971-unknown
493-66-####,1972-unknown
493-68-####,1973-unknown
493-70-####,1973-unknown
493-72-####,1974-unknown
493-74-####,1975-1976
493-76-####,1977-unknown
493-78-####,1977-unknown
493-80-####,1978-unknown
493-82-####,1979-1980
493-84-####,1981-1982
493-86-####,1983-unknown
493-88-####,1984-unknown
493-90-####,1985-unknown
493-92-####,1986-unknown
493-94-####,1987-unknown
493-96-####,1988-unknown
493-98-####,1988-unknown
494-01-####,1936-1950
494-02-####,1989-1992
494-03-####,1936-1950
494-04-####,1989-1992
494-05-####,1936-1950
494-06-####,1989-1992
494-07-####,1936-1950
494-08-####,1994-unknown
494-09-####,1936-1950
494-10-####,1936-1950
494-11-####,1995-unknown
494-12-####,1936-1950
494-13-####,1997-1998
494-14-####,1936-1950
494-15-####,1999-unknown
494-16-####,1936-1950
494-17-####,2000-2001
494-18-####,1936-1950
494-19-####,2002-2004
494-20-####,1936-1950
494-21-####,2004-2005
494-22-####,1936-1950
494-23-####,2005-2007
494-24-####,1936-1950
494-25-####,2007-2009
494-26-####,1936-1950
494-27-####,2009-2010
494-28-####,1936-1950
494-29-####,2010-2011
494-30-####,1936-1950
494-32-####,1936-1950
494-34-####,1936-1950
494-36-####,1951-unknown
494-38-####,1952-1953
494-40-####,1954-unknown
494-42-####,1955-1956
494-44-####,1957-1958
494-46-####,1959-1960
494-48-####,1961-1962
494-50-####,1963-unknown
494-52-####,1963-1964
494-54-####,1965-unknown
494-56-####,1966-unknown
494-58-####,1967-unknown
494-60-####,1968-1969
494-62-####,1970-unknown
494-64-####,1971-unknown
494-66-####,1972-unknown
494-68-####,1973-unknown
494-70-####,1973-unknown
494-72-####,1974-unknown
494-74-####,1975-1976
494-76-####,1977-unknown
494-78-####,1977-unknown
494-80-####,1978-1979
494-82-####,1980-unknown
494-84-####,1981-1982
494-86-####,1983-unknown
494-88-####,1984-unknown
494-90-####,1985-unknown
494-92-####,1986-unknown
494-94-####,1987-unknown
494-96-####,1988-unknown
494-98-####,1989-1992
495-01-####,1936-1950
495-02-####,1989-1992
495-03-####,1936-1950
495-04-####,1989-1992
495-05-####,1936-1950
495-06-####,1989-1992
495-07-####,1936-1950
495-08-####,1994-unknown
495-09-####,1936-1950
495-10-####,1936-1950
495-11-####,1995-unknown
495-12-####,1936-1950
495-13-####,1997-1998
495-14-####,1936-1950
