SSN Prefix,Years Issued
516-01-####,1936-1950
516-02-####,1983-unknown
516-03-####,1936-1950
516-04-####,1984-unknown
516-05-####,1936-1950
516-06-####,1985-unknown
516-07-####,1936-1950
516-08-####,1986-unknown
516-09-####,1936-1950
516-10-####,1936-1950
516-11-####,1987-unknown
516-12-####,1936-1950
516-13-####,1987-unknown
516-14-####,1936-1950
516-15-####,1987-unknown
516-16-####,1936-1950
516-17-####,1988-unknown
516-18-####,1936-1950
516-19-####,1989-1992
516-20-####,1936-1950
516-21-####,1989-1992
516-22-####,1936-1950
516-23-####,1989-1992
516-24-####,1936-1950
516-25-####,1989-1992
516-26-####,1936-1950
516-27-####,1993-unknown
516-28-####,1936-1950
516-29-####,1995-unknown
516-30-####,1936-1950
516-31-####,1996-1998
516-32-####,1936-1950
516-33-####,1998-unknown
516-34-####,1936-1950
516-35-####,2000-unknown
516-36-####,1951-unknown
516-37-####,2001-2002
516-38-####,1952-unknown
516-39-####,2003-2004
516-40-####,1953-1954
516-41-####,2004-2006
516-42-####,1955-unknown
516-43-####,2006-2007
516-44-####,1956-unknown
516-45-####,2007-2008
516-46-####,1956-1957
516-47-####,2008-2010
516-48-####,1958-1959
516-49-####,2010-2011
516-50-####,1960-unknown
516-52-####,1961-unknown
516-54-####,1962-unknown
516-56-####,1963-unknown
516-58-####,1964-unknown
516-60-####,1965-unknown
516-62-####,1966-unknown
516-64-####,1966-unknown
516-66-####,1967-1968
516-68-####,1969-unknown
516-70-####,1969-unknown
516-72-####,1970-unknown
516-74-####,1971-unknown
516-76-####,1972-unknown
516-78-####,1973-unknown
516-80-####,1973-unknown
516-82-####,1973-unknown
516-84-####,1973-unknown
516-86-####,1973-unknown
516-88-####,1974-unknown
516-90-####,1975-unknown
516-92-####,1976-unknown
516-94-####,1976-1980
516-96-####,1981-unknown
516-98-####,1982-unknown
517-01-####,1936-1950
517-02-####,1984-unknown
517-03-####,1936-1950
517-04-####,1984-unknown
517-05-####,1936-1950
517-06-####,1985-unknown
517-07-####,1936-1950
517-08-####,1986-unknown
517-09-####,1936-1950
517-10-####,1936-1950
517-11-####,1987-unknown
517-12-####,1936-1950
517-13-####,1987-unknown
517-14-####,1936-1950
517-15-####,1988-unknown
517-16-####,1936-1950
517-17-####,1988-unknown
517-18-####,1936-1950
517-19-####,1989-1992
517-20-####,1936-1950
517-21-####,1989-1992
517-22-####,1936-1950
517-23-####,1989-1992
517-24-####,1936-1950
517-25-####,1993-unknown
517-26-####,1936-1950
517-27-####,1994-unknown
517-28-####,1936-1950
517-29-####,1996-unknown
517-30-####,1936-1950
517-31-####,1996-1998
517-32-####,1936-1950
517-33-####,1999-2000
517-34-####,1936-1950
517-35-####,2000-2001
517-36-####,1951-unknown
517-37-####,2002-2003
517-38-####,1952-1953
517-39-####,2003-2005
517-40-####,1954-unknown
517-41-####,2005-2006
517-42-####,1955-unknown
517-43-####,2006-2008
517-44-####,1956-unknown
517-45-####,2008-2009
517-46-####,1957-1958
517-47-####,2009-2010
517-48-####,1959-unknown
517-49-####,2010-2011
517-50-####,1960-1961
517-52-####,1962-unknown
517-54-####,1963-unknown
517-56-####,1963-unknown
517-58-####,1964-unknown
517-60-####,1965-unknown
517-62-####,1966-unknown
517-64-####,1967-unknown
517-66-####,1968-unknown
517-68-####,1969-unknown
517-70-####,1970-unknown
517-72-####,1971-unknown
517-74-####,1972-unknown
517-76-####,1973-unknown
517-78-####,1973-unknown
517-80-####,1973-unknown
517-82-####,1973-unknown
517-84-####,1973-unknown
517-86-####,1974-unknown
517-88-####,1974-unknown
517-90-####,1975-unknown
517-92-####,1976-1979
517-94-####,1980-unknown
517-96-####,1981-1982
517-98-####,1983-unknown
