SSN Prefix,Years Issued
505-01-####,1936-1950
505-02-####,1978-unknown
505-03-####,1936-1950
505-04-####,1979-1980
505-05-####,1936-1950
505-06-####,1981-unknown
505-07-####,1936-1950
505-08-####,1982-unknown
505-09-####,1936-1950
505-10-####,1936-1950
505-11-####,1983-unknown
505-12-####,1936-1950
505-13-####,1984-unknown
505-14-####,1936-1950
505-15-####,1985-unknown
505-16-####,1936-1950
505-17-####,1986-unknown
505-18-####,1936-1950
505-19-####,1987-unknown
505-20-####,1936-1950
505-21-####,1987-unknown
505-22-####,1936-1950
505-23-####,1988-unknown
505-24-####,1936-1950
505-25-####,1989-1992
505-26-####,1936-1950
505-27-####,1989-1992
505-28-####,1936-1950
505-29-####,1989-1992
505-30-####,1936-1950
505-31-####,1989-1992
505-32-####,1936-1950
505-33-####,1993-unknown
505-34-####,1936-1950
505-35-####,1995-unknown
505-36-####,1936-1950
505-37-####,1996-unknown
505-38-####,1936-1950
505-39-####,1997-1998
505-40-####,1951-unknown
505-41-####,1999-unknown
505-42-####,1952-1953
505-43-####,2000-2001
505-44-####,1954-unknown
505-45-####,2002-unknown
505-46-####,1955-unknown
505-47-####,2003-2004
505-48-####,1955-unknown
505-49-####,2004-2006
505-50-####,1956-unknown
505-51-####,2006-2007
505-52-####,1956-1957
505-53-####,2007-2008
505-54-####,1958-1959
505-55-####,2008-2010
505-56-####,1960-unknown
505-57-####,2010-2011
505-58-####,1961-unknown
505-59-####,2011-unknown
505-60-####,1962-unknown
505-62-####,1963-unknown
505-64-####,1964-unknown
505-66-####,1965-unknown
505-68-####,1966-unknown
505-70-####,1966-unknown
505-72-####,1967-unknown
505-74-####,1968-unknown
505-76-####,1969-unknown
505-78-####,1970-unknown
505-80-####,1971-unknown
505-82-####,1971-unknown
505-84-####,1972-unknown
505-86-####,1973-unknown
505-88-####,1973-unknown
505-90-####,1974-unknown
505-92-####,1974-unknown
505-94-####,1975-1976
505-96-####,1977-unknown
505-98-####,1977-unknown
506-01-####,1936-1950
506-02-####,1978-1979
506-03-####,1936-1950
506-04-####,1980-unknown
506-05-####,1936-1950
506-06-####,1981-unknown
506-07-####,1936-1950
506-08-####,1982-unknown
506-09-####,1936-1950
506-10-####,1936-1950
506-11-####,1983-unknown
506-12-####,1936-1950
506-13-####,1984-1985
506-14-####,1936-1950
506-15-####,1986-unknown
506-16-####,1936-1950
506-17-####,1987-unknown
506-18-####,1936-1950
506-19-####,1987-unknown
506-20-####,1936-1950
506-21-####,1988-unknown
506-22-####,1936-1950
506-23-####,1988-unknown
506-24-####,1936-1950
506-25-####,1989-1992
506-26-####,1936-1950
506-27-####,1989-1992
506-28-####,1936-1950
506-29-####,1989-1992
506-30-####,1936-1950
506-31-####,1989-1992
506-32-####,1936-1950
506-33-####,1994-unknown
506-34-####,1936-1950
506-35-####,1995-unknown
506-36-####,1936-1950
506-37-####,1996-1998
506-38-####,1951-unknown
506-39-####,1998-unknown
506-40-####,1952-unknown
506-41-####,1999-2000
506-42-####,1953-unknown
506-43-####,2001-unknown
506-44-####,1954-unknown
506-45-####,2002-2003
506-46-####,1955-unknown
506-47-####,2003-2005
506-48-####,1956-unknown
506-49-####,2005-2006
506-50-####,1956-unknown
506-51-####,2006-2007
506-52-####,1957-1958
506-53-####,2007-2009
506-54-####,1959-unknown
506-55-####,2009-2010
506-56-####,1960-1961
506-57-####,2010-2011
506-58-####,1962-unknown
506-60-####,1963-unknown
506-62-####,1963-unknown
506-64-####,1963-1964
506-66-####,1965-unknown
506-68-####,1966-unknown
506-70-####,1966-unknown
506-72-####,1967-unknown
506-74-####,1968-unknown
506-76-####,1969-unknown
506-78-####,1970-unknown
506-80-####,1971-unknown
506-82-####,1972-unknown
506-84-####,1972-unknown
506-86-####,1973-unknown
506-88-####,1973-unknown
506-90-####,1974-unknown
506-92-####,1974-unknown
506-94-####,1975-1976
506-96-####,1977-unknown
506-98-####,1977-unknown
507-01-####,1936-1950
507-02-####,1979-unknown
507-03-####,1936-1950
507-04-####,1980-unknown
507-05-####,1936-1950
507-06-####,1981-1982
507-07-####,1936-1950
507-08-####,1983-unknown
507-09-####,1936-1950
507-10-####,1936-1950
507-11-####,1984-unknown
507-12-####,1936-1950
507-13-####,1985-unknown
507-14-####,1936-1950
507-15-####,1986-unknown
507-16-####,1936-1950
507-17-####,1987-unknown
507-18-####,1936-1950
507-19-####,1987-unknown
507-20-####,1936-1950
507-21-####,1988-unknown
507-22-####,1936-1950
507-23-####,1988-unknown
507-24-####,1936-1950
507-25-####,1989-1992
507-26-####,1936-1950
507-27-####,1989-1992
507-28-####,1936-1950
507-29-####,1989-1992
507-30-####,1936-1950
507-31-####,1993-unknown
507-32-####,1936-1950
507-33-####,1994-unknown
507-34-####,1936-1950
507-35-####,1995-unknown
507-36-####,1936-1950
507-37-####,1997-1998
507-38-####,1936-1950
507-39-####,1998-unknown
507-40-####,1951-1952
507-41-####,2000-unknown
507-42-####,1953-1954
507-43-####,2001-unknown
507-44-####,1955-unknown
507-45-####,2002-2004
507-46-####,1955-unknown
507-47-####,2004-2005
507-48-####,1956-unknown
507-49-####,2005-2006
507-50-####,1956-unknown
507-51-####,2006-2008
507-52-####,1957-1958
507-53-####,2008-2009
507-54-####,1959-1960
507-55-####,2009-2010
507-56-####,1961-unknown
507-57-####,2010-2011
507-58-####,1962-unknown
507-60-####,1963-unknown
507-62-####,1963-unknown
507-64-####,1964-unknown
507-66-####,1965-unknown
507-68-####,1966-unknown
507-70-####,1967-unknown
507-72-####,1968-unknown
507-74-####,1968-unknown
507-76-####,1969-unknown
507-78-####,1970-unknown
507-80-####,1971-unknown
507-82-####,1972-unknown
507-84-####,1973-unknown
507-86-####,1973-unknown
507-88-####,1973-unknown
507-90-####,1974-unknown
507-92-####,1975-unknown
507-94-####,1975-1976
507-96-####,1977-unknown
507-98-####,1977-1978
508-01-####,1936-1950
508-02-####,1979-unknown
508-03-####,1936-1950
508-04-####,1980-1981
508-05-####,1936-1950
508-06-####,1982-unknown
508-07-####,1936-1950
508-08-####,1983-unknown
508-09-####,1936-1950
508-10-####,1936-1950
508-11-####,1984-unknown
508-12-####,1936-1950
508-13-####,1985-unknown
508-14-####,1936-1950
508-15-####,1986-unknown
508-16-####,1936-1950
508-17-####,1987-unknown
508-18-####,1936-1950
508-19-####,1987-unknown
508-20-####,1936-1950
508-21-####,1988-unknown
508-22-####,1936-1950
508-23-####,1989-1992
508-24-####,1936-1950
508-25-####,1989-1992
508-26-####,1936-1950
508-27-####,1989-1992
508-28-####,1936-1950
508-29-####,1989-1992
508-30-####,1936-1950
508-31-####,1993-unknown
508-32-####,1936-1950
508-33-####,1994-unknown
508-34-####,1936-1950
508-35-####,1996-unknown
508-36-####,1936-1950
508-37-####,1997-1998
508-38-####,1951-unknown
508-39-####,1999-unknown
508-40-####,1952-1953
508-41-####,2000-unknown
508-42-####,1954-unknown
508-43-####,2001-2002
508-44-####,1955-unknown
508-45-####,2003-2004
508-46-####,1955-unknown
508-47-####,2004-2005
508-48-####,1956-unknown
508-49-####,2005-2007
508-50-####,1956-1957
508-51-####,2007-2008
508-52-####,1958-unknown
508-53-####,2008-2009
508-54-####,1959-1960
508-55-####,2009-2011
508-56-####,1961-unknown
508-57-####,2011-unknown
508-58-####,1962-unknown
508-60-####,1963-unknown
508-62-####,1963-unknown
508-64-####,1964-unknown
508-66-####,1965-unknown
508-68-####,1966-unknown
508-70-####,1967-unknown
508-72-####,1968-unknown
508-74-####,1969-unknown
508-76-####,1970-unknown
508-78-####,1970-unknown
508-80-####,1971-unknown
508-82-####,1972-unknown
508-84-####,1973-unknown
508-86-####,1973-unknown
508-88-####,1973-unknown
508-90-####,1974-unknown
508-92-####,1975-unknown
508-94-####,1975-1976
508-96-####,1977-unknown
508-98-####,1978-unknown
