SSN Prefix,Years Issued
530-01-####,1936-1950
530-02-####,1983-unknown
530-03-####,1936-1950
530-04-####,1983-unknown
530-05-####,1936-1950
530-06-####,1984-unknown
530-07-####,1936-1950
530-08-####,1984-unknown
530-09-####,1936-1950
530-10-####,1936-1950
530-11-####,1985-unknown
530-12-####,1936-1950
530-13-####,1985-unknown
530-14-####,1936-1950
530-15-####,1986-unknown
530-16-####,1936-1950
530-17-####,1986-unknown
530-18-####,1936-1950
530-19-####,1987-unknown
530-20-####,1951-unknown
530-21-####,1987-unknown
530-22-####,1952-1953
530-23-####,1987-unknown
530-24-####,1954-1955
530-25-####,1987-unknown
530-26-####,1956-1957
530-27-####,1987-unknown
530-28-####,1958-1959
530-29-####,1988-unknown
530-30-####,1960-1961
530-31-####,1988-unknown
530-32-####,1962-unknown
530-33-####,1988-unknown
530-34-####,1963-unknown
530-35-####,1988-unknown
530-36-####,1963-1964
530-37-####,1988-unknown
530-38-####,1965-unknown
530-39-####,1989-1992
530-40-####,1966-unknown
530-41-####,1989-1992
530-42-####,1966-unknown
530-43-####,1989-1992
530-44-####,1967-unknown
530-45-####,1989-1992
530-46-####,1968-unknown
530-47-####,1989-1992
530-48-####,1969-unknown
530-49-####,1989-1992
530-50-####,1969-unknown
530-51-####,1989-1992
530-52-####,1970-unknown
530-53-####,1989-1992
530-54-####,1971-unknown
530-55-####,1989-1992
530-56-####,1971-unknown
530-57-####,1989-1992
530-58-####,1972-unknown
530-59-####,1989-1992
530-60-####,1973-unknown
530-61-####,1989-1992
530-62-####,1973-unknown
530-63-####,1989-1992
530-64-####,1973-unknown
530-65-####,1989-1992
530-66-####,1973-unknown
530-67-####,1989-1992
530-68-####,1973-unknown
530-69-####,1989-1992
530-70-####,1973-unknown
530-71-####,1993-unknown
530-72-####,1974-unknown
530-73-####,1993-unknown
530-74-####,1974-unknown
530-75-####,1993-unknown
530-76-####,1975-unknown
530-77-####,1994-unknown
530-78-####,1975-unknown
530-79-####,1994-unknown
530-80-####,1976-unknown
530-81-####,1994-unknown
530-82-####,1976-unknown
530-83-####,1994-unknown
530-84-####,1977-1978
530-85-####,1995-unknown
530-86-####,1979-unknown
530-87-####,1995-unknown
530-88-####,1979-unknown
530-89-####,1995-unknown
530-90-####,1980-unknown
530-91-####,1995-unknown
530-92-####,1981-unknown
530-93-####,1996-unknown
530-94-####,1981-unknown
530-95-####,1996-unknown
530-96-####,1982-unknown
530-97-####,1996-unknown
530-98-####,1983-unknown
530-99-####,1997-unknown
680-01-####,1997-unknown
680-02-####,2008-unknown
680-03-####,1997-unknown
680-04-####,2008-unknown
680-05-####,1997-unknown
680-06-####,2008-unknown
680-07-####,1998-unknown
680-08-####,2008-2009
680-09-####,1998-unknown
680-10-####,1998-unknown
680-11-####,2009-unknown
680-12-####,1998-1999
680-13-####,2009-unknown
680-14-####,1999-unknown
680-15-####,2009-unknown
680-16-####,1999-unknown
680-17-####,2009-2010
680-18-####,1999-2000
680-19-####,2010-unknown
680-20-####,2000-unknown
680-21-####,2010-unknown
680-22-####,2000-unknown
680-23-####,2010-unknown
680-24-####,2000-unknown
680-25-####,2010-unknown
680-26-####,2000-unknown
680-27-####,2010-2011
680-28-####,2000-2001
680-29-####,2011-unknown
680-30-####,2001-unknown
680-31-####,2011-unknown
680-32-####,2001-unknown
680-34-####,2001-unknown
680-36-####,2001-2002
680-38-####,2002-unknown
680-40-####,2002-unknown
680-42-####,2002-unknown
680-44-####,2002-2003
680-46-####,2003-unknown
680-48-####,2003-unknown
680-50-####,2003-unknown
680-52-####,2003-unknown
680-54-####,2003-2004
680-56-####,2004-unknown
680-58-####,2004-unknown
680-60-####,2004-unknown
680-62-####,2004-2005
680-64-####,2005-unknown
680-66-####,2005-unknown
680-68-####,2005-unknown
680-70-####,2005-unknown
680-72-####,2005-2006
680-74-####,2006-unknown
680-76-####,2006-unknown
680-78-####,2006-unknown
680-80-####,2006-unknown
680-82-####,2006-2007
680-84-####,2007-unknown
680-86-####,2007-unknown
680-88-####,2007-unknown
680-90-####,2007-unknown
680-92-####,2007-2008
680-94-####,2008-unknown
680-96-####,2008-unknown
680-98-####,2008-unknown
