SSN Prefix,Years Issued
001-01-####,1936-1950
001-02-####,2004-2005
001-03-####,1936-1950
001-04-####,2005-2007
001-05-####,1936-1950
001-06-####,2007-2008
001-07-####,1936-1950
001-08-####,2008-2010
001-09-####,1936-1950
001-10-####,1936-1950
001-11-####,2010-2011
001-12-####,1936-1950
001-14-####,1936-1950
001-16-####,1936-1950
001-18-####,1936-1950
001-20-####,1936-1950
001-22-####,1936-1950
001-24-####,1936-1950
001-26-####,1951-1952
001-28-####,1953-1955
001-30-####,1956-unknown
001-32-####,1957-1960
001-34-####,1961-unknown
001-36-####,1962-1963
001-38-####,1964-unknown
001-40-####,1965-unknown
001-42-####,1966-1967
001-44-####,1968-unknown
001-46-####,1969-1970
001-48-####,1971-1972
001-50-####,1973-unknown
001-52-####,1973-unknown
001-54-####,1973-unknown
001-56-####,1974-1975
001-58-####,1976-unknown
001-60-####,1977-1978
001-62-####,1979-1980
001-64-####,1981-unknown
001-66-####,1982-unknown
001-68-####,1983-unknown
001-70-####,1984-1986
001-72-####,1987-unknown
001-74-####,1987-unknown
001-76-####,1988-unknown
001-78-####,1989-1992
001-80-####,1989-1992
001-82-####,1989-1992
001-84-####,1989-1992
001-86-####,1993-unknown
001-88-####,1994-unknown
001-90-####,1995-1997
001-92-####,1998-1999
001-94-####,1999-2000
001-96-####,2001-unknown
001-98-####,2002-2004
002-01-####,1936-1950
002-02-####,2004-2006
002-03-####,1936-1950
002-04-####,2006-2007
002-05-####,1936-1950
002-06-####,2007-2009
002-07-####,1936-1950
002-08-####,2009-2011
002-09-####,1936-1950
002-10-####,1936-1950
002-11-####,2011-unknown
002-12-####,1936-1950
002-14-####,1936-1950
002-16-####,1936-1950
002-18-####,1936-1950
002-20-####,1936-1950
002-22-####,1936-1950
002-24-####,1936-1950
002-26-####,1951-1953
002-28-####,1954-1955
002-30-####,1956-1958
002-32-####,1959-1960
002-34-####,1961-1962
002-36-####,1963-unknown
002-38-####,1963-1964
002-40-####,1965-1966
002-42-####,1967-unknown
002-44-####,1968-1969
002-46-####,1970-1971
002-48-####,1972-unknown
002-50-####,1973-unknown
002-52-####,1973-unknown
002-54-####,1974-unknown
002-56-####,1975-unknown
002-58-####,1976-unknown
002-60-####,1977-1979
002-62-####,1980-unknown
002-64-####,1981-1982
002-66-####,1983-unknown
002-68-####,1984-unknown
002-70-####,1985-unknown
002-72-####,1986-unknown
002-74-####,1987-unknown
002-76-####,1987-1988
002-78-####,1988-1992
002-80-####,1988-1992
002-82-####,1988-1992
002-84-####,1992-unknown
002-86-####,1995-unknown
002-88-####,1996-unknown
002-90-####,1997-1998
002-92-####,1998-2000
002-94-####,2000-unknown
002-96-####,2001-2002
002-98-####,2003-2004
003-01-####,1936-1950
003-02-####,2005-2006
003-03-####,1936-1950
003-04-####,2006-2008
003-05-####,1936-1950
003-06-####,2008-2009
003-07-####,1936-1950
003-08-####,2009-2011
003-09-####,1936-1950
003-10-####,1936-1950
003-12-####,1936-1950
003-14-####,1936-1950
003-16-####,1936-1950
003-18-####,1936-1950
003-20-####,1936-1950
003-22-####,1936-1950
003-24-####,1951-unknown
003-26-####,1952-1954
003-28-####,1955-unknown
003-30-####,1956-1958
003-32-####,1959-1961
003-34-####,1962-unknown
003-36-####,1963-unknown
003-38-####,1963-1965
003-40-####,1966-unknown
003-42-####,1967-1968
003-44-####,1969-unknown
003-46-####,1970-1971
003-48-####,1972-unknown
003-50-####,1973-unknown
003-52-####,1973-unknown
003-54-####,1974-unknown
003-56-####,1975-unknown
003-58-####,1976-1978
003-60-####,1979-unknown
003-62-####,1980-1981
003-64-####,1982-1983
003-66-####,1984-unknown
003-68-####,1985-unknown
003-70-####,1986-unknown
003-72-####,1987-unknown
003-74-####,1988-unknown
003-76-####,1988-unknown
003-78-####,1988-1992
003-80-####,1988-1992
003-82-####,1992-unknown
003-84-####,1992-unknown
003-86-####,1995-unknown
003-88-####,1997-unknown
003-90-####,1997-1998
003-92-####,1999-2000
003-94-####,2000-unknown
003-96-####,2002-unknown
003-98-####,2003-2005
