SSN Prefix,Years Issued
135-01-####,1936-1950
135-02-####,1996-unknown
135-03-####,1936-1950
135-04-####,1997-1998
135-05-####,1936-1950
135-06-####,1999-unknown
135-07-####,1936-1950
135-08-####,2000-unknown
135-09-####,1936-1950
135-10-####,1936-1950
135-11-####,2001-2002
135-12-####,1936-1950
135-13-####,2003-2004
135-14-####,1936-1950
135-15-####,2004-2005
135-16-####,1936-1950
135-17-####,2005-2007
135-18-####,1936-1950
135-19-####,2007-2008
135-20-####,1936-1950
135-21-####,2008-2009
135-22-####,1936-1950
135-23-####,2009-2011
135-24-####,1936-1950
135-25-####,2011-unknown
135-26-####,1951-unknown
135-28-####,1952-1953
135-30-####,1954-1955
135-32-####,1956-1958
135-34-####,1959-1960
135-36-####,1961-1962
135-38-####,1963-unknown
135-40-####,1964-unknown
135-42-####,1965-unknown
135-44-####,1966-unknown
135-46-####,1967-1968
135-48-####,1969-unknown
135-50-####,1970-unknown
135-52-####,1971-unknown
135-54-####,1972-unknown
135-56-####,1972-unknown
135-58-####,1973-1974
135-60-####,1975-unknown
135-62-####,1975-unknown
135-64-####,1976-unknown
135-66-####,1977-unknown
135-68-####,1978-unknown
135-70-####,1979-1980
135-72-####,1981-unknown
135-74-####,1982-unknown
135-76-####,1983-unknown
135-78-####,1984-1985
135-80-####,1986-unknown
135-82-####,1987-unknown
135-84-####,1988-unknown
135-86-####,1989-1992
135-88-####,1989-1992
135-90-####,1989-1992
135-92-####,1989-1992
135-94-####,1989-1992
135-96-####,1994-unknown
135-98-####,1995-unknown
136-01-####,1936-1950
136-02-####,1996-unknown
136-03-####,1936-1950
136-04-####,1997-1998
136-05-####,1936-1950
136-06-####,1999-unknown
136-07-####,1936-1950
136-08-####,2000-2001
136-09-####,1936-1950
136-10-####,1936-1950
136-11-####,2001-2002
136-12-####,1936-1950
136-13-####,2003-2004
136-14-####,1936-1950
136-15-####,2004-2005
136-16-####,1936-1950
136-17-####,2005-2007
136-18-####,1936-1950
136-19-####,2007-2008
136-20-####,1936-1950
136-21-####,2008-2009
136-22-####,1936-1950
136-23-####,2009-2011
136-24-####,1936-1950
136-25-####,2011-unknown
136-26-####,1951-unknown
136-28-####,1952-1953
136-30-####,1954-1955
136-32-####,1956-1958
136-34-####,1959-1960
136-36-####,1961-1962
136-38-####,1963-unknown
136-40-####,1964-unknown
136-42-####,1965-unknown
136-44-####,1966-unknown
136-46-####,1967-1968
136-48-####,1969-unknown
136-50-####,1970-unknown
136-52-####,1971-unknown
