SSN Prefix,Years Issued
525-01-####,1936-1950
525-02-####,1973-unknown
525-03-####,1936-1950
525-04-####,1973-unknown
525-05-####,1936-1950
525-06-####,1973-unknown
525-07-####,1936-1950
525-08-####,1973-unknown
525-09-####,1936-1950
525-10-####,1936-1950
525-11-####,1974-unknown
525-12-####,1936-1950
525-13-####,1974-unknown
525-14-####,1936-1950
525-15-####,1974-unknown
525-16-####,1936-1950
525-17-####,1975-unknown
525-18-####,1936-1950
525-19-####,1975-unknown
525-20-####,1936-1950
525-21-####,1976-unknown
525-22-####,1936-1950
525-23-####,1976-unknown
525-24-####,1936-1950
525-25-####,1977-unknown
525-26-####,1936-1950
525-27-####,1978-unknown
525-28-####,1936-1950
525-29-####,1979-unknown
525-30-####,1936-1950
525-31-####,1979-unknown
525-32-####,1936-1950
525-33-####,1980-unknown
525-34-####,1936-1950
525-35-####,1980-unknown
525-36-####,1936-1950
525-37-####,1981-unknown
525-38-####,1936-1950
525-39-####,1981-unknown
525-40-####,1936-1950
525-41-####,1981-unknown
525-42-####,1936-1950
525-43-####,1982-unknown
525-44-####,1936-1950
525-45-####,1982-unknown
525-46-####,1936-1950
525-47-####,1983-unknown
525-48-####,1936-1950
525-49-####,1983-unknown
525-50-####,1936-1950
525-51-####,1984-unknown
525-52-####,1936-1950
525-53-####,1984-unknown
525-54-####,1936-1950
525-55-####,1985-unknown
525-56-####,1936-1950
525-57-####,1986-unknown
525-58-####,1936-1950
525-59-####,1986-unknown
525-60-####,1936-1950
525-61-####,1987-unknown
525-62-####,1936-1950
525-63-####,1987-unknown
525-64-####,1936-1950
525-65-####,1987-unknown
525-66-####,1936-1950
525-67-####,1987-unknown
525-68-####,1936-1950
525-69-####,1987-unknown
525-70-####,1936-1950
525-71-####,1988-unknown
525-72-####,1936-1950
525-73-####,1988-unknown
525-74-####,1951-unknown
525-75-####,1988-unknown
525-76-####,1952-unknown
525-77-####,1988-unknown
525-78-####,1953-unknown
525-79-####,1989-1992
525-80-####,1953-unknown
525-81-####,1989-1992
525-82-####,1954-unknown
525-83-####,1989-1992
525-84-####,1954-unknown
525-85-####,1989-1992
525-86-####,1955-unknown
525-87-####,1989-1992
525-88-####,1956-unknown
525-89-####,1989-1992
525-90-####,1956-unknown
525-91-####,1989-1992
525-92-####,1956-unknown
525-93-####,1989-1992
525-94-####,1957-unknown
525-95-####,1989-1992
