SSN Prefix,Years Issued
050-01-####,1936-1950
050-02-####,2010-2011
050-03-####,1936-1950
050-05-####,1936-1950
050-07-####,1936-1950
050-09-####,1936-1950
050-10-####,1936-1950
050-12-####,1936-1950
050-14-####,1936-1950
050-16-####,1936-1950
050-18-####,1936-1950
050-20-####,1936-1950
050-22-####,1936-1950
050-24-####,1936-1950
050-26-####,1936-1950
050-28-####,1951-1952
050-30-####,1953-1955
050-32-####,1956-1957
050-34-####,1958-1960
050-36-####,1961-1962
050-38-####,1963-unknown
050-40-####,1964-unknown
050-42-####,1965-1966
050-44-####,1967-unknown
050-46-####,1968-1969
050-48-####,1970-unknown
050-50-####,1971-1972
050-52-####,1973-unknown
050-54-####,1973-1974
050-56-####,1975-1977
050-58-####,1976-1977
050-60-####,1976-1977
050-62-####,1978-1979
050-64-####,1980-unknown
050-66-####,1981-1982
050-68-####,1983-1984
050-70-####,1985-1986
050-72-####,1987-unknown
050-74-####,1988-unknown
050-76-####,1988-1992
050-78-####,1988-1992
050-80-####,1992-unknown
050-82-####,1992-1995
050-84-####,1995-unknown
050-86-####,1996-unknown
050-88-####,1998-unknown
050-90-####,2000-unknown
050-92-####,2002-2004
050-94-####,2004-2006
050-96-####,2006-2008
050-98-####,2008-2010
051-01-####,1936-1950
051-02-####,2010-2011
051-03-####,1936-1950
051-05-####,1936-1950
051-07-####,1936-1950
051-09-####,1936-1950
051-10-####,1936-1950
051-12-####,1936-1950
051-14-####,1936-1950
051-16-####,1936-1950
051-18-####,1936-1950
051-20-####,1936-1950
051-22-####,1936-1950
051-24-####,1936-1950
051-26-####,1936-1950
051-28-####,1951-1952
051-30-####,1953-1955
051-32-####,1956-1957
051-34-####,1958-1960
051-36-####,1961-1962
051-38-####,1963-unknown
051-40-####,1963-1964
051-42-####,1965-1966
051-44-####,1967-unknown
051-46-####,1968-1969
051-48-####,1970-unknown
051-50-####,1971-1972
051-52-####,1973-unknown
051-54-####,1973-1974
051-56-####,1975-1977
051-58-####,1976-1977
051-60-####,1976-1977
051-62-####,1978-1979
051-64-####,1980-unknown
051-66-####,1981-1982
051-68-####,1983-1984
051-70-####,1985-1986
051-72-####,1987-unknown
051-74-####,1988-unknown
051-76-####,1988-1992
051-78-####,1988-1992
051-80-####,1992-unknown
