SSN Prefix,Years Issued
232-30-####,1936-1950
237-01-####,1936-1950
237-02-####,1971-unknown
237-03-####,1936-1950
237-04-####,1972-unknown
237-05-####,1936-1950
237-06-####,1973-unknown
237-07-####,1936-1950
237-08-####,1973-unknown
237-09-####,1936-1950
237-10-####,1936-1950
237-11-####,1973-unknown
237-12-####,1936-1950
237-13-####,1974-unknown
237-14-####,1936-1950
237-15-####,1974-unknown
237-16-####,1936-1950
237-17-####,1975-unknown
237-18-####,1936-1950
237-19-####,1975-unknown
237-20-####,1936-1950
237-21-####,1976-unknown
237-22-####,1936-1950
237-23-####,1976-unknown
237-24-####,1936-1950
237-25-####,1977-unknown
237-26-####,1936-1950
237-27-####,1977-unknown
237-28-####,1936-1950
237-29-####,1978-unknown
237-30-####,1936-1950
237-31-####,1979-unknown
237-32-####,1936-1950
237-33-####,1980-unknown
237-34-####,1936-1950
237-35-####,1981-unknown
237-36-####,1936-1950
237-37-####,1982-unknown
237-38-####,1936-1950
237-39-####,1983-unknown
237-40-####,1936-1950
237-41-####,1983-unknown
237-42-####,1936-1950
237-43-####,1984-unknown
237-44-####,1936-1950
237-45-####,1984-unknown
237-46-####,1936-1950
237-47-####,1985-unknown
237-48-####,1936-1950
237-49-####,1986-unknown
237-50-####,1951-unknown
237-51-####,1987-unknown
237-52-####,1952-unknown
237-53-####,1987-unknown
237-54-####,1953-unknown
237-55-####,1987-unknown
237-56-####,1954-unknown
237-57-####,1988-unknown
237-58-####,1955-unknown
237-59-####,1988-unknown
237-60-####,1956-unknown
237-61-####,1988-unknown
237-62-####,1957-unknown
237-63-####,1989-1992
237-64-####,1959-unknown
237-65-####,1989-1992
237-66-####,1959-unknown
237-67-####,1989-1992
237-68-####,1960-unknown
237-69-####,1989-1992
237-70-####,1960-unknown
237-71-####,1989-1992
237-72-####,1961-unknown
237-73-####,1989-1992
237-74-####,1962-unknown
237-75-####,1989-1992
237-76-####,1963-unknown
237-77-####,1993-unknown
237-78-####,1964-unknown
237-79-####,1994-unknown
237-80-####,1964-unknown
237-81-####,1995-unknown
237-82-####,1965-unknown
237-83-####,1996-unknown
237-84-####,1966-unknown
237-85-####,1996-unknown
237-86-####,1966-unknown
237-87-####,1997-unknown
237-88-####,1967-unknown
237-89-####,1998-unknown
237-90-####,1967-unknown
237-91-####,1999-unknown
237-92-####,1968-unknown
237-93-####,1999-2000
237-94-####,1969-unknown
237-95-####,2000-unknown
237-96-####,1970-unknown
237-97-####,2001-unknown
237-98-####,1970-unknown
237-99-####,2002-unknown
238-01-####,1936-1950
238-02-####,1971-unknown
238-03-####,1936-1950
238-04-####,1972-unknown
238-05-####,1936-1950
238-06-####,1973-unknown
238-07-####,1936-1950
238-08-####,1973-unknown
238-09-####,1936-1950
238-10-####,1936-1950
238-11-####,1973-unknown
238-12-####,1936-1950
238-13-####,1974-unknown
238-14-####,1936-1950
238-15-####,1974-unknown
238-16-####,1936-1950
238-17-####,1975-unknown
238-18-####,1936-1950
238-19-####,1975-unknown
238-20-####,1936-1950
238-21-####,1976-unknown
238-22-####,1936-1950
238-23-####,1976-unknown
238-24-####,1936-1950
238-25-####,1977-unknown
238-26-####,1936-1950
238-27-####,1977-unknown
238-28-####,1936-1950
238-29-####,1978-unknown
238-30-####,1936-1950
238-31-####,1979-unknown
238-32-####,1936-1950
238-33-####,1980-unknown
238-34-####,1936-1950
238-35-####,1981-unknown
238-36-####,1936-1950
238-37-####,1982-unknown
238-38-####,1936-1950
238-39-####,1983-unknown
238-40-####,1936-1950
238-41-####,1983-unknown
238-42-####,1936-1950
238-43-####,1984-unknown
238-44-####,1936-1950
238-45-####,1984-unknown
238-46-####,1936-1950
238-47-####,1985-unknown
238-48-####,1936-1950
238-49-####,1986-unknown
238-50-####,1951-unknown
238-51-####,1987-unknown
238-52-####,1952-unknown
238-53-####,1987-unknown
238-54-####,1953-unknown
238-55-####,1987-unknown
238-56-####,1954-unknown
238-57-####,1988-unknown
238-58-####,1955-unknown
238-59-####,1988-unknown
238-60-####,1956-unknown
238-61-####,1988-unknown
238-62-####,1957-unknown
238-63-####,1989-1992
238-64-####,1958-unknown
238-65-####,1989-1992
238-66-####,1959-unknown
238-67-####,1989-1992
238-68-####,1960-unknown
238-69-####,1989-1992
238-70-####,1961-unknown
238-71-####,1989-1992
238-72-####,1962-unknown
238-73-####,1989-1992
238-74-####,1962-unknown
238-75-####,1993-unknown
238-76-####,1963-unknown
238-77-####,1993-unknown
238-78-####,1963-unknown
238-79-####,1994-unknown
238-80-####,1964-unknown
238-81-####,1995-unknown
238-82-####,1965-unknown
238-83-####,1996-unknown
238-84-####,1966-unknown
238-85-####,1997-unknown
238-86-####,1966-unknown
238-87-####,1997-unknown
238-88-####,1967-unknown
238-89-####,1998-unknown
238-90-####,1967-unknown
238-91-####,1999-unknown
238-92-####,1968-unknown
238-93-####,2000-unknown
238-94-####,1969-unknown
238-95-####,2000-2001
238-96-####,1970-unknown
238-97-####,2001-unknown
238-98-####,1970-unknown
238-99-####,2002-unknown
239-01-####,1936-1950
239-02-####,1971-unknown
239-03-####,1936-1950
239-04-####,1972-unknown
239-05-####,1936-1950
239-06-####,1973-unknown
239-07-####,1936-1950
239-08-####,1973-unknown
