SSN Prefix,Years Issued
501-01-####,1936-1950
501-02-####,1983-unknown
501-03-####,1936-1950
501-04-####,1984-unknown
501-05-####,1936-1950
501-06-####,1985-1986
501-07-####,1936-1950
501-08-####,1987-unknown
501-09-####,1936-1950
501-10-####,1936-1950
501-11-####,1987-unknown
501-12-####,1936-1950
501-13-####,1988-unknown
501-14-####,1936-1950
501-15-####,1989-1992
501-16-####,1936-1950
501-17-####,1989-1992
501-18-####,1936-1950
501-19-####,1989-1992
501-20-####,1936-1950
501-21-####,1994-1996
501-22-####,1936-1950
501-23-####,1996-1998
501-24-####,1936-1950
501-25-####,1998-unknown
501-26-####,1936-1950
501-27-####,2000-unknown
501-28-####,1936-1950
501-29-####,2002-2004
501-30-####,1951-unknown
501-31-####,2004-2006
501-32-####,1952-unknown
501-33-####,2006-2008
501-34-####,1953-1954
501-35-####,2008-2010
501-36-####,1955-unknown
501-37-####,2010-2011
501-38-####,1955-unknown
501-40-####,1955-unknown
501-42-####,1956-unknown
501-44-####,1957-1958
501-46-####,1959-unknown
501-48-####,1960-1961
501-50-####,1962-unknown
501-52-####,1963-unknown
501-54-####,1963-1964
501-56-####,1965-unknown
501-58-####,1966-unknown
501-60-####,1966-1967
501-62-####,1968-unknown
501-64-####,1968-unknown
501-66-####,1969-unknown
501-68-####,1969-unknown
501-70-####,1970-unknown
501-72-####,1971-unknown
501-74-####,1971-unknown
501-76-####,1972-unknown
501-78-####,1972-unknown
501-80-####,1973-unknown
501-82-####,1973-unknown
501-84-####,1973-unknown
501-86-####,1974-unknown
501-88-####,1974-unknown
501-90-####,1975-1976
501-92-####,1977-1978
501-94-####,1979-1980
501-96-####,1981-unknown
501-98-####,1982-unknown
502-01-####,1936-1950
502-02-####,1984-unknown
502-03-####,1936-1950
502-04-####,1985-unknown
502-05-####,1936-1950
502-06-####,1986-unknown
502-07-####,1936-1950
502-08-####,1987-unknown
502-09-####,1936-1950
502-10-####,1936-1950
502-11-####,1988-unknown
502-12-####,1936-1950
502-13-####,1988-unknown
502-14-####,1936-1950
502-15-####,1989-1992
502-16-####,1936-1950
502-17-####,1989-1992
502-18-####,1936-1950
502-19-####,1993-1995
502-20-####,1936-1950
502-21-####,1995-1997
502-22-####,1936-1950
502-23-####,1997-1998
502-24-####,1936-1950
502-25-####,1999-2000
502-26-####,1936-1950
502-27-####,2001-2002
502-28-####,1936-1950
502-29-####,2003-2005
502-30-####,1936-1950
502-31-####,2005-2007
502-32-####,1951-1953
502-33-####,2007-2009
502-34-####,1954-unknown
502-35-####,2009-2011
502-36-####,1955-unknown
502-37-####,2011-unknown
502-38-####,1956-unknown
502-40-####,1956-unknown
502-42-####,1957-unknown
502-44-####,1958-1959
502-46-####,1960-unknown
502-48-####,1961-unknown
502-50-####,1962-unknown
502-52-####,1963-unknown
502-54-####,1964-unknown
502-56-####,1965-unknown
502-58-####,1966-unknown
502-60-####,1967-unknown
502-62-####,1968-unknown
502-64-####,1969-unknown
502-66-####,1969-unknown
502-68-####,1970-unknown
502-70-####,1970-unknown
502-72-####,1971-unknown
502-74-####,1972-unknown
502-76-####,1972-unknown
502-78-####,1973-unknown
502-80-####,1973-unknown
502-82-####,1973-unknown
502-84-####,1973-unknown
502-86-####,1974-unknown
502-88-####,1975-1976
502-90-####,1977-unknown
502-92-####,1977-1979
502-94-####,1980-1981
502-96-####,1982-unknown
502-98-####,1983-unknown
