SSN Prefix,Years Issued
268-01-####,1936-1950
268-02-####,1996-1998
268-03-####,1936-1950
268-04-####,1998-unknown
268-05-####,1936-1950
268-06-####,2000-unknown
268-07-####,1936-1950
268-08-####,2002-2004
268-09-####,1936-1950
268-10-####,1936-1950
268-11-####,2004-2006
268-12-####,1936-1950
268-13-####,2006-2008
268-14-####,1936-1950
268-15-####,2008-2010
268-16-####,1936-1950
268-17-####,2010-2011
268-18-####,1936-1950
268-20-####,1936-1950
268-22-####,1936-1950
268-24-####,1936-1950
268-26-####,1936-1950
268-28-####,1936-1950
268-30-####,1951-unknown
268-32-####,1952-1953
268-34-####,1954-1955
268-36-####,1956-1957
268-38-####,1958-1959
268-40-####,1960-1961
268-42-####,1962-unknown
268-44-####,1963-unknown
268-46-####,1964-unknown
268-48-####,1965-unknown
268-50-####,1965-unknown
268-52-####,1966-1967
268-54-####,1968-unknown
268-56-####,1969-unknown
268-58-####,1970-1971
268-60-####,1972-unknown
268-62-####,1973-unknown
268-64-####,1973-unknown
268-66-####,1974-unknown
268-68-####,1975-unknown
268-70-####,1976-unknown
268-72-####,1976-1977
268-74-####,1978-1979
268-76-####,1980-unknown
268-78-####,1981-1982
268-80-####,1983-unknown
268-82-####,1984-unknown
268-84-####,1985-1986
268-86-####,1987-unknown
268-88-####,1987-unknown
268-90-####,1988-unknown
268-92-####,1989-1992
268-94-####,1989-1992
268-96-####,1993-unknown
268-98-####,1994-unknown
269-01-####,1936-1950
269-02-####,1996-1998
269-03-####,1936-1950
269-04-####,1998-unknown
269-05-####,1936-1950
269-06-####,2000-unknown
269-07-####,1936-1950
269-08-####,2002-2004
269-09-####,1936-1950
269-10-####,1936-1950
269-11-####,2004-2006
269-12-####,1936-1950
269-13-####,2006-2008
269-14-####,1936-1950
269-15-####,2008-2010
269-16-####,1936-1950
269-17-####,2010-2011
269-18-####,1936-1950
269-20-####,1936-1950
269-22-####,1936-1950
269-24-####,1936-1950
269-26-####,1936-1950
269-28-####,1936-1950
269-30-####,1951-unknown
269-32-####,1952-1953
269-34-####,1954-1955
269-36-####,1956-1957
269-38-####,1958-1959
269-40-####,1960-1961
269-42-####,1962-unknown
269-44-####,1963-unknown
269-46-####,1964-unknown
269-48-####,1965-unknown
269-50-####,1965-unknown
269-52-####,1966-1967
269-54-####,1968-1969
269-56-####,1970-unknown
269-58-####,1971-unknown
269-60-####,1972-unknown
269-62-####,1973-unknown
269-64-####,1973-unknown
269-66-####,1974-unknown
269-68-####,1975-unknown
269-70-####,1976-unknown
269-72-####,1976-1977
269-74-####,1978-1979
269-76-####,1980-unknown
269-78-####,1981-1982
269-80-####,1983-unknown
269-82-####,1984-unknown
269-84-####,1985-1986
269-86-####,1987-unknown
269-88-####,1987-unknown
269-90-####,1988-unknown
269-92-####,1989-1992
269-94-####,1989-1992
269-96-####,1993-unknown
269-98-####,1994-unknown
270-01-####,1936-1950
270-02-####,1997-1998
270-03-####,1936-1950
270-04-####,1998-unknown
270-05-####,1936-1950
270-06-####,2000-2001
270-07-####,1936-1950
270-08-####,2002-2004
270-09-####,1936-1950
270-10-####,1936-1950
270-11-####,2004-2006
270-12-####,1936-1950
270-13-####,2006-2008
270-14-####,1936-1950
270-15-####,2008-2010
270-16-####,1936-1950
270-17-####,2010-2011
270-18-####,1936-1950
270-20-####,1936-1950
270-22-####,1936-1950
270-24-####,1936-1950
270-26-####,1936-1950
270-28-####,1936-1950
270-30-####,1951-unknown
270-32-####,1952-1953
270-34-####,1954-1955
270-36-####,1956-1957
270-38-####,1958-1959
270-40-####,1960-1962
270-42-####,1963-unknown
270-44-####,1963-unknown
270-46-####,1964-unknown
270-48-####,1965-unknown
270-50-####,1965-unknown
270-52-####,1966-1967
270-54-####,1968-1969
270-56-####,1970-unknown
270-58-####,1971-unknown
270-60-####,1972-unknown
270-62-####,1973-unknown
270-64-####,1973-unknown
270-66-####,1974-unknown
270-68-####,1975-unknown
270-70-####,1976-unknown
270-72-####,1976-1977
270-74-####,1978-1979
270-76-####,1980-unknown
270-78-####,1981-1982
270-80-####,1983-unknown
270-82-####,1984-unknown
270-84-####,1985-1986
270-86-####,1987-unknown
270-88-####,1987-unknown
270-90-####,1988-unknown
270-92-####,1989-1992
270-94-####,1989-1992
270-96-####,1993-unknown
270-98-####,1995-unknown
271-01-####,1936-1950
271-02-####,1997-1998
271-03-####,1936-1950
271-04-####,1998-unknown
271-05-####,1936-1950
271-06-####,2000-2001
271-07-####,1936-1950
271-08-####,2002-2004
271-09-####,1936-1950
271-10-####,1936-1950
271-11-####,2004-2006
271-12-####,1936-1950
271-13-####,2006-2008
271-14-####,1936-1950
271-15-####,2008-2010
271-16-####,1936-1950
271-17-####,2010-2011
271-18-####,1936-1950
271-20-####,1936-1950
271-22-####,1936-1950
271-24-####,1936-1950
271-26-####,1936-1950
271-28-####,1936-1950
271-30-####,1951-unknown
271-32-####,1952-1953
271-34-####,1954-1955
271-36-####,1956-1957
271-38-####,1958-1960
271-40-####,1961-1962
271-42-####,1963-unknown
271-44-####,1963-unknown
271-46-####,1964-unknown
271-48-####,1965-unknown
271-50-####,1965-unknown
271-52-####,1966-1967
271-54-####,1968-1969
271-56-####,1970-unknown
271-58-####,1971-unknown
271-60-####,1972-unknown
271-62-####,1973-unknown
271-64-####,1973-unknown
271-66-####,1974-unknown
271-68-####,1975-unknown
271-70-####,1976-unknown
271-72-####,1976-1977
271-74-####,1978-1979
271-76-####,1980-unknown
271-78-####,1981-1982
271-80-####,1983-unknown
271-82-####,1984-unknown
271-84-####,1985-1986
271-86-####,1987-unknown
271-88-####,1987-1988
271-90-####,1989-1992
271-92-####,1989-1992
271-94-####,1989-1992
271-96-####,1993-unknown
271-98-####,1995-unknown
272-01-####,1936-1950
272-02-####,1997-1998
272-03-####,1936-1950
272-04-####,1998-unknown
272-05-####,1936-1950
272-06-####,2000-2001
272-07-####,1936-1950
272-08-####,2003-2004
272-09-####,1936-1950
272-10-####,1936-1950
272-11-####,2004-2006
272-12-####,1936-1950
272-13-####,2006-2008
272-14-####,1936-1950
272-15-####,2008-2011
272-16-####,1936-1950
272-17-####,2011-unknown
272-18-####,1936-1950
272-20-####,1936-1950
272-22-####,1936-1950
272-24-####,1936-1950
272-26-####,1936-1950
272-28-####,1936-1950
272-30-####,1951-unknown
272-32-####,1952-1953
272-34-####,1954-1955
272-36-####,1956-1957
272-38-####,1958-1960
272-40-####,1961-1962
272-42-####,1963-unknown
272-44-####,1963-unknown
272-46-####,1964-unknown
272-48-####,1965-unknown
272-50-####,1965-unknown
