SSN Prefix,Years Issued
440-01-####,1936-1950
440-02-####,1989-1992
440-03-####,1936-1950
440-04-####,1989-1992
440-05-####,1936-1950
440-06-####,1994-unknown
440-07-####,1936-1950
440-08-####,1995-unknown
440-09-####,1936-1950
440-10-####,1936-1950
440-11-####,1997-1998
440-12-####,1936-1950
440-13-####,1998-1999
440-14-####,1936-1950
440-15-####,2000-unknown
440-16-####,1936-1950
440-17-####,2002-unknown
440-18-####,1936-1950
440-19-####,2003-2005
440-20-####,1936-1950
440-21-####,2005-2006
440-22-####,1936-1950
440-23-####,2006-2008
440-24-####,1936-1950
440-25-####,2008-2009
440-26-####,1936-1950
440-27-####,2009-2011
440-28-####,1936-1950
440-29-####,2011-unknown
440-30-####,1936-1950
440-32-####,1936-1950
440-34-####,1951-unknown
440-36-####,1952-1953
440-38-####,1954-1955
440-40-####,1956-unknown
440-42-####,1957-1958
440-44-####,1959-1960
440-46-####,1961-1962
440-48-####,1963-unknown
440-50-####,1964-unknown
440-52-####,1965-unknown
440-54-####,1966-1967
440-56-####,1968-unknown
440-58-####,1969-unknown
440-60-####,1970-unknown
440-62-####,1971-1972
440-64-####,1973-unknown
440-66-####,1973-unknown
440-68-####,1974-unknown
440-70-####,1975-unknown
440-72-####,1976-unknown
440-74-####,1977-1978
440-76-####,1979-unknown
440-78-####,1980-1981
440-80-####,1982-unknown
440-82-####,1983-unknown
440-84-####,1984-unknown
440-86-####,1985-unknown
440-88-####,1986-unknown
440-90-####,1987-unknown
440-92-####,1987-unknown
440-94-####,1988-unknown
440-96-####,1989-1992
440-98-####,1989-1992
441-01-####,1936-1950
441-02-####,1989-1992
441-03-####,1936-1950
441-04-####,1989-1992
441-05-####,1936-1950
441-06-####,1994-unknown
441-07-####,1936-1950
441-08-####,1996-unknown
441-09-####,1936-1950
441-10-####,1936-1950
441-11-####,1997-1998
441-12-####,1936-1950
441-13-####,1999-unknown
441-14-####,1936-1950
441-15-####,2000-unknown
441-16-####,1936-1950
441-17-####,2002-unknown
441-18-####,1936-1950
441-19-####,2003-2005
441-20-####,1936-1950
441-21-####,2005-2006
441-22-####,1936-1950
441-23-####,2006-2008
441-24-####,1936-1950
441-25-####,2008-2009
441-26-####,1936-1950
441-27-####,2009-2011
441-28-####,1936-1950
441-29-####,2011-unknown
441-30-####,1936-1950
441-32-####,1936-1950
441-34-####,1951-1952
441-36-####,1953-1954
441-38-####,1955-unknown
441-40-####,1956-1957
441-42-####,1958-1959
441-44-####,1960-1961
441-46-####,1962-unknown
441-48-####,1963-unknown
441-50-####,1964-unknown
441-52-####,1965-unknown
441-54-####,1966-1967
441-56-####,1968-unknown
441-58-####,1969-unknown
441-60-####,1970-unknown
441-62-####,1971-1972
441-64-####,1973-unknown
441-66-####,1973-unknown
441-68-####,1974-unknown
441-70-####,1975-unknown
441-72-####,1976-unknown
441-74-####,1977-1978
441-76-####,1979-unknown
441-78-####,1980-1981
441-80-####,1982-unknown
441-82-####,1983-unknown
441-84-####,1984-unknown
441-86-####,1985-unknown
441-88-####,1986-unknown
441-90-####,1987-unknown
441-92-####,1987-unknown
441-94-####,1988-unknown
441-96-####,1989-1992
441-98-####,1989-1992
442-01-####,1936-1950
442-02-####,1989-1992
442-03-####,1936-1950
442-04-####,1993-unknown
442-05-####,1936-1950
442-06-####,1994-unknown
442-07-####,1936-1950
442-08-####,1996-unknown
442-09-####,1936-1950
442-10-####,1936-1950
442-11-####,1997-1998
442-12-####,1936-1950
442-13-####,1999-unknown
442-14-####,1936-1950
442-15-####,2000-2001
442-16-####,1936-1950
