SSN Prefix,Years Issued
540-01-####,1936-1950
540-02-####,1981-unknown
540-03-####,1936-1950
540-04-####,1982-unknown
540-05-####,1936-1950
540-06-####,1983-unknown
540-07-####,1936-1950
540-08-####,1983-unknown
540-09-####,1936-1950
540-10-####,1936-1950
540-11-####,1984-unknown
540-12-####,1936-1950
540-13-####,1985-unknown
540-14-####,1936-1950
540-15-####,1985-unknown
540-16-####,1936-1950
540-17-####,1986-unknown
540-18-####,1936-1950
540-19-####,1987-unknown
540-20-####,1936-1950
540-21-####,1987-unknown
540-22-####,1936-1950
540-23-####,1988-unknown
540-24-####,1936-1950
540-25-####,1988-unknown
540-26-####,1936-1950
540-27-####,1988-unknown
540-28-####,1936-1950
540-29-####,1989-1992
540-30-####,1936-1950
540-31-####,1989-1992
540-32-####,1936-1950
540-33-####,1989-1992
540-34-####,1936-1950
540-35-####,1989-1992
540-36-####,1951-unknown
540-37-####,1989-1992
540-38-####,1952-unknown
540-39-####,1989-1992
540-40-####,1953-1954
540-41-####,1989-1992
540-42-####,1955-unknown
540-43-####,1993-unknown
540-44-####,1955-unknown
540-45-####,1994-unknown
540-46-####,1956-1957
540-47-####,1995-unknown
540-48-####,1958-1959
540-49-####,1996-unknown
540-50-####,1960-1961
540-51-####,1997-unknown
540-52-####,1962-unknown
540-53-####,1997-1998
540-54-####,1963-unknown
540-55-####,1998-unknown
540-56-####,1963-unknown
540-57-####,1999-2000
540-58-####,1964-unknown
540-59-####,2000-unknown
540-60-####,1965-unknown
540-61-####,2001-unknown
540-62-####,1966-unknown
540-63-####,2002-unknown
540-64-####,1967-unknown
540-65-####,2003-2004
540-66-####,1968-unknown
540-67-####,2004-2005
540-68-####,1969-unknown
540-69-####,2005-2006
540-70-####,1970-unknown
540-71-####,2006-unknown
540-72-####,1971-unknown
540-73-####,2006-2007
540-74-####,1971-unknown
540-75-####,2007-2008
540-76-####,1972-1977
540-77-####,2008-2009
540-78-####,1973-1977
540-79-####,2009-2010
540-80-####,1973-1977
540-81-####,2010-2011
540-82-####,1974-1977
540-83-####,2011-unknown
540-84-####,1974-1977
540-86-####,1975-1977
540-88-####,1975-1977
540-90-####,1976-1977
540-92-####,1977-unknown
540-94-####,1978-unknown
