SSN Prefix,Years Issued
159-01-####,1936-1950
159-03-####,1936-1950
159-05-####,1936-1950
159-07-####,1936-1950
159-09-####,1936-1950
159-10-####,1936-1950
159-12-####,1936-1950
159-14-####,1936-1950
159-16-####,1936-1950
159-18-####,1936-1950
159-20-####,1936-1950
159-22-####,1936-1950
159-24-####,1936-1950
159-26-####,1936-1950
159-28-####,1951-1952
159-30-####,1953-1955
159-32-####,1956-1957
159-34-####,1958-1960
159-36-####,1961-1962
159-38-####,1963-unknown
159-40-####,1964-1965
159-42-####,1966-unknown
159-44-####,1967-1968
159-46-####,1969-1970
159-48-####,1971-1972
159-50-####,1973-unknown
159-52-####,1973-1974
159-54-####,1975-unknown
159-56-####,1976-unknown
159-58-####,1977-1978
159-60-####,1979-1980
159-62-####,1981-1982
159-64-####,1983-1984
159-66-####,1985-1986
159-68-####,1987-unknown
159-70-####,1988-unknown
159-72-####,1989-1992
159-74-####,1989-1992
159-76-####,1994-unknown
159-78-####,1997-1998
159-80-####,2000-unknown
159-82-####,2003-2006
159-84-####,2006-2009
159-86-####,2009-2011
160-01-####,1936-1950
160-03-####,1936-1950
160-05-####,1936-1950
160-07-####,1936-1950
160-09-####,1936-1950
160-10-####,1936-1950
160-12-####,1936-1950
160-14-####,1936-1950
160-16-####,1936-1950
160-18-####,1936-1950
160-20-####,1936-1950
160-22-####,1936-1950
160-24-####,1936-1950
160-26-####,1936-1950
160-28-####,1951-1952
160-30-####,1953-1955
160-32-####,1956-1957
160-34-####,1958-1960
160-36-####,1961-1962
160-38-####,1963-unknown
160-40-####,1964-1965
160-42-####,1966-unknown
160-44-####,1967-1968
160-46-####,1969-1970
160-48-####,1971-1972
160-50-####,1973-unknown
160-52-####,1973-1974
160-54-####,1975-unknown
160-56-####,1976-unknown
160-58-####,1977-1978
160-60-####,1979-1980
160-62-####,1981-1982
160-64-####,1983-1984
160-66-####,1985-1986
160-68-####,1987-unknown
160-70-####,1988-unknown
160-72-####,1989-1992
160-74-####,1989-1992
160-76-####,1994-unknown
160-78-####,1997-1998
160-80-####,2000-unknown
160-82-####,2003-2006
160-84-####,2006-2009
160-86-####,2009-2011
161-01-####,1936-1950
161-03-####,1936-1950
161-05-####,1936-1950
161-07-####,1936-1950
161-09-####,1936-1950
161-10-####,1936-1950
161-12-####,1936-1950
161-14-####,1936-1950
161-16-####,1936-1950
161-18-####,1936-1950
161-20-####,1936-1950
161-22-####,1936-1950
161-24-####,1936-1950
161-26-####,1936-1950
161-28-####,1951-1952
161-30-####,1953-1955
161-32-####,1956-1957
161-34-####,1958-1960
161-36-####,1961-1962
161-38-####,1963-unknown
161-40-####,1964-1965
161-42-####,1966-1967
161-44-####,1968-unknown
161-46-####,1969-1970
161-48-####,1971-1972
161-50-####,1973-unknown
161-52-####,1973-1974
161-54-####,1975-unknown
161-56-####,1976-unknown
161-58-####,1977-1978
161-60-####,1979-1980
161-62-####,1981-1982
161-64-####,1983-1984
161-66-####,1985-1986
161-68-####,1987-unknown
161-70-####,1988-unknown
161-72-####,1989-1992
161-74-####,1989-1992
161-76-####,1995-unknown
161-78-####,1997-1998
161-80-####,2000-2001
161-82-####,2003-2006
161-84-####,2006-2009
161-86-####,2009-2011
162-01-####,1936-1950
162-03-####,1936-1950
162-05-####,1936-1950
162-07-####,1936-1950
162-09-####,1936-1950
162-10-####,1936-1950
162-12-####,1936-1950
162-14-####,1936-1950
162-16-####,1936-1950
162-18-####,1936-1950
162-20-####,1936-1950
162-22-####,1936-1950
162-24-####,1936-1950
162-26-####,1936-1950
162-28-####,1951-1952
162-30-####,1953-1955
162-32-####,1956-1957
162-34-####,1958-1960
162-36-####,1961-1962
162-38-####,1963-unknown
162-40-####,1964-1965
162-42-####,1966-1967
162-44-####,1968-unknown
162-46-####,1969-1970
162-48-####,1971-1972
162-50-####,1973-unknown
162-52-####,1973-1974
162-54-####,1975-unknown
162-56-####,1976-unknown
162-58-####,1977-1978
162-60-####,1979-1980
162-62-####,1981-1982
162-64-####,1983-1984
162-66-####,1985-1986
162-68-####,1987-unknown
162-70-####,1988-unknown
162-72-####,1989-1992
162-74-####,1989-1992
162-76-####,1995-unknown
162-78-####,1997-1998
162-80-####,2000-2001
162-82-####,2003-2006
162-84-####,2006-2009
162-86-####,2009-2011
163-01-####,1936-1950
163-03-####,1936-1950
163-05-####,1936-1950
163-07-####,1936-1950
163-09-####,1936-1950
163-10-####,1936-1950
163-12-####,1936-1950
163-14-####,1936-1950
163-16-####,1936-1950
163-18-####,1936-1950
163-20-####,1936-1950
163-22-####,1936-1950
163-24-####,1936-1950
163-26-####,1936-1950
163-28-####,1951-1952
163-30-####,1953-1955
163-32-####,1956-1957
163-34-####,1958-1960
163-36-####,1961-1962
163-38-####,1963-unknown
163-40-####,1964-1965
163-42-####,1966-1967
163-44-####,1968-unknown
163-46-####,1969-1970
163-48-####,1971-1972
163-50-####,1973-unknown
163-52-####,1973-1974
163-54-####,1975-unknown
163-56-####,1976-unknown
163-58-####,1977-1978
163-60-####,1979-1980
163-62-####,1981-1982
163-64-####,1983-1984
163-66-####,1985-1986
163-68-####,1987-unknown
163-70-####,1988-unknown
163-72-####,1989-1992
163-74-####,1989-1992
163-76-####,1995-unknown
163-78-####,1997-1998
163-80-####,2000-2003
163-82-####,2003-2006
163-84-####,2006-2009
163-86-####,2009-2011
164-01-####,1936-1950
164-03-####,1936-1950
164-05-####,1936-1950
164-07-####,1936-1950
164-09-####,1936-1950
164-10-####,1936-1950
164-12-####,1936-1950
164-14-####,1936-1950
164-16-####,1936-1950
164-18-####,1936-1950
164-20-####,1936-1950
164-22-####,1936-1950
164-24-####,1936-1950
164-26-####,1936-1950
164-28-####,1951-1952
164-30-####,1953-1955
164-32-####,1956-1957
164-34-####,1958-1960
164-36-####,1961-1962
164-38-####,1963-unknown
164-40-####,1964-1965
164-42-####,1966-1967
164-44-####,1968-unknown
164-46-####,1969-1970
164-48-####,1971-1972
164-50-####,1973-unknown
164-52-####,1973-1974
164-54-####,1975-unknown
164-56-####,1976-unknown
164-58-####,1977-1978
164-60-####,1979-1980
164-62-####,1981-1982
164-64-####,1983-1984
164-66-####,1985-1986
164-68-####,1987-unknown
164-70-####,1988-unknown
164-72-####,1989-1992
164-74-####,1989-1992
164-76-####,1995-unknown
