SSN Prefix,Years Issued
035-01-####,1936-1950
035-03-####,1936-1950
035-05-####,1936-1950
035-07-####,1936-1950
035-09-####,1936-1950
035-10-####,1936-1950
035-12-####,1936-1950
035-14-####,1936-1950
035-16-####,1936-1950
035-18-####,1936-1950
035-20-####,1936-1950
035-22-####,1951-unknown
035-24-####,1952-1953
035-26-####,1954-1958
035-28-####,1959-1961
035-30-####,1962-unknown
035-32-####,1963-1965
035-34-####,1966-unknown
035-36-####,1967-1968
035-38-####,1969-1971
035-40-####,1972-unknown
035-42-####,1973-unknown
035-44-####,1974-unknown
035-46-####,1975-1976
035-48-####,1977-1979
035-50-####,1980-1981
035-52-####,1982-1983
035-54-####,1984-1985
035-56-####,1986-1987
035-58-####,1988-unknown
035-60-####,1988-1992
035-62-####,1992-unknown
035-64-####,1995-unknown
035-66-####,1997-1998
035-68-####,2000-2003
035-70-####,2003-2005
035-72-####,2005-2008
035-74-####,2008-2011
036-01-####,1936-1950
036-03-####,1936-1950
036-05-####,1936-1950
036-07-####,1936-1950
036-09-####,1936-1950
036-10-####,1936-1950
036-12-####,1936-1950
036-14-####,1936-1950
036-16-####,1936-1950
036-18-####,1936-1950
036-20-####,1936-1950
036-22-####,1951-unknown
036-24-####,1952-1955
036-26-####,1956-1959
036-28-####,1960-1961
036-30-####,1962-unknown
036-32-####,1963-1965
036-34-####,1966-1967
036-36-####,1968-1969
036-38-####,1970-1971
036-40-####,1972-unknown
036-42-####,1973-unknown
036-44-####,1974-1975
036-46-####,1976-unknown
036-48-####,1977-1979
036-50-####,1980-1981
036-52-####,1982-1984
036-54-####,1985-1986
036-56-####,1987-unknown
036-58-####,1988-unknown
036-60-####,1992-unknown
036-62-####,1992-1995
036-64-####,1995-unknown
036-66-####,1997-1998
036-68-####,2000-2001
036-70-####,2003-2006
036-72-####,2006-2009
036-74-####,2009-2011
037-01-####,1936-1950
037-03-####,1936-1950
037-05-####,1936-1950
037-07-####,1936-1950
037-09-####,1936-1950
037-10-####,1936-1950
037-12-####,1936-1950
037-14-####,1936-1950
037-16-####,1936-1950
037-18-####,1936-1950
037-20-####,1936-1950
037-22-####,1951-1952
037-24-####,1953-1955
037-26-####,1956-1959
037-28-####,1960-1962
037-30-####,1963-unknown
037-32-####,1964-1965
037-34-####,1966-1967
037-36-####,1968-1969
037-38-####,1970-1971
037-40-####,1972-unknown
037-42-####,1973-unknown
037-44-####,1974-1975
037-46-####,1976-1978
037-48-####,1979-unknown
037-50-####,1980-1982
037-52-####,1983-1984
037-54-####,1985-1986
037-56-####,1987-1988
037-58-####,1988-1992
037-60-####,1992-unknown
037-62-####,1994-unknown
037-64-####,1995-1998
037-66-####,1998-unknown
037-68-####,2001-2004
037-70-####,2004-2006
037-72-####,2006-2009
037-74-####,2009-2011
038-01-####,1936-1950
038-03-####,1936-1950
038-05-####,1936-1950
038-07-####,1936-1950
038-09-####,1936-1950
038-10-####,1936-1950
038-12-####,1936-1950
038-14-####,1936-1950
038-16-####,1936-1950
038-18-####,1936-1950
038-20-####,1936-1950
038-22-####,1951-1952
038-24-####,1953-1956
038-26-####,1957-1958
038-28-####,1959-1962
038-30-####,1963-1964
038-32-####,1965-1966
038-34-####,1967-1968
038-36-####,1969-1970
038-38-####,1971-1972
038-40-####,1973-unknown
038-42-####,1973-1974
038-44-####,1975-unknown
038-46-####,1976-1978
038-48-####,1979-unknown
038-50-####,1980-1982
038-52-####,1983-1985
038-54-####,1986-1987
038-56-####,1988-unknown
038-58-####,1988-1992
038-60-####,1992-unknown
038-62-####,1994-unknown
038-64-####,1995-1998
038-66-####,1999-2000
038-68-####,2001-2004
038-70-####,2004-2007
038-72-####,2007-2010
038-74-####,2010-2011
039-01-####,1936-1950
039-03-####,1936-1950
039-05-####,1936-1950
039-07-####,1936-1950
039-09-####,1936-1950
039-10-####,1936-1950
039-12-####,1936-1950
039-14-####,1936-1950
039-16-####,1936-1950
039-18-####,1936-1950
039-20-####,1936-1950
039-22-####,1951-1952
039-24-####,1953-1957
039-26-####,1958-1961
039-28-####,1962-unknown
039-30-####,1963-1964
039-32-####,1965-1966
039-34-####,1967-1968
039-36-####,1969-1970
039-38-####,1971-1972
039-40-####,1973-unknown
039-42-####,1973-1974
039-44-####,1975-unknown
039-46-####,1976-1978
039-48-####,1979-unknown
039-50-####,1980-1983
039-52-####,1984-1985
039-54-####,1986-1987
039-56-####,1988-unknown
039-58-####,1988-1992
039-60-####,1992-unknown
039-62-####,1994-unknown
039-64-####,1995-1998
039-66-####,1999-2000
039-68-####,2002-2005
039-70-####,2005-2008
039-72-####,2008-2011
039-74-####,2011-unknown
