SSN Prefix,Years Issued
247-01-####,1936-1950
247-02-####,1969-unknown
247-03-####,1936-1950
247-04-####,1969-unknown
247-05-####,1936-1950
247-06-####,1970-unknown
247-07-####,1936-1950
247-08-####,1971-unknown
247-09-####,1936-1950
247-10-####,1936-1950
247-11-####,1971-unknown
247-12-####,1936-1950
247-13-####,1972-unknown
247-14-####,1936-1950
247-15-####,1973-unknown
247-16-####,1936-1950
247-17-####,1973-unknown
247-18-####,1936-1950
247-19-####,1973-unknown
247-20-####,1936-1950
247-21-####,1974-unknown
247-22-####,1936-1950
247-23-####,1974-unknown
247-24-####,1936-1950
247-25-####,1974-unknown
247-26-####,1936-1950
247-27-####,1975-unknown
247-28-####,1936-1950
247-29-####,1975-unknown
247-30-####,1936-1950
247-31-####,1975-unknown
247-32-####,1936-1950
247-33-####,1976-unknown
247-34-####,1936-1950
247-35-####,1977-unknown
247-36-####,1936-1950
247-37-####,1977-unknown
247-38-####,1936-1950
247-39-####,1978-unknown
247-40-####,1936-1950
247-41-####,1979-unknown
247-42-####,1936-1950
247-43-####,1979-unknown
247-44-####,1936-1950
247-45-####,1980-unknown
247-46-####,1936-1950
247-47-####,1981-unknown
247-48-####,1936-1950
247-49-####,1982-unknown
247-50-####,1936-1950
247-51-####,1982-unknown
247-52-####,1936-1950
247-53-####,1982-unknown
247-54-####,1951-unknown
247-55-####,1983-unknown
247-56-####,1953-unknown
247-57-####,1984-unknown
247-58-####,1953-1954
247-59-####,1984-unknown
247-60-####,1955-unknown
247-61-####,1985-unknown
247-62-####,1955-unknown
247-63-####,1986-unknown
247-64-####,1956-unknown
247-65-####,1986-unknown
247-66-####,1957-unknown
247-67-####,1987-unknown
247-68-####,1958-unknown
247-69-####,1987-unknown
247-70-####,1959-unknown
247-71-####,1987-unknown
247-72-####,1960-unknown
247-73-####,1988-unknown
247-74-####,1960-unknown
247-75-####,1988-unknown
247-76-####,1961-unknown
247-77-####,1989-1992
247-78-####,1962-unknown
247-79-####,1989-1992
247-80-####,1963-unknown
247-81-####,1989-1992
247-82-####,1963-unknown
247-83-####,1989-1992
247-84-####,1964-unknown
247-85-####,1989-1992
247-86-####,1965-unknown
247-87-####,1989-1992
247-88-####,1965-unknown
247-89-####,1989-1992
247-90-####,1966-unknown
247-91-####,1989-1992
247-92-####,1966-unknown
247-93-####,1993-unknown
247-94-####,1966-unknown
247-95-####,1994-unknown
247-96-####,1967-unknown
247-97-####,1995-unknown
247-98-####,1968-unknown
247-99-####,1996-unknown
248-01-####,1936-1950
248-02-####,1969-unknown
248-03-####,1936-1950
248-04-####,1969-unknown
248-05-####,1936-1950
248-06-####,1970-unknown
248-07-####,1936-1950
248-08-####,1971-unknown
248-09-####,1936-1950
248-10-####,1936-1950
248-11-####,1971-unknown
248-12-####,1936-1950
248-13-####,1972-unknown
248-14-####,1936-1950
248-15-####,1973-unknown
248-16-####,1936-1950
248-17-####,1973-unknown
248-18-####,1936-1950
248-19-####,1973-unknown
248-20-####,1936-1950
248-21-####,1974-unknown
248-22-####,1936-1950
248-23-####,1974-unknown
248-24-####,1936-1950
248-25-####,1974-unknown
248-26-####,1936-1950
248-27-####,1975-unknown
248-28-####,1936-1950
248-29-####,1975-unknown
248-30-####,1936-1950
248-31-####,1976-unknown
248-32-####,1936-1950
248-33-####,1976-unknown
248-34-####,1936-1950
248-35-####,1977-unknown
248-36-####,1936-1950
248-37-####,1977-unknown
248-38-####,1936-1950
248-39-####,1978-unknown
248-40-####,1936-1950
248-41-####,1979-unknown
248-42-####,1936-1950
248-43-####,1980-unknown
248-44-####,1936-1950
248-45-####,1980-unknown
248-46-####,1936-1950
248-47-####,1981-unknown
248-48-####,1936-1950
248-49-####,1982-unknown
248-50-####,1936-1950
248-51-####,1982-unknown
248-52-####,1936-1950
248-53-####,1982-unknown
248-54-####,1951-unknown
248-55-####,1983-unknown
248-56-####,1953-unknown
248-57-####,1984-unknown
248-58-####,1954-unknown
248-59-####,1984-unknown
248-60-####,1955-unknown
248-61-####,1985-unknown
248-62-####,1955-unknown
248-63-####,1986-unknown
248-64-####,1956-unknown
248-65-####,1987-unknown
248-66-####,1957-unknown
248-67-####,1987-unknown
248-68-####,1958-unknown
248-69-####,1987-unknown
248-70-####,1959-unknown
248-71-####,1987-unknown
248-72-####,1960-unknown
248-73-####,1988-unknown
248-74-####,1961-unknown
248-75-####,1988-unknown
248-76-####,1961-unknown
248-77-####,1989-1992
248-78-####,1962-unknown
248-79-####,1989-1992
248-80-####,1963-unknown
248-81-####,1989-1992
248-82-####,1963-unknown
248-83-####,1989-1992
248-84-####,1964-unknown
248-85-####,1989-1992
248-86-####,1965-unknown
248-87-####,1989-1992
248-88-####,1965-unknown
248-89-####,1989-1992
248-90-####,1966-unknown
248-91-####,1993-unknown
248-92-####,1966-unknown
248-93-####,1993-unknown
248-94-####,1966-unknown
248-95-####,1994-unknown
248-96-####,1967-unknown
248-97-####,1995-unknown
