SSN Prefix,Years Issued
503-01-####,1936-1950
503-02-####,1983-unknown
503-03-####,1936-1950
503-04-####,1984-unknown
503-05-####,1936-1950
503-06-####,1985-unknown
503-07-####,1936-1950
503-08-####,1986-unknown
503-09-####,1936-1950
503-10-####,1936-1950
503-11-####,1987-unknown
503-12-####,1936-1950
503-13-####,1987-unknown
503-14-####,1936-1950
503-15-####,1988-unknown
503-16-####,1936-1950
503-17-####,1989-1992
503-18-####,1936-1950
503-19-####,1989-1992
503-20-####,1936-1950
503-21-####,1989-1992
503-22-####,1936-1950
503-23-####,1993-unknown
503-24-####,1936-1950
503-25-####,1994-unknown
503-26-####,1936-1950
503-27-####,1996-unknown
503-28-####,1936-1950
503-29-####,1997-1998
503-30-####,1936-1950
503-31-####,1999-2000
503-32-####,1936-1950
503-33-####,2001-2003
503-34-####,1951-1952
503-35-####,2003-2004
503-36-####,1953-unknown
503-37-####,2004-2006
503-38-####,1954-unknown
503-39-####,2006-2007
503-40-####,1955-unknown
503-41-####,2007-2008
503-42-####,1955-unknown
503-43-####,2008-2010
503-44-####,1956-unknown
503-45-####,2010-2011
503-46-####,1956-1957
503-48-####,1958-1959
503-50-####,1960-unknown
503-52-####,1961-unknown
503-54-####,1962-unknown
503-56-####,1963-unknown
503-58-####,1963-unknown
503-60-####,1964-1965
503-62-####,1966-unknown
503-64-####,1966-unknown
503-66-####,1967-unknown
503-68-####,1968-unknown
503-70-####,1969-unknown
503-72-####,1970-unknown
503-74-####,1971-unknown
503-76-####,1971-unknown
503-78-####,1972-unknown
503-80-####,1973-unknown
503-82-####,1973-unknown
503-84-####,1973-unknown
503-86-####,1973-unknown
503-88-####,1974-unknown
503-90-####,1975-1976
503-92-####,1977-unknown
503-94-####,1977-1979
503-96-####,1980-unknown
503-98-####,1981-1982
504-01-####,1936-1950
504-02-####,1983-unknown
504-03-####,1936-1950
504-04-####,1984-unknown
504-05-####,1936-1950
504-06-####,1985-unknown
504-07-####,1936-1950
504-08-####,1986-unknown
504-09-####,1936-1950
504-10-####,1936-1950
504-11-####,1987-unknown
504-12-####,1936-1950
504-13-####,1988-unknown
504-14-####,1936-1950
504-15-####,1988-unknown
504-16-####,1936-1950
504-17-####,1989-1992
504-18-####,1936-1950
504-19-####,1989-1992
504-20-####,1936-1950
504-21-####,1989-1992
504-22-####,1936-1950
504-23-####,1993-unknown
504-24-####,1936-1950
504-25-####,1995-unknown
504-26-####,1936-1950
504-27-####,1997-1998
504-28-####,1936-1950
504-29-####,1998-unknown
504-30-####,1936-1950
504-31-####,2000-2001
504-32-####,1951-unknown
504-33-####,2002-unknown
504-34-####,1952-unknown
504-35-####,2003-2005
504-36-####,1953-1954
504-37-####,2005-2006
504-38-####,1955-unknown
504-39-####,2006-2008
504-40-####,1955-unknown
504-41-####,2008-2009
504-42-####,1956-unknown
504-43-####,2009-2011
504-44-####,1956-unknown
504-45-####,2011-unknown
504-46-####,1957-1958
504-48-####,1959-unknown
504-50-####,1960-1961
504-52-####,1962-unknown
504-54-####,1962-unknown
504-56-####,1963-unknown
504-58-####,1964-unknown
504-60-####,1965-unknown
504-62-####,1966-unknown
504-64-####,1967-unknown
504-66-####,1968-unknown
504-68-####,1969-unknown
504-70-####,1970-unknown
504-72-####,1970-unknown
504-74-####,1971-unknown
504-76-####,1972-unknown
504-78-####,1973-unknown
504-80-####,1973-unknown
504-82-####,1973-unknown
504-84-####,1973-unknown
504-86-####,1974-unknown
504-88-####,1975-unknown
504-90-####,1975-1976
504-92-####,1977-1978
504-94-####,1979-1980
504-96-####,1981-unknown
504-98-####,1982-unknown
