SSN Prefix,Years Issued
408-01-####,1936-1950
408-02-####,1971-unknown
408-03-####,1936-1950
408-04-####,1972-unknown
408-05-####,1936-1950
408-06-####,1972-unknown
408-07-####,1936-1950
408-08-####,1973-unknown
408-09-####,1936-1950
408-10-####,1936-1950
408-11-####,1973-unknown
408-12-####,1936-1950
408-13-####,1973-unknown
408-14-####,1936-1950
408-15-####,1973-unknown
408-16-####,1936-1950
408-17-####,1974-unknown
408-18-####,1936-1950
408-19-####,1974-unknown
408-20-####,1936-1950
408-21-####,1975-unknown
408-22-####,1936-1950
408-23-####,1975-unknown
408-24-####,1936-1950
408-25-####,1976-unknown
408-26-####,1936-1950
408-27-####,1976-unknown
408-28-####,1936-1950
408-29-####,1977-1978
408-30-####,1936-1950
408-31-####,1979-unknown
408-32-####,1936-1950
408-33-####,1980-unknown
408-34-####,1936-1950
408-35-####,1980-unknown
408-36-####,1936-1950
408-37-####,1981-unknown
408-38-####,1936-1950
408-39-####,1982-unknown
408-40-####,1936-1950
408-41-####,1983-unknown
408-42-####,1936-1950
408-43-####,1983-unknown
408-44-####,1936-1950
408-45-####,1984-unknown
408-46-####,1936-1950
408-47-####,1985-unknown
408-48-####,1936-1950
408-49-####,1986-unknown
408-50-####,1936-1950
408-51-####,1986-unknown
408-52-####,1936-1950
408-53-####,1987-unknown
408-54-####,1951-unknown
408-55-####,1987-unknown
408-56-####,1952-unknown
408-57-####,1987-unknown
408-58-####,1953-1954
408-59-####,1988-unknown
408-60-####,1955-unknown
408-61-####,1988-unknown
408-62-####,1955-unknown
408-63-####,1989-1992
408-64-####,1956-unknown
408-65-####,1989-1992
408-66-####,1957-1958
408-67-####,1989-1992
408-68-####,1959-unknown
408-69-####,1989-1992
408-70-####,1960-unknown
408-71-####,1989-1992
408-72-####,1961-unknown
408-73-####,1989-1992
408-74-####,1962-unknown
408-75-####,1993-unknown
408-76-####,1963-unknown
408-77-####,1994-unknown
408-78-####,1963-unknown
408-79-####,1995-unknown
408-80-####,1964-unknown
408-81-####,1996-unknown
408-82-####,1965-unknown
408-83-####,1997-1998
408-84-####,1965-unknown
408-85-####,1998-unknown
408-86-####,1966-unknown
408-87-####,1999-unknown
408-88-####,1967-unknown
408-89-####,2000-unknown
408-90-####,1967-unknown
408-91-####,2001-unknown
408-92-####,1968-unknown
408-93-####,2002-unknown
408-94-####,1969-unknown
408-95-####,2003-unknown
408-96-####,1969-unknown
408-97-####,2003-2004
408-98-####,1970-unknown
408-99-####,2004-2005
409-01-####,1936-1950
409-02-####,1971-unknown
409-03-####,1936-1950
409-04-####,1971-unknown
409-05-####,1936-1950
409-06-####,1972-unknown
409-07-####,1936-1950
409-08-####,1973-unknown
409-09-####,1936-1950
409-10-####,1936-1950
409-11-####,1973-unknown
409-12-####,1936-1950
409-13-####,1973-unknown
409-14-####,1936-1950
409-15-####,1973-unknown
409-16-####,1936-1950
409-17-####,1974-unknown
409-18-####,1936-1950
409-19-####,1974-unknown
409-20-####,1936-1950
409-21-####,1975-unknown
409-22-####,1936-1950
409-23-####,1975-unknown
409-24-####,1936-1950
409-25-####,1976-unknown
409-26-####,1936-1950
409-27-####,1976-1977
409-28-####,1936-1950
409-29-####,1978-unknown
409-30-####,1936-1950
409-31-####,1979-unknown
409-32-####,1936-1950
409-33-####,1980-unknown
409-34-####,1936-1950
409-35-####,1981-unknown
409-36-####,1936-1950
409-37-####,1981-unknown
409-38-####,1936-1950
409-39-####,1982-unknown
409-40-####,1936-1950
409-41-####,1983-unknown
409-42-####,1936-1950
409-43-####,1983-unknown
409-44-####,1936-1950
409-45-####,1984-unknown
409-46-####,1936-1950
409-47-####,1985-unknown
409-48-####,1936-1950
409-49-####,1986-unknown
409-50-####,1936-1950
409-51-####,1986-unknown
409-52-####,1936-1950
409-53-####,1987-unknown
409-54-####,1951-1952
409-55-####,1987-unknown
409-56-####,1953-unknown
409-57-####,1988-unknown
409-58-####,1954-unknown
409-59-####,1988-unknown
409-60-####,1955-unknown
409-61-####,1988-unknown
409-62-####,1956-unknown
409-63-####,1989-1992
409-64-####,1956-unknown
409-65-####,1989-1992
409-66-####,1957-1958
409-67-####,1989-1992
409-68-####,1959-unknown
409-69-####,1989-1992
409-70-####,1960-unknown
409-71-####,1989-1992
409-72-####,1961-unknown
409-73-####,1993-unknown
409-74-####,1962-unknown
409-75-####,1994-unknown
409-76-####,1963-unknown
409-77-####,1994-unknown
409-78-####,1963-unknown
409-79-####,1995-unknown
409-80-####,1964-unknown
409-81-####,1996-unknown
409-82-####,1965-unknown
409-83-####,1997-1998
409-84-####,1965-unknown
409-85-####,1998-unknown
409-86-####,1966-unknown
409-87-####,1999-unknown
409-88-####,1966-unknown
409-89-####,2000-unknown
409-90-####,1967-unknown
409-91-####,2001-unknown
409-92-####,1968-unknown
409-93-####,2002-unknown
409-94-####,1969-unknown
409-95-####,2003-unknown
409-96-####,1970-unknown
409-97-####,2003-2004
409-98-####,1970-unknown
409-99-####,2004-2005
410-01-####,1936-1950
410-02-####,1971-unknown
410-03-####,1936-1950
410-04-####,1972-unknown
410-05-####,1936-1950
410-06-####,1973-unknown
410-07-####,1936-1950
410-08-####,1973-unknown
410-09-####,1936-1950
410-10-####,1936-1950
410-11-####,1973-unknown
410-12-####,1936-1950
410-13-####,1973-unknown
410-14-####,1936-1950
410-15-####,1974-unknown
410-16-####,1936-1950
410-17-####,1974-unknown
410-18-####,1936-1950
410-19-####,1974-unknown
410-20-####,1936-1950
410-21-####,1975-unknown
410-22-####,1936-1950
410-23-####,1975-unknown
410-24-####,1936-1950
410-25-####,1976-unknown
410-26-####,1936-1950
410-27-####,1977-unknown
410-28-####,1936-1950
410-29-####,1978-unknown
410-30-####,1936-1950
410-31-####,1979-unknown
410-32-####,1936-1950
410-33-####,1980-unknown
410-34-####,1936-1950
410-35-####,1981-unknown
410-36-####,1936-1950
410-37-####,1982-unknown
410-38-####,1936-1950
410-39-####,1983-unknown
410-40-####,1936-1950
410-41-####,1983-unknown
410-42-####,1936-1950
410-43-####,1983-unknown
410-44-####,1936-1950
410-45-####,1984-unknown
410-46-####,1936-1950
410-47-####,1985-unknown
410-48-####,1936-1950
410-49-####,1986-unknown
410-50-####,1936-1950
410-51-####,1987-unknown
410-52-####,1936-1950
410-53-####,1987-unknown
410-54-####,1951-1952
410-55-####,1987-unknown
410-56-####,1953-unknown
410-57-####,1988-unknown
410-58-####,1954-unknown
410-59-####,1988-unknown
410-60-####,1955-unknown
410-61-####,1989-1992
410-62-####,1955-unknown
410-63-####,1989-1992
410-64-####,1956-unknown
410-65-####,1989-1992
410-66-####,1957-1958
410-67-####,1989-1992
410-68-####,1959-unknown
410-69-####,1989-1992
410-70-####,1960-unknown
410-71-####,1989-1992
410-72-####,1961-unknown
410-73-####,1993-unknown
410-74-####,1962-unknown
410-75-####,1994-unknown
410-76-####,1963-unknown
410-77-####,1994-unknown
410-78-####,1963-unknown
410-79-####,1995-unknown
410-80-####,1964-unknown
410-81-####,1996-unknown
410-82-####,1965-unknown
410-83-####,1997-1998
410-84-####,1965-unknown
410-85-####,1998-unknown
410-86-####,1966-unknown
410-87-####,1999-unknown
410-88-####,1966-unknown
410-89-####,2000-unknown
410-90-####,1967-unknown
410-91-####,2001-unknown
410-92-####,1968-unknown
410-93-####,2002-unknown
410-94-####,1969-unknown
410-95-####,2003-2004
410-96-####,1970-unknown
410-97-####,2004-unknown
410-98-####,1970-unknown
410-99-####,2004-2005
411-01-####,1936-1950
411-02-####,1971-unknown
411-03-####,1936-1950
411-04-####,1972-unknown
411-05-####,1936-1950
411-06-####,1973-unknown
411-07-####,1936-1950
411-08-####,1973-unknown
411-09-####,1936-1950
411-10-####,1936-1950
411-11-####,1973-unknown
411-12-####,1936-1950
411-13-####,1973-unknown
411-14-####,1936-1950
411-15-####,1974-unknown
411-16-####,1936-1950
411-17-####,1974-unknown
411-18-####,1936-1950
411-19-####,1974-unknown
411-20-####,1936-1950
411-21-####,1975-unknown
411-22-####,1936-1950
411-23-####,1976-unknown
411-24-####,1936-1950
411-25-####,1976-unknown
411-26-####,1936-1950
411-27-####,1977-unknown
411-28-####,1936-1950
411-29-####,1978-unknown
411-30-####,1936-1950
411-31-####,1979-unknown
411-32-####,1936-1950
411-33-####,1980-unknown
411-34-####,1936-1950
411-35-####,1981-unknown
411-36-####,1936-1950
411-37-####,1982-unknown
411-38-####,1936-1950
411-39-####,1983-unknown
411-40-####,1936-1950
411-41-####,1983-unknown
411-42-####,1936-1950
411-43-####,1984-unknown
411-44-####,1936-1950
411-45-####,1984-unknown
411-46-####,1936-1950
411-47-####,1985-unknown
411-48-####,1936-1950
411-49-####,1986-unknown
411-50-####,1936-1950
411-51-####,1987-unknown
411-52-####,1951-unknown
411-53-####,1987-unknown
411-54-####,1952-unknown
411-55-####,1987-unknown
411-56-####,1953-unknown
411-57-####,1988-unknown
411-58-####,1954-unknown
411-59-####,1988-unknown
411-60-####,1955-unknown
411-61-####,1989-1992
411-62-####,1956-unknown
411-63-####,1989-1992
411-64-####,1957-unknown
411-65-####,1989-1992
411-66-####,1958-unknown
411-67-####,1989-1992
411-68-####,1959-unknown
411-69-####,1989-1992
411-70-####,1960-unknown
411-71-####,1989-1992
411-72-####,1961-unknown
411-73-####,1993-unknown
411-74-####,1962-unknown
411-75-####,1994-unknown
411-76-####,1963-unknown
411-77-####,1995-unknown
411-78-####,1963-unknown
411-79-####,1996-unknown
411-80-####,1964-unknown
411-81-####,1996-unknown
411-82-####,1965-unknown
411-83-####,1997-1998
411-84-####,1965-unknown
411-85-####,1998-unknown
411-86-####,1966-unknown
411-87-####,1999-unknown
411-88-####,1966-unknown
411-89-####,2000-unknown
411-90-####,1967-unknown
411-91-####,2001-unknown
411-92-####,1968-unknown
411-93-####,2002-unknown
411-94-####,1969-unknown
411-95-####,2003-2004
411-96-####,1970-unknown
411-97-####,2004-2005
411-98-####,1970-unknown
411-99-####,2005-unknown
412-01-####,1936-1950
412-02-####,1971-unknown
412-03-####,1936-1950
412-04-####,1972-unknown
412-05-####,1936-1950
412-06-####,1973-unknown
412-07-####,1936-1950
412-08-####,1973-unknown
412-09-####,1936-1950
412-10-####,1936-1950
412-11-####,1973-unknown
412-12-####,1936-1950
412-13-####,1973-unknown
412-14-####,1936-1950
412-15-####,1974-unknown
412-16-####,1936-1950
412-17-####,1974-unknown
412-18-####,1936-1950
412-19-####,1975-unknown
412-20-####,1936-1950
412-21-####,1975-unknown
412-22-####,1936-1950
412-23-####,1976-unknown
412-24-####,1936-1950
412-25-####,1976-unknown
412-26-####,1936-1950
412-27-####,1977-unknown
412-28-####,1936-1950
412-29-####,1978-unknown
412-30-####,1936-1950
412-31-####,1979-unknown
412-32-####,1936-1950
412-33-####,1980-unknown
412-34-####,1936-1950
412-35-####,1981-unknown
412-36-####,1936-1950
412-37-####,1982-unknown
412-38-####,1936-1950
412-39-####,1983-unknown
412-40-####,1936-1950
412-41-####,1983-unknown
412-42-####,1936-1950
412-43-####,1984-unknown
412-44-####,1936-1950
412-45-####,1984-unknown
412-46-####,1936-1950
412-47-####,1985-unknown
412-48-####,1936-1950
412-49-####,1986-unknown
412-50-####,1936-1950
412-51-####,1987-unknown
412-52-####,1951-unknown
412-53-####,1987-unknown
412-54-####,1952-unknown
412-55-####,1987-unknown
412-56-####,1953-unknown
412-57-####,1988-unknown
412-58-####,1954-unknown
412-59-####,1988-unknown
412-60-####,1955-unknown
412-61-####,1989-1992
412-62-####,1956-unknown
412-63-####,1989-1992
412-64-####,1957-unknown
412-65-####,1989-1992
412-66-####,1958-unknown
412-67-####,1989-1992
412-68-####,1959-unknown
412-69-####,1989-1992
412-70-####,1960-unknown
412-71-####,1989-1992
412-72-####,1961-unknown
412-73-####,1993-unknown
412-74-####,1962-unknown
412-75-####,1994-unknown
412-76-####,1963-unknown
412-77-####,1995-unknown
