SSN Prefix,Years Issued
449-01-####,1936-1950
449-02-####,1969-unknown
449-03-####,1936-1950
449-04-####,1969-unknown
449-05-####,1936-1950
449-06-####,1969-unknown
449-07-####,1936-1950
449-08-####,1970-unknown
449-09-####,1936-1950
449-10-####,1936-1950
449-11-####,1971-unknown
449-12-####,1936-1950
449-13-####,1971-unknown
449-14-####,1936-1950
449-15-####,1972-unknown
449-16-####,1936-1950
449-17-####,1973-unknown
449-18-####,1936-1950
449-19-####,1973-unknown
449-20-####,1936-1950
449-21-####,1973-unknown
449-22-####,1936-1950
449-23-####,1973-unknown
449-24-####,1936-1950
449-25-####,1973-unknown
449-26-####,1936-1950
449-27-####,1974-unknown
449-28-####,1936-1950
449-29-####,1974-unknown
449-30-####,1936-1950
449-31-####,1975-unknown
449-32-####,1936-1950
449-33-####,1975-unknown
449-34-####,1936-1950
449-35-####,1975-unknown
449-36-####,1936-1950
449-37-####,1976-unknown
449-38-####,1936-1950
449-39-####,1976-unknown
449-40-####,1936-1950
449-41-####,1977-unknown
449-42-####,1936-1950
449-43-####,1978-unknown
449-44-####,1936-1950
449-45-####,1978-unknown
449-46-####,1936-1950
449-47-####,1979-unknown
449-48-####,1936-1950
449-49-####,1980-unknown
449-50-####,1936-1950
449-51-####,1980-unknown
449-52-####,1936-1950
449-53-####,1981-unknown
449-54-####,1951-unknown
449-55-####,1981-unknown
449-56-####,1952-unknown
449-57-####,1982-unknown
449-58-####,1953-1954
449-59-####,1982-unknown
449-60-####,1955-unknown
449-61-####,1983-unknown
449-62-####,1955-unknown
449-63-####,1983-unknown
449-64-####,1956-unknown
449-65-####,1983-unknown
449-66-####,1957-unknown
449-67-####,1984-unknown
449-68-####,1958-unknown
449-69-####,1984-unknown
449-70-####,1959-unknown
449-71-####,1985-unknown
449-72-####,1960-unknown
449-73-####,1985-unknown
449-74-####,1961-unknown
449-75-####,1985-unknown
449-76-####,1962-unknown
449-77-####,1986-unknown
449-78-####,1963-unknown
449-79-####,1986-unknown
449-80-####,1963-unknown
449-81-####,1987-unknown
449-82-####,1964-unknown
449-83-####,1987-unknown
449-84-####,1964-unknown
449-85-####,1987-unknown
449-86-####,1965-unknown
449-87-####,1987-unknown
449-88-####,1965-unknown
449-89-####,1987-unknown
449-90-####,1966-unknown
449-91-####,1987-unknown
449-92-####,1966-unknown
449-93-####,1988-unknown
449-94-####,1967-unknown
449-95-####,1988-unknown
449-96-####,1967-unknown
449-97-####,1988-unknown
449-98-####,1968-unknown
449-99-####,1988-unknown
450-01-####,1936-1950
450-02-####,1969-unknown
450-03-####,1936-1950
450-04-####,1969-unknown
450-05-####,1936-1950
450-06-####,1970-unknown
450-07-####,1936-1950
450-08-####,1971-unknown
450-09-####,1936-1950
450-10-####,1936-1950
450-11-####,1971-unknown
450-12-####,1936-1950
450-13-####,1971-unknown
450-14-####,1936-1950
450-15-####,1972-unknown
450-16-####,1936-1950
450-17-####,1973-unknown
450-18-####,1936-1950
450-19-####,1973-unknown
450-20-####,1936-1950
450-21-####,1973-unknown
450-22-####,1936-1950
450-23-####,1973-unknown
450-24-####,1936-1950
450-25-####,1974-unknown
