SSN Prefix,Years Issued
528-01-####,1936-1950
528-02-####,1973-unknown
528-03-####,1936-1950
528-04-####,1973-unknown
528-05-####,1936-1950
528-06-####,1973-unknown
528-07-####,1936-1950
528-08-####,1974-unknown
528-09-####,1936-1950
528-10-####,1936-1950
528-11-####,1974-unknown
528-12-####,1936-1950
528-13-####,1974-unknown
528-14-####,1936-1950
528-15-####,1975-unknown
528-16-####,1936-1950
528-17-####,1975-unknown
528-18-####,1936-1950
528-19-####,1976-unknown
528-20-####,1936-1950
528-21-####,1976-unknown
528-22-####,1936-1950
528-23-####,1977-unknown
528-24-####,1936-1950
528-25-####,1978-unknown
528-26-####,1936-1950
528-27-####,1979-unknown
528-28-####,1936-1950
528-29-####,1979-unknown
528-30-####,1936-1950
528-31-####,1980-unknown
528-32-####,1936-1950
528-33-####,1980-unknown
528-34-####,1936-1950
528-35-####,1981-unknown
528-36-####,1936-1950
528-37-####,1982-unknown
528-38-####,1936-1950
528-39-####,1982-unknown
528-40-####,1936-1950
528-41-####,1983-unknown
528-42-####,1936-1950
528-43-####,1983-unknown
528-44-####,1951-unknown
528-45-####,1984-unknown
528-46-####,1953-unknown
528-47-####,1984-unknown
528-48-####,1954-unknown
528-49-####,1984-unknown
528-50-####,1955-unknown
528-51-####,1985-unknown
528-52-####,1956-unknown
528-53-####,1985-unknown
528-54-####,1957-unknown
528-55-####,1985-unknown
528-56-####,1958-unknown
528-57-####,1986-unknown
528-58-####,1959-unknown
528-59-####,1986-unknown
528-60-####,1960-unknown
528-61-####,1987-unknown
528-62-####,1961-unknown
528-63-####,1987-unknown
528-64-####,1962-unknown
528-65-####,1987-unknown
528-66-####,1963-unknown
528-67-####,1987-unknown
528-68-####,1963-unknown
528-69-####,1987-unknown
528-70-####,1964-unknown
528-71-####,1987-unknown
528-72-####,1965-unknown
528-73-####,1987-unknown
528-74-####,1966-unknown
528-75-####,1987-unknown
528-76-####,1966-unknown
528-77-####,1988-unknown
528-78-####,1967-unknown
528-79-####,1988-unknown
528-80-####,1967-unknown
528-81-####,1988-unknown
528-82-####,1968-unknown
528-83-####,1988-unknown
528-84-####,1968-unknown
528-85-####,1988-unknown
528-86-####,1969-unknown
528-87-####,1988-unknown
528-88-####,1969-unknown
528-89-####,1989-1992
528-90-####,1970-unknown
528-91-####,1989-1992
528-92-####,1971-unknown
528-93-####,1989-1992
528-94-####,1972-unknown
528-95-####,1989-1992
528-96-####,1973-unknown
528-97-####,1989-1992
528-98-####,1973-unknown
528-99-####,1989-1992
529-01-####,1936-1950
529-02-####,1973-unknown
529-03-####,1936-1950
529-04-####,1973-unknown
529-05-####,1936-1950
529-06-####,1973-unknown
529-07-####,1936-1950
529-08-####,1974-unknown
529-09-####,1936-1950
529-10-####,1936-1950
529-11-####,1974-unknown
529-12-####,1936-1950
529-13-####,1975-unknown
529-14-####,1936-1950
529-15-####,1975-unknown
529-16-####,1936-1950
529-17-####,1976-unknown
529-18-####,1936-1950
529-19-####,1976-unknown
529-20-####,1936-1950
529-21-####,1977-unknown
529-22-####,1936-1950
529-23-####,1978-unknown
529-24-####,1936-1950
529-25-####,1978-unknown
529-26-####,1936-1950
529-27-####,1979-unknown
529-28-####,1936-1950
529-29-####,1980-unknown
529-30-####,1936-1950
529-31-####,1980-unknown
529-32-####,1936-1950
529-33-####,1981-unknown
529-34-####,1936-1950
529-35-####,1981-unknown
529-36-####,1936-1950
529-37-####,1982-unknown
529-38-####,1936-1950
529-39-####,1982-unknown
529-40-####,1936-1950
529-41-####,1983-unknown
529-42-####,1951-unknown
529-43-####,1983-unknown
529-44-####,1952-unknown
529-45-####,1984-unknown
529-46-####,1953-unknown
529-47-####,1984-unknown
529-48-####,1954-unknown
529-49-####,1984-unknown
529-50-####,1955-unknown
529-51-####,1985-unknown
529-52-####,1956-1957
529-53-####,1985-unknown
529-54-####,1958-unknown
529-55-####,1986-unknown
529-56-####,1959-unknown
529-57-####,1986-unknown
529-58-####,1960-unknown
529-59-####,1986-unknown
529-60-####,1961-unknown
529-61-####,1987-unknown
529-62-####,1962-unknown
529-63-####,1987-unknown
529-64-####,1962-unknown
529-65-####,1987-unknown
529-66-####,1963-unknown
529-67-####,1987-unknown
529-68-####,1963-unknown
529-69-####,1987-unknown
529-70-####,1964-unknown
529-71-####,1987-unknown
529-72-####,1965-unknown
529-73-####,1987-unknown
529-74-####,1966-unknown
529-75-####,1988-unknown
529-76-####,1966-unknown
529-77-####,1988-unknown
529-78-####,1967-unknown
529-79-####,1988-unknown
529-80-####,1967-unknown
529-81-####,1988-unknown
529-82-####,1968-unknown
529-83-####,1988-unknown
529-84-####,1968-unknown
529-85-####,1988-unknown
529-86-####,1969-unknown
529-87-####,1989-1992
529-88-####,1970-unknown
529-89-####,1989-1992
529-90-####,1971-unknown
529-91-####,1989-1992
529-92-####,1971-unknown
529-93-####,1989-1992
529-94-####,1972-unknown
529-95-####,1989-1992
529-96-####,1973-unknown
529-97-####,1989-1992
529-98-####,1973-unknown
529-99-####,1989-1992
646-01-####,1989-1992
646-02-####,2008-unknown
646-03-####,1989-1992
646-04-####,2008-unknown
646-05-####,1989-1992
646-06-####,2008-2009
646-07-####,1989-1992
646-08-####,2009-unknown
646-09-####,1989-1992
646-10-####,1989-1992
646-11-####,2009-unknown
646-12-####,1989-1992
646-13-####,2009-2010
646-14-####,1993-unknown
646-15-####,2010-unknown
646-16-####,1993-unknown
646-17-####,2010-unknown
646-18-####,1993-unknown
646-19-####,2010-2011
646-20-####,1994-unknown
646-21-####,2011-unknown
646-22-####,1994-unknown
646-23-####,2011-unknown
646-24-####,1995-unknown
646-26-####,1995-unknown
646-28-####,1995-unknown
646-30-####,1996-unknown
646-32-####,1996-unknown
646-34-####,1997-unknown
646-36-####,1997-unknown
646-38-####,1997-unknown
646-40-####,1998-unknown
646-42-####,1998-unknown
646-44-####,1998-unknown
646-46-####,1999-unknown
646-48-####,1999-unknown
646-50-####,1999-2000
646-52-####,2000-unknown
646-54-####,2000-unknown
646-56-####,2000-2001
646-58-####,2001-unknown
646-60-####,2001-unknown
646-62-####,2001-2002
646-64-####,2002-unknown
646-66-####,2002-unknown
646-68-####,2002-unknown
646-70-####,2003-unknown
646-72-####,2003-unknown
646-74-####,2003-2004
646-76-####,2004-unknown
646-78-####,2004-unknown
646-80-####,2004-2005
646-82-####,2005-unknown
646-84-####,2005-unknown
646-86-####,2005-2006
646-88-####,2006-unknown
646-90-####,2006-unknown
646-92-####,2006-2007
646-94-####,2007-unknown
646-96-####,2007-unknown
646-98-####,2007-2008
647-01-####,1989-1992
647-02-####,2008-unknown
647-03-####,1989-1992
647-04-####,2008-unknown
647-05-####,1989-1992
647-06-####,2008-2009
647-07-####,1989-1992
647-08-####,2009-unknown
647-09-####,1989-1992
647-10-####,1989-1992
647-11-####,2009-unknown
647-12-####,1989-1992
647-13-####,2009-2010
647-14-####,1993-unknown
647-15-####,2010-unknown
647-16-####,1993-unknown
647-17-####,2010-unknown
647-18-####,1994-unknown
647-19-####,2010-2011
647-20-####,1994-unknown
647-21-####,2011-unknown
647-22-####,1994-unknown
647-24-####,1995-unknown
647-26-####,1995-unknown
647-28-####,1996-unknown
647-30-####,1996-unknown
647-32-####,1996-unknown
647-34-####,1997-unknown
647-36-####,1997-unknown
647-38-####,1997-unknown
647-40-####,1998-unknown
647-42-####,1998-unknown
647-44-####,1998-1999
647-46-####,1999-unknown
647-48-####,1999-unknown
647-50-####,1999-2000
647-52-####,2000-unknown
647-54-####,2000-unknown
647-56-####,2001-unknown
647-58-####,2001-unknown
647-60-####,2001-unknown
647-62-####,2001-2002
647-64-####,2002-unknown
647-66-####,2002-unknown
647-68-####,2003-unknown
647-70-####,2003-unknown
647-72-####,2003-2004
647-74-####,2004-unknown
647-76-####,2004-unknown
647-78-####,2004-2005
647-80-####,2005-unknown
647-82-####,2005-unknown
647-84-####,2005-2006
647-86-####,2006-unknown
647-88-####,2006-unknown
647-90-####,2006-2007
647-92-####,2007-unknown
647-94-####,2007-unknown
647-96-####,2007-2008
647-98-####,2008-unknown
