SSN Prefix,Years Issued
008-01-####,1936-1950
008-03-####,1936-1950
008-05-####,1936-1950
008-07-####,1936-1950
008-09-####,1936-1950
008-10-####,1936-1950
008-12-####,1936-1950
008-14-####,1936-1950
008-16-####,1936-1950
008-18-####,1936-1950
008-20-####,1936-1950
008-22-####,1936-1950
008-24-####,1951-1952
008-26-####,1953-1954
008-28-####,1955-1957
008-30-####,1958-1959
008-32-####,1960-1961
008-34-####,1962-unknown
008-36-####,1963-1964
008-38-####,1965-unknown
008-40-####,1966-1967
008-42-####,1968-1969
008-44-####,1970-unknown
008-46-####,1971-1972
008-48-####,1973-unknown
008-50-####,1973-unknown
008-52-####,1973-unknown
008-54-####,1973-1974
008-56-####,1975-unknown
008-58-####,1975-unknown
008-60-####,1976-1980
008-62-####,1981-1982
008-64-####,1983-unknown
008-66-####,1984-1985
008-68-####,1986-unknown
008-70-####,1987-unknown
008-72-####,1988-unknown
008-74-####,1988-1992
008-76-####,1992-unknown
008-78-####,1992-1995
008-80-####,1995-1996
008-82-####,1997-1998
008-84-####,1999-unknown
008-86-####,2001-2003
008-88-####,2003-2005
008-90-####,2005-2008
008-92-####,2008-2010
008-94-####,2010-2011
009-01-####,1936-1950
009-03-####,1936-1950
009-05-####,1936-1950
009-07-####,1936-1950
009-09-####,1936-1950
009-10-####,1936-1950
009-12-####,1936-1950
009-14-####,1936-1950
009-16-####,1936-1950
009-18-####,1936-1950
009-20-####,1936-1950
009-22-####,1951-unknown
009-24-####,1952-1954
009-26-####,1955-unknown
009-28-####,1956-1958
009-30-####,1959-1960
009-32-####,1961-1962
009-34-####,1963-unknown
009-36-####,1964-unknown
009-38-####,1965-1966
009-40-####,1967-1968
009-42-####,1969-unknown
009-44-####,1970-unknown
009-46-####,1971-1972
009-48-####,1973-unknown
009-50-####,1973-unknown
009-52-####,1973-unknown
009-54-####,1974-unknown
009-56-####,1975-unknown
009-58-####,1976-1979
009-60-####,1980-1981
009-62-####,1982-1983
009-64-####,1984-unknown
009-66-####,1985-1986
009-68-####,1987-unknown
009-70-####,1988-unknown
009-72-####,1988-1992
009-74-####,1988-1992
009-76-####,1988-1992
009-78-####,1995-unknown
009-80-####,1996-1998
009-82-####,1998-unknown
009-84-####,2000-unknown
009-86-####,2002-2004
009-88-####,2004-2007
009-90-####,2007-2009
009-92-####,2009-2011
009-94-####,2011-unknown
