SSN Prefix,Years Issued
223-01-####,1936-1950
223-02-####,1974-unknown
223-03-####,1936-1950
223-04-####,1975-unknown
223-05-####,1936-1950
223-06-####,1975-unknown
223-07-####,1936-1950
223-08-####,1976-unknown
223-09-####,1936-1950
223-10-####,1936-1950
223-11-####,1976-unknown
223-12-####,1936-1950
223-13-####,1977-unknown
223-14-####,1936-1950
223-15-####,1977-unknown
223-16-####,1936-1950
223-17-####,1978-unknown
223-18-####,1936-1950
223-19-####,1979-unknown
223-20-####,1936-1950
223-21-####,1980-unknown
223-22-####,1936-1950
223-23-####,1981-unknown
223-24-####,1936-1950
223-25-####,1981-unknown
223-26-####,1936-1950
223-27-####,1982-unknown
223-28-####,1936-1950
223-29-####,1983-unknown
223-30-####,1936-1950
223-31-####,1983-unknown
223-32-####,1936-1950
223-33-####,1984-unknown
223-34-####,1936-1950
223-35-####,1985-unknown
223-36-####,1936-1950
223-37-####,1985-unknown
223-38-####,1936-1950
223-39-####,1986-unknown
223-40-####,1936-1950
223-41-####,1987-unknown
223-42-####,1951-unknown
223-43-####,1987-unknown
223-44-####,1952-unknown
223-45-####,1987-unknown
223-46-####,1953-unknown
223-47-####,1988-unknown
223-48-####,1954-unknown
223-49-####,1988-unknown
223-50-####,1955-unknown
223-51-####,1988-unknown
223-52-####,1956-unknown
223-53-####,1989-1992
223-54-####,1957-1958
223-55-####,1989-1992
223-56-####,1959-unknown
223-57-####,1989-1992
223-58-####,1960-unknown
223-59-####,1989-1992
223-60-####,1961-unknown
223-61-####,1989-1992
223-62-####,1962-unknown
223-63-####,1989-1992
223-64-####,1963-unknown
223-65-####,1989-1992
223-66-####,1963-unknown
223-67-####,1993-unknown
223-68-####,1964-unknown
223-69-####,1993-unknown
223-70-####,1965-unknown
223-71-####,1994-unknown
223-72-####,1966-unknown
223-73-####,1995-unknown
223-74-####,1966-unknown
223-75-####,1995-unknown
223-76-####,1967-unknown
223-77-####,1996-unknown
223-78-####,1968-unknown
223-79-####,1997-unknown
223-80-####,1968-unknown
223-81-####,1998-unknown
223-82-####,1969-unknown
223-83-####,1998-unknown
223-84-####,1970-unknown
223-85-####,1999-unknown
223-86-####,1970-unknown
223-87-####,2000-unknown
223-88-####,1971-unknown
223-89-####,2000-2001
223-90-####,1972-unknown
223-91-####,2001-unknown
223-92-####,1973-unknown
223-93-####,2002-unknown
223-94-####,1973-unknown
223-95-####,2002-unknown
223-96-####,1973-unknown
223-97-####,2003-2004
223-98-####,1974-unknown
223-99-####,2004-unknown
224-01-####,1936-1950
224-02-####,1974-unknown
224-03-####,1936-1950
224-04-####,1975-unknown
224-05-####,1936-1950
224-06-####,1975-unknown
224-07-####,1936-1950
224-08-####,1976-unknown
224-09-####,1936-1950
224-10-####,1936-1950
224-11-####,1976-unknown
224-12-####,1936-1950
224-13-####,1977-unknown
224-14-####,1936-1950
224-15-####,1977-unknown
224-16-####,1936-1950
224-17-####,1978-unknown
224-18-####,1936-1950
224-19-####,1979-unknown
224-20-####,1936-1950
224-21-####,1980-unknown
224-22-####,1936-1950
224-23-####,1981-unknown
224-24-####,1936-1950
224-25-####,1981-unknown
224-26-####,1936-1950
224-27-####,1982-unknown
224-28-####,1936-1950
224-29-####,1983-unknown
224-30-####,1936-1950
224-31-####,1983-unknown
224-32-####,1936-1950
224-33-####,1984-unknown
224-34-####,1936-1950
224-35-####,1985-unknown
224-36-####,1936-1950
224-37-####,1986-unknown
224-38-####,1936-1950
224-39-####,1986-unknown
224-40-####,1951-unknown
224-41-####,1987-unknown
