SSN Prefix,Years Issued
531-01-####,1936-1950
531-02-####,1986-unknown
531-03-####,1936-1950
531-04-####,1987-unknown
531-05-####,1936-1950
531-06-####,1987-unknown
531-07-####,1936-1950
531-08-####,1987-unknown
531-09-####,1936-1950
531-10-####,1936-1950
531-11-####,1988-unknown
531-12-####,1936-1950
531-13-####,1988-unknown
531-14-####,1936-1950
531-15-####,1989-1992
531-16-####,1936-1950
531-17-####,1989-1992
531-18-####,1936-1950
531-19-####,1989-1992
531-20-####,1936-1950
531-21-####,1989-1992
531-22-####,1936-1950
531-23-####,1989-1992
531-24-####,1936-1950
531-25-####,1989-1992
531-26-####,1936-1950
531-27-####,1993-unknown
531-28-####,1936-1950
531-29-####,1993-unknown
531-30-####,1936-1950
531-31-####,1994-unknown
531-32-####,1951-unknown
531-33-####,1995-unknown
531-34-####,1952-1954
531-35-####,1995-unknown
531-36-####,1955-unknown
531-37-####,1996-unknown
531-38-####,1955-1956
531-39-####,1997-1998
531-40-####,1957-1959
531-41-####,1998-unknown
531-42-####,1960-unknown
531-43-####,1999-unknown
531-44-####,1961-1962
531-45-####,2000-unknown
531-46-####,1963-unknown
531-47-####,2000-2001
531-48-####,1963-unknown
531-49-####,2001-2002
531-50-####,1964-unknown
531-51-####,2002-unknown
531-52-####,1965-unknown
531-53-####,2003-2004
531-54-####,1966-unknown
531-55-####,2004-2005
531-56-####,1967-unknown
531-57-####,2005-2006
531-58-####,1968-unknown
531-59-####,2006-unknown
531-60-####,1969-unknown
531-61-####,2006-2007
531-62-####,1970-unknown
531-63-####,2007-2008
531-64-####,1971-1972
531-65-####,2008-2009
531-66-####,1973-unknown
531-67-####,2009-unknown
531-68-####,1973-unknown
531-69-####,2009-2010
531-70-####,1973-unknown
531-71-####,2010-2011
531-72-####,1974-unknown
531-74-####,1975-unknown
531-76-####,1976-unknown
531-78-####,1976-unknown
531-80-####,1977-unknown
531-82-####,1978-unknown
531-84-####,1979-unknown
531-86-####,1980-unknown
531-88-####,1981-unknown
531-90-####,1982-unknown
531-92-####,1983-unknown
531-94-####,1983-unknown
531-96-####,1984-unknown
531-98-####,1985-unknown
532-01-####,1936-1950
532-02-####,1986-unknown
532-03-####,1936-1950
532-04-####,1987-unknown
532-05-####,1936-1950
532-06-####,1987-unknown
532-07-####,1936-1950
532-08-####,1988-unknown
532-09-####,1936-1950
532-10-####,1936-1950
532-11-####,1988-unknown
532-12-####,1936-1950
532-13-####,1988-unknown
532-14-####,1936-1950
532-15-####,1989-1992
532-16-####,1936-1950
532-17-####,1989-1992
532-18-####,1936-1950
532-19-####,1989-1992
532-20-####,1936-1950
532-21-####,1989-1992
532-22-####,1936-1950
532-23-####,1989-1992
532-24-####,1936-1950
532-25-####,1989-1992
532-26-####,1936-1950
532-27-####,1993-unknown
532-28-####,1936-1950
532-29-####,1993-unknown
532-30-####,1936-1950
532-31-####,1994-unknown
532-32-####,1951-unknown
532-33-####,1995-unknown
532-34-####,1952-1954
532-35-####,1996-unknown
532-36-####,1955-unknown
532-37-####,1996-unknown
532-38-####,1956-1957
532-39-####,1997-1998
532-40-####,1958-1959
532-41-####,1998-unknown
532-42-####,1960-1961
532-43-####,1999-unknown
532-44-####,1962-unknown
532-45-####,2000-unknown
532-46-####,1963-unknown
532-47-####,2001-unknown
532-48-####,1963-unknown
532-49-####,2001-2002
532-50-####,1964-unknown
532-51-####,2002-unknown
532-52-####,1965-unknown
532-53-####,2003-2004
532-54-####,1966-unknown
532-55-####,2004-2005
532-56-####,1967-unknown
532-57-####,2005-2006
532-58-####,1968-unknown
532-59-####,2006-unknown
532-60-####,1969-unknown
532-61-####,2006-2007
532-62-####,1970-unknown
532-63-####,2007-2008
532-64-####,1971-1972
532-65-####,2008-2009
532-66-####,1973-unknown
532-67-####,2009-2010
532-68-####,1973-unknown
532-69-####,2010-unknown
532-70-####,1974-unknown
532-71-####,2010-2011
532-72-####,1974-unknown
532-74-####,1975-unknown
532-76-####,1976-unknown
532-78-####,1976-unknown
532-80-####,1977-unknown
532-82-####,1978-unknown
532-84-####,1979-unknown
532-86-####,1980-unknown
532-88-####,1981-unknown
532-90-####,1982-unknown
532-92-####,1983-unknown
532-94-####,1984-unknown
532-96-####,1984-unknown
532-98-####,1985-unknown
533-01-####,1936-1950
533-02-####,1986-unknown
533-03-####,1936-1950
533-04-####,1987-unknown
533-05-####,1936-1950
533-06-####,1987-unknown
533-07-####,1936-1950
533-08-####,1988-unknown
533-09-####,1936-1950
533-10-####,1936-1950
533-11-####,1988-unknown
533-12-####,1936-1950
533-13-####,1988-unknown
533-14-####,1936-1950
533-15-####,1989-1992
533-16-####,1936-1950
533-17-####,1989-1992
533-18-####,1936-1950
533-19-####,1989-1992
533-20-####,1936-1950
533-21-####,1989-1992
533-22-####,1936-1950
533-23-####,1989-1992
533-24-####,1936-1950
533-25-####,1989-1992
533-26-####,1936-1950
533-27-####,1993-unknown
533-28-####,1936-1950
533-29-####,1993-unknown
533-30-####,1936-1950
533-31-####,1994-unknown
533-32-####,1951-1952
533-33-####,1995-unknown
533-34-####,1953-1954
533-35-####,1996-unknown
533-36-####,1955-unknown
533-37-####,1997-unknown
533-38-####,1956-1957
533-39-####,1997-1998
533-40-####,1958-1959
533-41-####,1998-unknown
533-42-####,1960-1961
533-43-####,1999-unknown
533-44-####,1962-unknown
533-45-####,2000-unknown
533-46-####,1963-unknown
533-47-####,2001-unknown
533-48-####,1963-1964
533-49-####,2001-2002
533-50-####,1965-unknown
533-51-####,2002-unknown
533-52-####,1966-unknown
533-53-####,2003-2004
533-54-####,1966-unknown
533-55-####,2004-2005
533-56-####,1967-unknown
533-57-####,2005-2006
533-58-####,1968-unknown
533-59-####,2006-2007
533-60-####,1969-1970
533-61-####,2007-unknown
533-62-####,1971-unknown
533-63-####,2007-2008
533-64-####,1971-1972
533-65-####,2008-2009
533-66-####,1973-unknown
533-67-####,2009-2010
533-68-####,1973-unknown
533-69-####,2010-unknown
533-70-####,1974-unknown
533-71-####,2010-2011
533-72-####,1974-unknown
533-74-####,1975-unknown
533-76-####,1976-unknown
533-78-####,1976-unknown
533-80-####,1977-unknown
533-82-####,1978-unknown
533-84-####,1979-unknown
533-86-####,1980-unknown
533-88-####,1981-unknown
533-90-####,1982-unknown
533-92-####,1983-unknown
533-94-####,1984-unknown
533-96-####,1984-unknown
533-98-####,1985-unknown
534-01-####,1936-1950
534-02-####,1986-unknown
534-03-####,1936-1950
534-04-####,1987-unknown
534-05-####,1936-1950
534-06-####,1987-unknown
534-07-####,1936-1950
534-08-####,1988-unknown
534-09-####,1936-1950
534-10-####,1936-1950
534-11-####,1988-unknown
534-12-####,1936-1950
534-13-####,1988-unknown
534-14-####,1936-1950
534-15-####,1989-1992
534-16-####,1936-1950
534-17-####,1989-1992
534-18-####,1936-1950
534-19-####,1989-1992
534-20-####,1936-1950
534-21-####,1989-1992
534-22-####,1936-1950
534-23-####,1989-1992
534-24-####,1936-1950
534-25-####,1989-1992
534-26-####,1936-1950
534-27-####,1993-unknown
534-28-####,1936-1950
534-29-####,1993-unknown
534-30-####,1936-1950
534-31-####,1994-unknown
534-32-####,1951-1952
534-33-####,1995-unknown
534-34-####,1953-1954
534-35-####,1996-unknown
534-36-####,1955-unknown
534-37-####,1997-unknown
534-38-####,1956-1957
534-39-####,1997-1998
534-40-####,1958-1959
534-41-####,1998-unknown
534-42-####,1960-1961
534-43-####,1999-unknown
534-44-####,1962-unknown
534-45-####,2000-unknown
534-46-####,1963-unknown
534-47-####,2001-unknown
534-48-####,1963-1964
534-49-####,2002-unknown
534-50-####,1965-unknown
534-51-####,2003-unknown
534-52-####,1966-unknown
534-53-####,2003-2004
534-54-####,1966-unknown
534-55-####,2004-2005
534-56-####,1967-1968
534-57-####,2005-2006
534-58-####,1969-unknown
534-59-####,2006-2007
534-60-####,1970-unknown
534-61-####,2007-unknown
534-62-####,1971-unknown
534-63-####,2007-2008
534-64-####,1971-1972
534-65-####,2008-2009
534-66-####,1973-unknown
534-67-####,2009-2010
534-68-####,1973-unknown
534-69-####,2010-2011
534-70-####,1974-unknown
534-71-####,2011-unknown
534-72-####,1975-unknown
534-74-####,1975-unknown
534-76-####,1976-unknown
534-78-####,1976-unknown
534-80-####,1977-unknown
534-82-####,1978-unknown
534-84-####,1979-unknown
534-86-####,1980-unknown
