SSN Prefix,Years Issued
232-01-####,1936-1950
232-02-####,1973-unknown
232-03-####,1936-1950
232-04-####,1974-unknown
232-05-####,1936-1950
232-06-####,1975-unknown
232-07-####,1936-1950
232-08-####,1976-unknown
232-09-####,1936-1950
232-10-####,1936-1950
232-11-####,1976-unknown
232-12-####,1936-1950
232-13-####,1977-unknown
232-14-####,1936-1950
232-15-####,1978-unknown
232-16-####,1936-1950
232-17-####,1979-unknown
232-18-####,1936-1950
232-19-####,1980-unknown
232-20-####,1936-1950
232-21-####,1981-unknown
232-22-####,1936-1950
232-23-####,1982-unknown
232-24-####,1936-1950
232-25-####,1983-unknown
232-26-####,1936-1950
232-27-####,1984-unknown
232-28-####,1936-1950
232-29-####,1985-1986
232-31-####,1987-unknown
232-32-####,1936-1950
232-33-####,1987-unknown
232-34-####,1936-1950
232-35-####,1988-unknown
232-36-####,1936-1950
232-37-####,1989-1992
232-38-####,1936-1950
232-39-####,1989-1992
232-40-####,1936-1950
232-41-####,1989-1992
232-42-####,1936-1950
232-43-####,1994-unknown
232-44-####,1936-1950
232-45-####,1997-1998
232-46-####,1936-1950
232-47-####,1999-2000
232-48-####,1936-1950
232-49-####,2001-unknown
232-50-####,1936-1950
232-51-####,2003-2005
232-52-####,1936-1950
232-53-####,2005-2007
232-54-####,1951-unknown
232-55-####,2007-2010
232-56-####,1952-unknown
232-57-####,2010-2011
232-58-####,1953-1954
232-60-####,1955-unknown
232-62-####,1956-unknown
232-64-####,1957-unknown
232-66-####,1958-unknown
232-68-####,1959-unknown
232-70-####,1960-1961
232-72-####,1962-unknown
232-74-####,1963-unknown
232-76-####,1963-unknown
232-78-####,1964-unknown
232-80-####,1965-unknown
232-82-####,1966-unknown
232-84-####,1967-unknown
232-86-####,1968-unknown
232-88-####,1969-unknown
232-90-####,1970-unknown
232-92-####,1970-1971
232-94-####,1972-unknown
232-96-####,1973-unknown
232-98-####,1973-unknown
233-01-####,1936-1950
233-02-####,1974-unknown
233-03-####,1936-1950
233-04-####,1974-unknown
233-05-####,1936-1950
233-06-####,1975-unknown
233-07-####,1936-1950
233-08-####,1976-unknown
233-09-####,1936-1950
233-10-####,1936-1950
233-11-####,1976-unknown
233-12-####,1936-1950
233-13-####,1977-unknown
233-14-####,1936-1950
233-15-####,1978-unknown
233-16-####,1936-1950
233-17-####,1979-unknown
233-18-####,1936-1950
233-19-####,1980-1981
233-20-####,1936-1950
233-21-####,1982-unknown
233-22-####,1936-1950
233-23-####,1983-unknown
233-24-####,1936-1950
233-25-####,1983-unknown
233-26-####,1936-1950
233-27-####,1984-1985
233-28-####,1936-1950
233-29-####,1986-unknown
233-30-####,1936-1950
233-31-####,1987-unknown
233-32-####,1936-1950
233-33-####,1987-unknown
233-34-####,1936-1950
233-35-####,1988-unknown
233-36-####,1936-1950
233-37-####,1989-1992
233-38-####,1936-1950
233-39-####,1989-1992
233-40-####,1936-1950
233-41-####,1993-unknown
233-42-####,1936-1950
233-43-####,1995-unknown
233-44-####,1936-1950
233-45-####,1997-1998
233-46-####,1936-1950
233-47-####,1999-2000
233-48-####,1936-1950
233-49-####,2001-2004
233-50-####,1936-1950
233-51-####,2004-2006
233-52-####,1936-1950
233-53-####,2006-2008
233-54-####,1951-1952
233-55-####,2008-2010
233-56-####,1953-unknown
233-57-####,2010-2011
233-58-####,1954-unknown
233-60-####,1955-unknown
233-62-####,1956-unknown
233-64-####,1957-unknown
233-66-####,1958-1959
233-68-####,1960-unknown
233-70-####,1961-unknown
233-72-####,1962-unknown
233-74-####,1963-unknown
233-76-####,1963-1964
233-78-####,1965-unknown
233-80-####,1965-unknown
233-82-####,1966-unknown
233-84-####,1967-unknown
233-86-####,1968-unknown
233-88-####,1969-unknown
233-90-####,1970-unknown
233-92-####,1971-unknown
233-94-####,1972-unknown
233-96-####,1973-unknown
233-98-####,1973-unknown
234-01-####,1936-1950
234-02-####,1974-unknown
234-03-####,1936-1950
234-04-####,1974-unknown
234-05-####,1936-1950
234-06-####,1975-unknown
234-07-####,1936-1950
234-08-####,1976-unknown
234-09-####,1936-1950
234-10-####,1936-1950
234-11-####,1976-unknown
234-12-####,1936-1950
234-13-####,1977-unknown
234-14-####,1936-1950
234-15-####,1978-1979
234-16-####,1936-1950
234-17-####,1980-unknown
234-18-####,1936-1950
234-19-####,1981-unknown
234-20-####,1936-1950
234-21-####,1982-unknown
234-22-####,1936-1950
234-23-####,1983-unknown
234-24-####,1936-1950
234-25-####,1983-unknown
234-26-####,1936-1950
234-27-####,1984-1985
234-28-####,1936-1950
234-29-####,1986-unknown
234-30-####,1936-1950
234-31-####,1987-unknown
234-32-####,1936-1950
234-33-####,1987-unknown
234-34-####,1936-1950
234-35-####,1988-unknown
234-36-####,1936-1950
234-37-####,1989-1992
234-38-####,1936-1950
234-39-####,1989-1992
234-40-####,1936-1950
234-41-####,1993-unknown
234-42-####,1936-1950
234-43-####,1995-unknown
234-44-####,1936-1950
234-45-####,1997-1998
234-46-####,1936-1950
234-47-####,2000-unknown
234-48-####,1936-1950
234-49-####,2002-2004
234-50-####,1936-1950
234-51-####,2004-2006
234-52-####,1951-unknown
234-53-####,2006-2008
234-54-####,1952-unknown
234-55-####,2008-2010
234-56-####,1953-unknown
234-57-####,2010-2011
234-58-####,1954-unknown
234-60-####,1955-unknown
234-62-####,1956-unknown
234-64-####,1957-1958
234-66-####,1959-unknown
234-68-####,1960-unknown
234-70-####,1961-unknown
234-72-####,1962-unknown
234-74-####,1963-unknown
234-76-####,1964-unknown
234-78-####,1965-unknown
234-80-####,1965-unknown
234-82-####,1966-unknown
234-84-####,1967-unknown
234-86-####,1968-unknown
234-88-####,1969-unknown
234-90-####,1970-unknown
234-92-####,1971-unknown
234-94-####,1972-unknown
234-96-####,1973-unknown
234-98-####,1973-unknown
235-01-####,1936-1950
235-02-####,1974-unknown
235-03-####,1936-1950
235-04-####,1975-unknown
235-05-####,1936-1950
235-06-####,1975-unknown
235-07-####,1936-1950
235-08-####,1976-unknown
235-09-####,1936-1950
235-10-####,1936-1950
235-11-####,1977-unknown
235-12-####,1936-1950
235-13-####,1977-1978
235-14-####,1936-1950
235-15-####,1979-unknown
235-16-####,1936-1950
235-17-####,1980-unknown
235-18-####,1936-1950
235-19-####,1981-unknown
235-20-####,1936-1950
235-21-####,1982-unknown
235-22-####,1936-1950
235-23-####,1983-unknown
235-24-####,1936-1950
235-25-####,1984-unknown
235-26-####,1936-1950
235-27-####,1985-unknown
235-28-####,1936-1950
235-29-####,1986-unknown
235-30-####,1936-1950
235-31-####,1987-unknown
235-32-####,1936-1950
235-33-####,1988-unknown
235-34-####,1936-1950
235-35-####,1989-1992
235-36-####,1936-1950
235-37-####,1989-1992
235-38-####,1936-1950
235-39-####,1989-1992
235-40-####,1936-1950
235-41-####,1994-unknown
235-42-####,1936-1950
235-43-####,1996-1998
235-44-####,1936-1950
235-45-####,1998-unknown
235-46-####,1936-1950
235-47-####,2000-unknown
235-48-####,1936-1950
235-49-####,2002-2004
235-50-####,1936-1950
235-51-####,2004-2007
235-52-####,1951-unknown
235-53-####,2007-2009
235-54-####,1952-unknown
235-55-####,2009-2011
235-56-####,1953-unknown
235-57-####,2011-unknown
235-58-####,1954-unknown
235-60-####,1955-unknown
235-62-####,1956-unknown
235-64-####,1957-1958
235-66-####,1959-unknown
235-68-####,1960-unknown
235-70-####,1961-1962
235-72-####,1963-unknown
235-74-####,1963-unknown
235-76-####,1964-unknown
235-78-####,1965-unknown
235-80-####,1966-unknown
235-82-####,1966-unknown
235-84-####,1967-unknown
235-86-####,1968-unknown
235-88-####,1969-unknown
235-90-####,1970-unknown
235-92-####,1971-unknown
235-94-####,1972-unknown
235-96-####,1973-unknown
235-98-####,1973-unknown
236-01-####,1936-1950
236-02-####,1974-unknown
236-03-####,1936-1950
236-04-####,1975-unknown
236-05-####,1936-1950
236-06-####,1975-unknown
236-07-####,1936-1950
236-08-####,1976-unknown
236-09-####,1936-1950
236-10-####,1936-1950
236-11-####,1977-unknown
236-12-####,1936-1950
236-13-####,1978-unknown
236-14-####,1936-1950
236-15-####,1979-unknown
236-16-####,1936-1950
236-17-####,1980-unknown
236-18-####,1936-1950
236-19-####,1981-unknown
236-20-####,1936-1950
236-21-####,1982-unknown
236-22-####,1936-1950
236-23-####,1983-unknown
236-24-####,1936-1950
236-25-####,1984-unknown
236-26-####,1936-1950
236-27-####,1985-unknown
236-28-####,1936-1950
236-29-####,1986-unknown
236-30-####,1936-1950
236-31-####,1987-unknown
236-32-####,1936-1950
236-33-####,1988-unknown
236-34-####,1936-1950
236-35-####,1989-1992
236-36-####,1936-1950
236-37-####,1989-1992
236-38-####,1936-1950
236-39-####,1989-1992
236-40-####,1936-1950
236-41-####,1994-unknown
236-42-####,1936-1950
236-43-####,1996-1998
236-44-####,1936-1950
236-45-####,1998-1999
236-46-####,1936-1950
236-47-####,2000-2001
236-48-####,1936-1950
236-49-####,2003-2005
236-50-####,1936-1950
236-51-####,2005-2007
236-52-####,1951-unknown
236-53-####,2007-2009
236-54-####,1952-unknown
236-55-####,2009-2011
236-56-####,1953-unknown
236-58-####,1954-unknown
236-60-####,1955-unknown
236-62-####,1956-1957
236-64-####,1958-unknown
236-66-####,1959-unknown
236-68-####,1961-unknown
236-70-####,1962-unknown
236-72-####,1963-unknown
236-74-####,1963-unknown
236-76-####,1964-unknown
236-78-####,1965-unknown
236-80-####,1966-unknown
236-82-####,1967-unknown
236-84-####,1967-unknown
236-86-####,1968-unknown
236-88-####,1969-unknown
236-90-####,1970-unknown
236-92-####,1971-unknown
236-94-####,1972-unknown
236-96-####,1973-unknown
236-98-####,1973-unknown
