SSN Prefix,Years Issued
387-01-####,1936-1950
387-02-####,1988-unknown
387-03-####,1936-1950
387-04-####,1989-1992
387-05-####,1936-1950
387-06-####,1989-1992
387-07-####,1936-1950
387-08-####,1989-1992
387-09-####,1936-1950
387-10-####,1936-1950
387-11-####,1989-1992
387-12-####,1936-1950
387-13-####,1994-unknown
387-14-####,1936-1950
387-15-####,1995-unknown
387-16-####,1936-1950
387-17-####,1997-1998
387-18-####,1936-1950
387-19-####,1998-unknown
387-20-####,1936-1950
387-21-####,2000-unknown
387-22-####,1936-1950
387-23-####,2002-unknown
387-24-####,1936-1950
387-25-####,2003-2005
387-26-####,1936-1950
387-27-####,2005-2006
387-28-####,1936-1950
387-29-####,2006-2008
387-30-####,1936-1950
387-31-####,2008-2010
387-32-####,1951-unknown
387-33-####,2010-2011
387-34-####,1952-1953
387-36-####,1954-1955
387-38-####,1956-unknown
387-40-####,1957-1958
387-42-####,1959-1960
387-44-####,1961-1962
387-46-####,1963-unknown
387-48-####,1963-unknown
387-50-####,1964-unknown
387-52-####,1965-unknown
387-54-####,1966-unknown
387-56-####,1967-unknown
387-58-####,1968-unknown
387-60-####,1969-unknown
387-62-####,1970-unknown
387-64-####,1971-unknown
387-66-####,1972-unknown
387-68-####,1973-unknown
387-70-####,1973-unknown
387-72-####,1974-unknown
387-74-####,1974-unknown
387-76-####,1975-unknown
387-78-####,1976-unknown
387-80-####,1976-1978
387-82-####,1977-unknown
387-84-####,1979-unknown
387-86-####,1980-unknown
387-88-####,1981-unknown
387-90-####,1982-1983
387-92-####,1984-unknown
387-94-####,1985-unknown
387-96-####,1986-unknown
387-98-####,1987-unknown
388-01-####,1936-1950
388-02-####,1988-unknown
388-03-####,1936-1950
388-04-####,1989-1992
388-05-####,1936-1950
388-06-####,1989-1992
388-07-####,1936-1950
388-08-####,1989-1992
388-09-####,1936-1950
388-10-####,1936-1950
388-11-####,1989-1992
388-12-####,1936-1950
388-13-####,1994-unknown
388-14-####,1936-1950
388-15-####,1995-unknown
388-16-####,1936-1950
