SSN Prefix,Years Issued
520-01-####,1936-1950
520-02-####,1984-unknown
520-03-####,1936-1950
520-04-####,1984-unknown
520-05-####,1936-1950
520-06-####,1985-unknown
520-07-####,1936-1950
520-08-####,1986-unknown
520-09-####,1936-1950
520-10-####,1936-1950
520-11-####,1987-unknown
520-12-####,1936-1950
520-13-####,1987-unknown
520-14-####,1936-1950
520-15-####,1987-unknown
520-16-####,1936-1950
520-17-####,1988-unknown
520-18-####,1936-1950
520-19-####,1988-unknown
520-20-####,1936-1950
520-21-####,1988-unknown
520-22-####,1936-1950
520-23-####,1989-1992
520-24-####,1936-1950
520-25-####,1989-1992
520-26-####,1936-1950
520-27-####,1989-1992
520-28-####,1936-1950
520-29-####,1989-1992
520-30-####,1936-1950
520-31-####,1989-1992
520-32-####,1936-1950
520-33-####,1994-unknown
520-34-####,1936-1950
520-35-####,1995-unknown
520-36-####,1951-1952
520-37-####,1996-1998
520-38-####,1953-unknown
520-39-####,1998-1999
520-40-####,1954-unknown
520-41-####,1999-2001
520-42-####,1955-unknown
520-43-####,2001-2002
520-44-####,1956-1957
520-45-####,2002-unknown
520-46-####,1958-1959
520-47-####,2003-2004
520-48-####,1960-unknown
520-49-####,2004-2005
520-50-####,1961-unknown
520-51-####,2005-2006
520-52-####,1962-unknown
520-53-####,2006-2007
520-54-####,1963-unknown
520-55-####,2007-2008
520-56-####,1963-1964
520-57-####,2008-2009
520-58-####,1965-unknown
520-59-####,2009-2010
520-60-####,1966-unknown
520-61-####,2010-2011
520-62-####,1967-unknown
520-64-####,1968-unknown
520-66-####,1969-unknown
520-68-####,1970-unknown
520-70-####,1971-unknown
520-72-####,1972-unknown
520-74-####,1973-unknown
520-76-####,1973-unknown
520-78-####,1973-unknown
520-80-####,1973-unknown
520-82-####,1974-unknown
520-84-####,1974-unknown
520-86-####,1975-unknown
520-88-####,1976-unknown
520-90-####,1977-1979
520-92-####,1980-unknown
520-94-####,1981-1982
520-96-####,1983-unknown
520-98-####,1983-unknown
